Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium,production,cobalt_refined,nan,tonnes (metric),1970,
Canada,production,cobalt_refined,nan,tonnes (metric),1970,
Czechoslovakia,production,cobalt_refined,nan,tonnes (metric),1970,
Finland,production,cobalt_refined,nan,tonnes (metric),1970,
France,production,cobalt_refined,nan,tonnes (metric),1970,
German Federal Republic,production,cobalt_refined,nan,tonnes (metric),1970,
Japan,production,cobalt_refined,nan,tonnes (metric),1970,
Norway,production,cobalt_refined,nan,tonnes (metric),1970,
Soviet Union,production,cobalt_refined,nan,tonnes (metric),1970,
USA,production,cobalt_refined,nan,tonnes (metric),1970,
Zaire,production,cobalt_refined,nan,tonnes (metric),1970,
Zambia,production,cobalt_refined,nan,tonnes (metric),1970,
Albania,production,cobalt_refined,nan,tonnes (metric),1970,
China,production,cobalt_refined,nan,tonnes (metric),1970,
South Africa,production,cobalt_refined,nan,tonnes (metric),1970,
Australia,production,cobalt_refined,nan,tonnes (metric),1970,
Brazil,production,cobalt_refined,nan,tonnes (metric),1970,
"Congo, Democratic Republic",production,cobalt_refined,nan,tonnes (metric),1970,
Germany,production,cobalt_refined,nan,tonnes (metric),1970,
India,production,cobalt_refined,nan,tonnes (metric),1970,
Morocco,production,cobalt_refined,nan,tonnes (metric),1970,
Russia,production,cobalt_refined,nan,tonnes (metric),1970,
Uganda,production,cobalt_refined,nan,tonnes (metric),1970,
Madagascar,production,cobalt_refined,nan,tonnes (metric),1970,
New Caledonia,production,cobalt_refined,nan,tonnes (metric),1970,
Belgium,production,cobalt_refined,nan,tonnes (metric),1971,
Canada,production,cobalt_refined,nan,tonnes (metric),1971,
Czechoslovakia,production,cobalt_refined,nan,tonnes (metric),1971,
Finland,production,cobalt_refined,nan,tonnes (metric),1971,
France,production,cobalt_refined,nan,tonnes (metric),1971,
German Federal Republic,production,cobalt_refined,nan,tonnes (metric),1971,
Japan,production,cobalt_refined,nan,tonnes (metric),1971,
Norway,production,cobalt_refined,nan,tonnes (metric),1971,
Soviet Union,production,cobalt_refined,nan,tonnes (metric),1971,
USA,production,cobalt_refined,nan,tonnes (metric),1971,
Zaire,production,cobalt_refined,nan,tonnes (metric),1971,
Zambia,production,cobalt_refined,nan,tonnes (metric),1971,
Albania,production,cobalt_refined,nan,tonnes (metric),1971,
China,production,cobalt_refined,nan,tonnes (metric),1971,
South Africa,production,cobalt_refined,nan,tonnes (metric),1971,
Australia,production,cobalt_refined,nan,tonnes (metric),1971,
Brazil,production,cobalt_refined,nan,tonnes (metric),1971,
"Congo, Democratic Republic",production,cobalt_refined,nan,tonnes (metric),1971,
Germany,production,cobalt_refined,nan,tonnes (metric),1971,
India,production,cobalt_refined,nan,tonnes (metric),1971,
Morocco,production,cobalt_refined,nan,tonnes (metric),1971,
Russia,production,cobalt_refined,nan,tonnes (metric),1971,
Uganda,production,cobalt_refined,nan,tonnes (metric),1971,
Madagascar,production,cobalt_refined,nan,tonnes (metric),1971,
New Caledonia,production,cobalt_refined,nan,tonnes (metric),1971,
Belgium,production,cobalt_refined,nan,tonnes (metric),1972,
Canada,production,cobalt_refined,nan,tonnes (metric),1972,
Czechoslovakia,production,cobalt_refined,nan,tonnes (metric),1972,
Finland,production,cobalt_refined,nan,tonnes (metric),1972,803.0
France,production,cobalt_refined,nan,tonnes (metric),1972,774.0
German Federal Republic,production,cobalt_refined,nan,tonnes (metric),1972,412.0
Japan,production,cobalt_refined,nan,tonnes (metric),1972,12.0
Norway,production,cobalt_refined,nan,tonnes (metric),1972,320.0
Soviet Union,production,cobalt_refined,nan,tonnes (metric),1972,1600.0
USA,production,cobalt_refined,nan,tonnes (metric),1972,0.0
Zaire,production,cobalt_refined,nan,tonnes (metric),1972,13043.0
Zambia,production,cobalt_refined,nan,tonnes (metric),1972,2056.0
Albania,production,cobalt_refined,nan,tonnes (metric),1972,
China,production,cobalt_refined,nan,tonnes (metric),1972,
South Africa,production,cobalt_refined,nan,tonnes (metric),1972,
Australia,production,cobalt_refined,nan,tonnes (metric),1972,
Brazil,production,cobalt_refined,nan,tonnes (metric),1972,
"Congo, Democratic Republic",production,cobalt_refined,nan,tonnes (metric),1972,
Germany,production,cobalt_refined,nan,tonnes (metric),1972,
India,production,cobalt_refined,nan,tonnes (metric),1972,
Morocco,production,cobalt_refined,nan,tonnes (metric),1972,
Russia,production,cobalt_refined,nan,tonnes (metric),1972,
Uganda,production,cobalt_refined,nan,tonnes (metric),1972,
Madagascar,production,cobalt_refined,nan,tonnes (metric),1972,
New Caledonia,production,cobalt_refined,nan,tonnes (metric),1972,
Belgium,production,cobalt_refined,nan,tonnes (metric),1973,
Canada,production,cobalt_refined,nan,tonnes (metric),1973,600.0
Czechoslovakia,production,cobalt_refined,nan,tonnes (metric),1973,
Finland,production,cobalt_refined,nan,tonnes (metric),1973,1010.0
France,production,cobalt_refined,nan,tonnes (metric),1973,836.0
German Federal Republic,production,cobalt_refined,nan,tonnes (metric),1973,287.0
Japan,production,cobalt_refined,nan,tonnes (metric),1973,11.0
Norway,production,cobalt_refined,nan,tonnes (metric),1973,912.0
Soviet Union,production,cobalt_refined,nan,tonnes (metric),1973,1700.0
USA,production,cobalt_refined,nan,tonnes (metric),1973,0.0
Zaire,production,cobalt_refined,nan,tonnes (metric),1973,15052.0
Zambia,production,cobalt_refined,nan,tonnes (metric),1973,1930.0
