Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,production,copper_refined,nan,tonnes (metric),1970,
Australia,production,copper_refined,nan,tonnes (metric),1970,
Austria,production,copper_refined,nan,tonnes (metric),1970,
Belgium,production,copper_refined,nan,tonnes (metric),1970,
Brazil,production,copper_refined,nan,tonnes (metric),1970,
Bulgaria,production,copper_refined,nan,tonnes (metric),1970,
Canada,production,copper_refined,nan,tonnes (metric),1970,
Chile,production,copper_refined,nan,tonnes (metric),1970,
China,production,copper_refined,nan,tonnes (metric),1970,
Czechoslovakia,production,copper_refined,nan,tonnes (metric),1970,
Egypt,production,copper_refined,nan,tonnes (metric),1970,
Finland,production,copper_refined,nan,tonnes (metric),1970,
France,production,copper_refined,nan,tonnes (metric),1970,
German Democratic Rep,production,copper_refined,nan,tonnes (metric),1970,
German Federal Republic,production,copper_refined,nan,tonnes (metric),1970,
Hungary,production,copper_refined,nan,tonnes (metric),1970,
India,production,copper_refined,nan,tonnes (metric),1970,
Iran,production,copper_refined,nan,tonnes (metric),1970,
Italy,production,copper_refined,nan,tonnes (metric),1970,
Japan,production,copper_refined,nan,tonnes (metric),1970,
Korea (Rep. of),production,copper_refined,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",production,copper_refined,nan,tonnes (metric),1970,
Mexico,production,copper_refined,nan,tonnes (metric),1970,
Norway,production,copper_refined,nan,tonnes (metric),1970,
Peru,production,copper_refined,nan,tonnes (metric),1970,
Poland,production,copper_refined,nan,tonnes (metric),1970,
Portugal,production,copper_refined,nan,tonnes (metric),1970,
Romania,production,copper_refined,nan,tonnes (metric),1970,
South Africa,production,copper_refined,nan,tonnes (metric),1970,
Soviet Union,production,copper_refined,nan,tonnes (metric),1970,
Spain,production,copper_refined,nan,tonnes (metric),1970,
Sweden,production,copper_refined,nan,tonnes (metric),1970,
Taiwan,production,copper_refined,nan,tonnes (metric),1970,
Turkey,production,copper_refined,nan,tonnes (metric),1970,
USA,production,copper_refined,nan,tonnes (metric),1970,
United Kingdom,production,copper_refined,nan,tonnes (metric),1970,
Yugoslavia,production,copper_refined,nan,tonnes (metric),1970,
Zaire,production,copper_refined,nan,tonnes (metric),1970,
Zambia,production,copper_refined,nan,tonnes (metric),1970,
Zimbabwe,production,copper_refined,nan,tonnes (metric),1970,
Argentina,production,copper_refined,nan,tonnes (metric),1970,
Oman,production,copper_refined,nan,tonnes (metric),1970,
Philippines,production,copper_refined,nan,tonnes (metric),1970,
Burma,production,copper_refined,nan,tonnes (metric),1970,
"Congo, Democratic Republic",production,copper_refined,nan,tonnes (metric),1970,
Cyprus,production,copper_refined,nan,tonnes (metric),1970,
Germany,production,copper_refined,nan,tonnes (metric),1970,
Indonesia,production,copper_refined,nan,tonnes (metric),1970,
Kazakhstan,production,copper_refined,nan,tonnes (metric),1970,
Russia,production,copper_refined,nan,tonnes (metric),1970,
Serbia and Montenegro,production,copper_refined,nan,tonnes (metric),1970,
Slovakia,production,copper_refined,nan,tonnes (metric),1970,
Ukraine,production,copper_refined,nan,tonnes (metric),1970,
Uzbekistan,production,copper_refined,nan,tonnes (metric),1970,
Bolivia,production,copper_refined,nan,tonnes (metric),1970,
Laos,production,copper_refined,nan,tonnes (metric),1970,
Mongolia,production,copper_refined,nan,tonnes (metric),1970,
North Macedonia,production,copper_refined,nan,tonnes (metric),1970,
Serbia,production,copper_refined,nan,tonnes (metric),1970,
Thailand,production,copper_refined,nan,tonnes (metric),1970,
Vietnam,production,copper_refined,nan,tonnes (metric),1970,
Namibia,production,copper_refined,nan,tonnes (metric),1970,
Albania,production,copper_refined,nan,tonnes (metric),1971,
Australia,production,copper_refined,nan,tonnes (metric),1971,
Austria,production,copper_refined,nan,tonnes (metric),1971,
Belgium,production,copper_refined,nan,tonnes (metric),1971,
Brazil,production,copper_refined,nan,tonnes (metric),1971,
Bulgaria,production,copper_refined,nan,tonnes (metric),1971,
Canada,production,copper_refined,nan,tonnes (metric),1971,
Chile,production,copper_refined,nan,tonnes (metric),1971,
China,production,copper_refined,nan,tonnes (metric),1971,
Czechoslovakia,production,copper_refined,nan,tonnes (metric),1971,
Egypt,production,copper_refined,nan,tonnes (metric),1971,
Finland,production,copper_refined,nan,tonnes (metric),1971,
France,production,copper_refined,nan,tonnes (metric),1971,
German Democratic Rep,production,copper_refined,nan,tonnes (metric),1971,
German Federal Republic,production,copper_refined,nan,tonnes (metric),1971,
Hungary,production,copper_refined,nan,tonnes (metric),1971,
India,production,copper_refined,nan,tonnes (metric),1971,
Iran,production,copper_refined,nan,tonnes (metric),1971,
Italy,production,copper_refined,nan,tonnes (metric),1971,
Japan,production,copper_refined,nan,tonnes (metric),1971,
Korea (Rep. of),production,copper_refined,nan,tonnes (metric),1971,
"Korea, Dem. P.R. of",production,copper_refined,nan,tonnes (metric),1971,
Mexico,production,copper_refined,nan,tonnes (metric),1971,
Norway,production,copper_refined,nan,tonnes (metric),1971,
Peru,production,copper_refined,nan,tonnes (metric),1971,
Poland,production,copper_refined,nan,tonnes (metric),1971,
Portugal,production,copper_refined,nan,tonnes (metric),1971,
Romania,production,copper_refined,nan,tonnes (metric),1971,
South Africa,production,copper_refined,nan,tonnes (metric),1971,
Soviet Union,production,copper_refined,nan,tonnes (metric),1971,
Spain,production,copper_refined,nan,tonnes (metric),1971,
Sweden,production,copper_refined,nan,tonnes (metric),1971,
Taiwan,production,copper_refined,nan,tonnes (metric),1971,
Turkey,production,copper_refined,nan,tonnes (metric),1971,
USA,production,copper_refined,nan,tonnes (metric),1971,
United Kingdom,production,copper_refined,nan,tonnes (metric),1971,
Yugoslavia,production,copper_refined,nan,tonnes (metric),1971,
Zaire,production,copper_refined,nan,tonnes (metric),1971,
Zambia,production,copper_refined,nan,tonnes (metric),1971,
Zimbabwe,production,copper_refined,nan,tonnes (metric),1971,
Argentina,production,copper_refined,nan,tonnes (metric),1971,
Oman,production,copper_refined,nan,tonnes (metric),1971,
Philippines,production,copper_refined,nan,tonnes (metric),1971,
Burma,production,copper_refined,nan,tonnes (metric),1971,
"Congo, Democratic Republic",production,copper_refined,nan,tonnes (metric),1971,
Cyprus,production,copper_refined,nan,tonnes (metric),1971,
Germany,production,copper_refined,nan,tonnes (metric),1971,
Indonesia,production,copper_refined,nan,tonnes (metric),1971,
Kazakhstan,production,copper_refined,nan,tonnes (metric),1971,
Russia,production,copper_refined,nan,tonnes (metric),1971,
Serbia and Montenegro,production,copper_refined,nan,tonnes (metric),1971,
Slovakia,production,copper_refined,nan,tonnes (metric),1971,
Ukraine,production,copper_refined,nan,tonnes (metric),1971,
Uzbekistan,production,copper_refined,nan,tonnes (metric),1971,
Bolivia,production,copper_refined,nan,tonnes (metric),1971,
Laos,production,copper_refined,nan,tonnes (metric),1971,
Mongolia,production,copper_refined,nan,tonnes (metric),1971,
North Macedonia,production,copper_refined,nan,tonnes (metric),1971,
Serbia,production,copper_refined,nan,tonnes (metric),1971,
Thailand,production,copper_refined,nan,tonnes (metric),1971,
Vietnam,production,copper_refined,nan,tonnes (metric),1971,
Namibia,production,copper_refined,nan,tonnes (metric),1971,
Albania,production,copper_refined,nan,tonnes (metric),1972,
Australia,production,copper_refined,nan,tonnes (metric),1972,
Austria,production,copper_refined,nan,tonnes (metric),1972,
Belgium,production,copper_refined,nan,tonnes (metric),1972,
Brazil,production,copper_refined,nan,tonnes (metric),1972,
Bulgaria,production,copper_refined,nan,tonnes (metric),1972,
Canada,production,copper_refined,nan,tonnes (metric),1972,
Chile,production,copper_refined,nan,tonnes (metric),1972,
China,production,copper_refined,nan,tonnes (metric),1972,
Czechoslovakia,production,copper_refined,nan,tonnes (metric),1972,
Egypt,production,copper_refined,nan,tonnes (metric),1972,
Finland,production,copper_refined,nan,tonnes (metric),1972,
France,production,copper_refined,nan,tonnes (metric),1972,
German Democratic Rep,production,copper_refined,nan,tonnes (metric),1972,
German Federal Republic,production,copper_refined,nan,tonnes (metric),1972,
Hungary,production,copper_refined,nan,tonnes (metric),1972,
India,production,copper_refined,nan,tonnes (metric),1972,
Iran,production,copper_refined,nan,tonnes (metric),1972,
Italy,production,copper_refined,nan,tonnes (metric),1972,
