Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Angola,production,diamond,nan,Carats,1970,2396000.0
Australia,production,diamond,nan,Carats,1970,
Botswana,production,diamond,nan,Carats,1970,463595.0
Brazil,production,diamond,nan,Carats,1970,73000.0
Central African Republic,production,diamond,nan,Carats,1970,482447.0
Ghana,production,diamond,nan,Carats,1970,2549500.0
Guinea,production,diamond,nan,Carats,1970,74000.0
Guyana,production,diamond,nan,Carats,1970,61081.0
India,production,diamond,nan,Carats,1970,20235.0
Indonesia,production,diamond,nan,Carats,1970,15000.0
Ivory Coast,production,diamond,nan,Carats,1970,212808.0
Lesotho,production,diamond,nan,Carats,1970,
Liberia,production,diamond,nan,Carats,1970,
Namibia,production,diamond,nan,Carats,1970,1509263.0
Sierra Leone,production,diamond,nan,Carats,1970,2048264.0
South Africa,production,diamond,nan,Carats,1970,8111533.0
Soviet Union,production,diamond,nan,Carats,1970,7850000.0
Tanzania,production,diamond,nan,Carats,1970,708145.0
Venezuela,production,diamond,nan,Carats,1970,508700.0
Zaire,production,diamond,Gem,Carats,1970,1649000.0
Zaire,production,diamond,Industrial,Carats,1970,12438000.0
Zaire,production,diamond,nan,Carats,1970,
China,production,diamond,nan,Carats,1970,
Eswatini (Swaziland),production,diamond,nan,Carats,1970,
Zimbabwe,production,diamond,nan,Carats,1970,
Canada,production,diamond,nan,Carats,1970,
"Congo, Democratic Republic",production,diamond,nan,Carats,1970,
Russia,production,diamond,nan,Carats,1970,
Armenia,production,diamond,nan,Carats,1970,
Cameroon,production,diamond,nan,Carats,1970,
Congo,production,diamond,nan,Carats,1970,
Togo,production,diamond,nan,Carats,1970,
Gabon,production,diamond,nan,Carats,1970,
Angola,production,diamond,nan,Carats,1971,2413021.0
Australia,production,diamond,nan,Carats,1971,
Botswana,production,diamond,nan,Carats,1971,871765.0
Brazil,production,diamond,nan,Carats,1971,92000.0
Central African Republic,production,diamond,nan,Carats,1971,468138.0
Ghana,production,diamond,nan,Carats,1971,2561700.0
Guinea,production,diamond,nan,Carats,1971,74000.0
Guyana,production,diamond,nan,Carats,1971,47919.0
India,production,diamond,nan,Carats,1971,19383.0
Indonesia,production,diamond,nan,Carats,1971,15000.0
Ivory Coast,production,diamond,nan,Carats,1971,326368.0
Lesotho,production,diamond,nan,Carats,1971,
Liberia,production,diamond,nan,Carats,1971,
Namibia,production,diamond,nan,Carats,1971,1561572.0
Sierra Leone,production,diamond,nan,Carats,1971,1944174.0
South Africa,production,diamond,nan,Carats,1971,7031249.0
Soviet Union,production,diamond,nan,Carats,1971,8800000.0
Tanzania,production,diamond,nan,Carats,1971,837190.0
Venezuela,production,diamond,nan,Carats,1971,499020.0
Zaire,production,diamond,Gem,Carats,1971,1274000.0
Zaire,production,diamond,Industrial,Carats,1971,11469000.0
Zaire,production,diamond,nan,Carats,1971,
China,production,diamond,nan,Carats,1971,
Eswatini (Swaziland),production,diamond,nan,Carats,1971,
Zimbabwe,production,diamond,nan,Carats,1971,
Canada,production,diamond,nan,Carats,1971,
"Congo, Democratic Republic",production,diamond,nan,Carats,1971,
Russia,production,diamond,nan,Carats,1971,
Armenia,production,diamond,nan,Carats,1971,
Cameroon,production,diamond,nan,Carats,1971,
Congo,production,diamond,nan,Carats,1971,
Togo,production,diamond,nan,Carats,1971,
Gabon,production,diamond,nan,Carats,1971,
Angola,production,diamond,nan,Carats,1972,2155057.0
Australia,production,diamond,nan,Carats,1972,
Botswana,production,diamond,nan,Carats,1972,2402936.0
Brazil,production,diamond,nan,Carats,1972,99087.0
Central African Republic,production,diamond,nan,Carats,1972,524102.0
Ghana,production,diamond,nan,Carats,1972,2658717.0
Guinea,production,diamond,nan,Carats,1972,80000.0
Guyana,production,diamond,nan,Carats,1972,48666.0
India,production,diamond,nan,Carats,1972,20009.0
Indonesia,production,diamond,nan,Carats,1972,15000.0
Ivory Coast,production,diamond,nan,Carats,1972,333541.0
Lesotho,production,diamond,nan,Carats,1972,
Liberia,production,diamond,nan,Carats,1972,
Namibia,production,diamond,nan,Carats,1972,1596144.0
Sierra Leone,production,diamond,nan,Carats,1972,1800301.0
