Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,diatomite,nan,tonnes (metric),1970,7000.0
Argentina,production,diatomite,nan,tonnes (metric),1970,8228.0
Australia,production,diatomite,nan,tonnes (metric),1970,2656.0
Austria,production,diatomite,nan,tonnes (metric),1970,3772.0
Brazil,production,diatomite,nan,tonnes (metric),1970,
Canada,production,diatomite,nan,tonnes (metric),1970,435.0
Chile,production,diatomite,nan,tonnes (metric),1970,
Colombia,production,diatomite,nan,tonnes (metric),1970,280.0
Costa Rica,production,diatomite,nan,tonnes (metric),1970,19000.0
Denmark,production,diatomite,Moler                                             ,tonnes (metric),1970,91830.0
Denmark,production,diatomite,nan,tonnes (metric),1970,8370.0
Egypt,production,diatomite,nan,tonnes (metric),1970,2326.0
France,production,diatomite,nan,tonnes (metric),1970,159803.0
German Federal Republic,production,diatomite,nan,tonnes (metric),1970,38255.0
Iceland,production,diatomite,nan,tonnes (metric),1970,13139.0
Italy,production,diatomite,nan,tonnes (metric),1970,59220.0
Kenya,production,diatomite,nan,tonnes (metric),1970,1601.0
Korea (Rep. of),production,diatomite,nan,tonnes (metric),1970,2584.0
Mexico,production,diatomite,nan,tonnes (metric),1970,16115.0
Mozambique,production,diatomite,nan,tonnes (metric),1970,118.0
New Zealand,production,diatomite,nan,tonnes (metric),1970,5883.0
Peru,production,diatomite,nan,tonnes (metric),1970,2559.0
Portugal,production,diatomite,nan,tonnes (metric),1970,3195.0
Romania,production,diatomite,nan,tonnes (metric),1970,
South Africa,production,diatomite,nan,tonnes (metric),1970,848.0
Soviet Union,production,diatomite,nan,tonnes (metric),1970,370000.0
Spain,production,diatomite,nan,tonnes (metric),1970,18357.0
Sweden,production,diatomite,nan,tonnes (metric),1970,627.0
Thailand,production,diatomite,nan,tonnes (metric),1970,
Turkey,production,diatomite,nan,tonnes (metric),1970,
USA,production,diatomite,nan,tonnes (metric),1970,542162.0
United Kingdom,production,diatomite,nan,tonnes (metric),1970,13762.0
Yugoslavia,production,diatomite,nan,tonnes (metric),1970,
Germany,production,diatomite,nan,tonnes (metric),1970,
China,production,diatomite,nan,tonnes (metric),1970,
Czech Republic,production,diatomite,nan,tonnes (metric),1970,
Hungary,production,diatomite,nan,tonnes (metric),1970,
Iran,production,diatomite,nan,tonnes (metric),1970,
Japan,production,diatomite,nan,tonnes (metric),1970,
North Macedonia,production,diatomite,nan,tonnes (metric),1970,
Poland,production,diatomite,nan,tonnes (metric),1970,
Saudi Arabia,production,diatomite,nan,tonnes (metric),1970,
Ethiopia,production,diatomite,nan,tonnes (metric),1970,
Kosovo,production,diatomite,nan,tonnes (metric),1970,
Vietnam,production,diatomite,nan,tonnes (metric),1970,
Armenia,production,diatomite,nan,tonnes (metric),1970,
Russia,production,diatomite,nan,tonnes (metric),1970,
Algeria,production,diatomite,nan,tonnes (metric),1971,4428.0
Argentina,production,diatomite,nan,tonnes (metric),1971,9587.0
Australia,production,diatomite,nan,tonnes (metric),1971,1927.0
Austria,production,diatomite,nan,tonnes (metric),1971,3084.0
Brazil,production,diatomite,nan,tonnes (metric),1971,
Canada,production,diatomite,nan,tonnes (metric),1971,450.0
Chile,production,diatomite,nan,tonnes (metric),1971,
