Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,production,germanium_metal,nan,tonnes (metric),1970,
Canada,production,germanium_metal,nan,tonnes (metric),1970,
France,production,germanium_metal,nan,tonnes (metric),1970,
Japan,production,germanium_metal,nan,tonnes (metric),1970,28.0
Namibia,production,germanium_metal,nan,tonnes (metric),1970,
Soviet Union,production,germanium_metal,nan,tonnes (metric),1970,
USA,production,germanium_metal,nan,tonnes (metric),1970,13.0
Zaire,production,germanium_metal,nan,tonnes (metric),1970,21.0
China,production,germanium_metal,nan,tonnes (metric),1970,
Belgium,production,germanium_metal,nan,tonnes (metric),1970,
Spain,production,germanium_metal,nan,tonnes (metric),1970,
Ukraine,production,germanium_metal,nan,tonnes (metric),1970,
Finland,production,germanium_metal,nan,tonnes (metric),1970,
Russia,production,germanium_metal,nan,tonnes (metric),1970,
Austria,production,germanium_metal,nan,tonnes (metric),1971,
Canada,production,germanium_metal,nan,tonnes (metric),1971,5.0
France,production,germanium_metal,nan,tonnes (metric),1971,
Japan,production,germanium_metal,nan,tonnes (metric),1971,19.0
Namibia,production,germanium_metal,nan,tonnes (metric),1971,5.0
Soviet Union,production,germanium_metal,nan,tonnes (metric),1971,
USA,production,germanium_metal,nan,tonnes (metric),1971,12.0
Zaire,production,germanium_metal,nan,tonnes (metric),1971,53.0
China,production,germanium_metal,nan,tonnes (metric),1971,
Belgium,production,germanium_metal,nan,tonnes (metric),1971,
Spain,production,germanium_metal,nan,tonnes (metric),1971,
Ukraine,production,germanium_metal,nan,tonnes (metric),1971,
Finland,production,germanium_metal,nan,tonnes (metric),1971,
Russia,production,germanium_metal,nan,tonnes (metric),1971,
Austria,production,germanium_metal,nan,tonnes (metric),1972,
Canada,production,germanium_metal,nan,tonnes (metric),1972,
France,production,germanium_metal,nan,tonnes (metric),1972,
Japan,production,germanium_metal,nan,tonnes (metric),1972,22.0
Namibia,production,germanium_metal,nan,tonnes (metric),1972,5.0
Soviet Union,production,germanium_metal,nan,tonnes (metric),1972,7.0
USA,production,germanium_metal,nan,tonnes (metric),1972,15.0
Zaire,production,germanium_metal,nan,tonnes (metric),1972,23.0
China,production,germanium_metal,nan,tonnes (metric),1972,
Belgium,production,germanium_metal,nan,tonnes (metric),1972,
Spain,production,germanium_metal,nan,tonnes (metric),1972,
Ukraine,production,germanium_metal,nan,tonnes (metric),1972,
Finland,production,germanium_metal,nan,tonnes (metric),1972,
Russia,production,germanium_metal,nan,tonnes (metric),1972,
Austria,production,germanium_metal,nan,tonnes (metric),1973,
Canada,production,germanium_metal,nan,tonnes (metric),1973,
France,production,germanium_metal,nan,tonnes (metric),1973,
Japan,production,germanium_metal,nan,tonnes (metric),1973,28.0
Namibia,production,germanium_metal,nan,tonnes (metric),1973,9.0
Soviet Union,production,germanium_metal,nan,tonnes (metric),1973,9.0
USA,production,germanium_metal,nan,tonnes (metric),1973,17.0
Zaire,production,germanium_metal,nan,tonnes (metric),1973,25.0
China,production,germanium_metal,nan,tonnes (metric),1973,
Belgium,production,germanium_metal,nan,tonnes (metric),1973,
Spain,production,germanium_metal,nan,tonnes (metric),1973,
Ukraine,production,germanium_metal,nan,tonnes (metric),1973,
Finland,production,germanium_metal,nan,tonnes (metric),1973,
Russia,production,germanium_metal,nan,tonnes (metric),1973,
Austria,production,germanium_metal,nan,tonnes (metric),1974,
Canada,production,germanium_metal,nan,tonnes (metric),1974,
France,production,germanium_metal,nan,tonnes (metric),1974,
Japan,production,germanium_metal,nan,tonnes (metric),1974,17.0
Namibia,production,germanium_metal,nan,tonnes (metric),1974,9.0
Soviet Union,production,germanium_metal,nan,tonnes (metric),1974,9.0
USA,production,germanium_metal,nan,tonnes (metric),1974,16.0
Zaire,production,germanium_metal,nan,tonnes (metric),1974,62.0
China,production,germanium_metal,nan,tonnes (metric),1974,
Belgium,production,germanium_metal,nan,tonnes (metric),1974,
Spain,production,germanium_metal,nan,tonnes (metric),1974,
Ukraine,production,germanium_metal,nan,tonnes (metric),1974,
Finland,production,germanium_metal,nan,tonnes (metric),1974,
Russia,production,germanium_metal,nan,tonnes (metric),1974,
Austria,production,germanium_metal,nan,tonnes (metric),1975,
Canada,production,germanium_metal,nan,tonnes (metric),1975,
France,production,germanium_metal,nan,tonnes (metric),1975,
Japan,production,germanium_metal,nan,tonnes (metric),1975,15.0
Namibia,production,germanium_metal,nan,tonnes (metric),1975,9.0
Soviet Union,production,germanium_metal,nan,tonnes (metric),1975,10.0
USA,production,germanium_metal,nan,tonnes (metric),1975,14.0
Zaire,production,germanium_metal,nan,tonnes (metric),1975,12.0
China,production,germanium_metal,nan,tonnes (metric),1975,
Belgium,production,germanium_metal,nan,tonnes (metric),1975,
Spain,production,germanium_metal,nan,tonnes (metric),1975,
Ukraine,production,germanium_metal,nan,tonnes (metric),1975,
Finland,production,germanium_metal,nan,tonnes (metric),1975,
Russia,production,germanium_metal,nan,tonnes (metric),1975,
Austria,production,germanium_metal,nan,tonnes (metric),1976,5.0
Canada,production,germanium_metal,nan,tonnes (metric),1976,
France,production,germanium_metal,nan,tonnes (metric),1976,
