Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Chile,production,iodine,nan,kilograms,1970,
China,production,iodine,nan,kilograms,1970,
Indonesia,production,iodine,nan,kilograms,1970,
Japan,production,iodine,nan,kilograms,1970,
Soviet Union,production,iodine,nan,kilograms,1970,
USA,production,iodine,nan,kilograms,1970,
Azerbaijan,production,iodine,nan,kilograms,1970,
Russia,production,iodine,nan,kilograms,1970,
Turkmenistan,production,iodine,nan,kilograms,1970,
Uzbekistan,production,iodine,nan,kilograms,1970,
Iran,production,iodine,nan,kilograms,1970,
Chile,production,iodine,nan,kilograms,1971,
China,production,iodine,nan,kilograms,1971,
Indonesia,production,iodine,nan,kilograms,1971,
Japan,production,iodine,nan,kilograms,1971,
Soviet Union,production,iodine,nan,kilograms,1971,
USA,production,iodine,nan,kilograms,1971,
Azerbaijan,production,iodine,nan,kilograms,1971,
Russia,production,iodine,nan,kilograms,1971,
Turkmenistan,production,iodine,nan,kilograms,1971,
Uzbekistan,production,iodine,nan,kilograms,1971,
Iran,production,iodine,nan,kilograms,1971,
Chile,production,iodine,nan,kilograms,1972,
China,production,iodine,nan,kilograms,1972,
Indonesia,production,iodine,nan,kilograms,1972,
Japan,production,iodine,nan,kilograms,1972,
Soviet Union,production,iodine,nan,kilograms,1972,
USA,production,iodine,nan,kilograms,1972,
Azerbaijan,production,iodine,nan,kilograms,1972,
Russia,production,iodine,nan,kilograms,1972,
Turkmenistan,production,iodine,nan,kilograms,1972,
Uzbekistan,production,iodine,nan,kilograms,1972,
Iran,production,iodine,nan,kilograms,1972,
Chile,production,iodine,nan,kilograms,1973,
China,production,iodine,nan,kilograms,1973,
Indonesia,production,iodine,nan,kilograms,1973,
Japan,production,iodine,nan,kilograms,1973,
Soviet Union,production,iodine,nan,kilograms,1973,
USA,production,iodine,nan,kilograms,1973,
Azerbaijan,production,iodine,nan,kilograms,1973,
Russia,production,iodine,nan,kilograms,1973,
Turkmenistan,production,iodine,nan,kilograms,1973,
Uzbekistan,production,iodine,nan,kilograms,1973,
Iran,production,iodine,nan,kilograms,1973,
Chile,production,iodine,nan,kilograms,1974,
China,production,iodine,nan,kilograms,1974,
Indonesia,production,iodine,nan,kilograms,1974,
Japan,production,iodine,nan,kilograms,1974,
Soviet Union,production,iodine,nan,kilograms,1974,
USA,production,iodine,nan,kilograms,1974,
Azerbaijan,production,iodine,nan,kilograms,1974,
Russia,production,iodine,nan,kilograms,1974,
Turkmenistan,production,iodine,nan,kilograms,1974,
Uzbekistan,production,iodine,nan,kilograms,1974,
Iran,production,iodine,nan,kilograms,1974,
Chile,production,iodine,nan,kilograms,1975,1961600.0
China,production,iodine,nan,kilograms,1975,
Indonesia,production,iodine,nan,kilograms,1975,33077.0
Japan,production,iodine,nan,kilograms,1975,6814319.0
Soviet Union,production,iodine,nan,kilograms,1975,2000000.0
USA,production,iodine,nan,kilograms,1975,
Azerbaijan,production,iodine,nan,kilograms,1975,
Russia,production,iodine,nan,kilograms,1975,
Turkmenistan,production,iodine,nan,kilograms,1975,
Uzbekistan,production,iodine,nan,kilograms,1975,
Iran,production,iodine,nan,kilograms,1975,
Chile,production,iodine,nan,kilograms,1976,1423500.0
China,production,iodine,nan,kilograms,1976,360000.0
Indonesia,production,iodine,nan,kilograms,1976,27000.0
Japan,production,iodine,nan,kilograms,1976,7000000.0
Soviet Union,production,iodine,nan,kilograms,1976,2300000.0
USA,production,iodine,nan,kilograms,1976,
Azerbaijan,production,iodine,nan,kilograms,1976,
Russia,production,iodine,nan,kilograms,1976,
Turkmenistan,production,iodine,nan,kilograms,1976,
Uzbekistan,production,iodine,nan,kilograms,1976,
Iran,production,iodine,nan,kilograms,1976,
Chile,production,iodine,nan,kilograms,1977,1856300.0
China,production,iodine,nan,kilograms,1977,360000.0
Indonesia,production,iodine,nan,kilograms,1977,12000.0
Japan,production,iodine,nan,kilograms,1977,6100000.0
Soviet Union,production,iodine,nan,kilograms,1977,2000000.0
USA,production,iodine,nan,kilograms,1977,600000.0
Azerbaijan,production,iodine,nan,kilograms,1977,
Russia,production,iodine,nan,kilograms,1977,
Turkmenistan,production,iodine,nan,kilograms,1977,
Uzbekistan,production,iodine,nan,kilograms,1977,
Iran,production,iodine,nan,kilograms,1977,
Chile,production,iodine,nan,kilograms,1978,1922000.0
China,production,iodine,nan,kilograms,1978,450000.0
Indonesia,production,iodine,nan,kilograms,1978,7000.0
Japan,production,iodine,nan,kilograms,1978,6000000.0
Soviet Union,production,iodine,nan,kilograms,1978,2000000.0
USA,production,iodine,nan,kilograms,1978,1000000.0
Azerbaijan,production,iodine,nan,kilograms,1978,
Russia,production,iodine,nan,kilograms,1978,
Turkmenistan,production,iodine,nan,kilograms,1978,
Uzbekistan,production,iodine,nan,kilograms,1978,
Iran,production,iodine,nan,kilograms,1978,
Chile,production,iodine,nan,kilograms,1979,2409600.0
China,production,iodine,nan,kilograms,1979,450000.0
Indonesia,production,iodine,nan,kilograms,1979,25287.0
Japan,production,iodine,nan,kilograms,1979,6250000.0
Soviet Union,production,iodine,nan,kilograms,1979,2000000.0
USA,production,iodine,nan,kilograms,1979,1000000.0
Azerbaijan,production,iodine,nan,kilograms,1979,
Russia,production,iodine,nan,kilograms,1979,
Turkmenistan,production,iodine,nan,kilograms,1979,
Uzbekistan,production,iodine,nan,kilograms,1979,
Iran,production,iodine,nan,kilograms,1979,
Chile,production,iodine,nan,kilograms,1980,2601000.0
China,production,iodine,nan,kilograms,1980,450000.0
Indonesia,production,iodine,nan,kilograms,1980,29306.0
Japan,production,iodine,nan,kilograms,1980,6525000.0
Soviet Union,production,iodine,nan,kilograms,1980,2000000.0
USA,production,iodine,nan,kilograms,1980,700000.0
Azerbaijan,production,iodine,nan,kilograms,1980,
Russia,production,iodine,nan,kilograms,1980,
Turkmenistan,production,iodine,nan,kilograms,1980,
