Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,production,iron_ore,nan,tonnes (metric),1970,540000.0
Algeria,production,iron_ore,nan,tonnes (metric),1970,2863000.0
Angola,production,iron_ore,nan,tonnes (metric),1970,6091000.0
Argentina,production,iron_ore,nan,tonnes (metric),1970,239000.0
Australia,production,iron_ore,nan,tonnes (metric),1970,51189000.0
Austria,production,iron_ore,nan,tonnes (metric),1970,3997000.0
Belgium,production,iron_ore,nan,tonnes (metric),1970,93000.0
Brazil,production,iron_ore,nan,tonnes (metric),1970,36381000.0
Bulgaria,production,iron_ore,nan,tonnes (metric),1970,2409000.0
Canada,production,iron_ore,nan,tonnes (metric),1970,47458000.0
Chile,production,iron_ore,nan,tonnes (metric),1970,11265000.0
China,production,iron_ore,nan,tonnes (metric),1970,44000000.0
Colombia,production,iron_ore,nan,tonnes (metric),1970,453000.0
Czechoslovakia,production,iron_ore,nan,tonnes (metric),1970,1606000.0
Egypt,production,iron_ore,nan,tonnes (metric),1970,451000.0
Eswatini (Swaziland),production,iron_ore,nan,tonnes (metric),1970,2552000.0
Finland,production,iron_ore,nan,tonnes (metric),1970,585000.0
France,production,iron_ore,nan,tonnes (metric),1970,56805000.0
German Democratic Rep,production,iron_ore,nan,tonnes (metric),1970,422000.0
German Federal Republic,production,iron_ore,nan,tonnes (metric),1970,5531000.0
Hong Kong,production,iron_ore,nan,tonnes (metric),1970,170000.0
Hungary,production,iron_ore,nan,tonnes (metric),1970,629000.0
India,production,iron_ore,nan,tonnes (metric),1970,31366000.0
Indonesia,production,iron_ore,nan,tonnes (metric),1970,
Iran,production,iron_ore,nan,tonnes (metric),1970,
Italy,production,iron_ore,nan,tonnes (metric),1970,757000.0
Japan,production,iron_ore,nan,tonnes (metric),1970,1574000.0
Korea (Rep. of),production,iron_ore,nan,tonnes (metric),1970,635000.0
"Korea, Dem. P.R. of",production,iron_ore,nan,tonnes (metric),1970,8000000.0
Liberia,production,iron_ore,nan,tonnes (metric),1970,22294000.0
Luxembourg,production,iron_ore,nan,tonnes (metric),1970,5722000.0
Malaysia,production,iron_ore,nan,tonnes (metric),1970,4491000.0
Mauritania,production,iron_ore,nan,tonnes (metric),1970,9103000.0
Mexico,production,iron_ore,nan,tonnes (metric),1970,4812000.0
Morocco,production,iron_ore,nan,tonnes (metric),1970,872000.0
New Zealand,production,iron_ore,nan,tonnes (metric),1970,142000.0
Norway,production,iron_ore,nan,tonnes (metric),1970,4008000.0
Peru,production,iron_ore,nan,tonnes (metric),1970,12585000.0
Philippines,production,iron_ore,nan,tonnes (metric),1970,1872000.0
Poland,production,iron_ore,nan,tonnes (metric),1970,2553000.0
Portugal,production,iron_ore,nan,tonnes (metric),1970,126000.0
Rhodesia,production,iron_ore,nan,tonnes (metric),1970,500000.0
Romania,production,iron_ore,nan,tonnes (metric),1970,3206000.0
South Africa,production,iron_ore,nan,tonnes (metric),1970,9192000.0
Soviet Union,production,iron_ore,nan,tonnes (metric),1970,195506000.0
Spain,production,iron_ore,nan,tonnes (metric),1970,7051000.0
Sweden,production,iron_ore,nan,tonnes (metric),1970,31518000.0
Thailand,production,iron_ore,nan,tonnes (metric),1970,23000.0
Tunisia,production,iron_ore,nan,tonnes (metric),1970,774000.0
Turkey,production,iron_ore,nan,tonnes (metric),1970,2671000.0
USA,production,iron_ore,nan,tonnes (metric),1970,91534000.0
United Kingdom,production,iron_ore,nan,tonnes (metric),1970,12018000.0
Venezuela,production,iron_ore,nan,tonnes (metric),1970,22070000.0
