Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,lead_refined,nan,tonnes (metric),1970,
Argentina,production,lead_refined,nan,tonnes (metric),1970,38000.0
Australia,production,lead_refined,nan,tonnes (metric),1970,351019.0
Austria,production,lead_refined,nan,tonnes (metric),1970,13500.0
Belgium,production,lead_refined,nan,tonnes (metric),1970,106024.0
Brazil,production,lead_refined,nan,tonnes (metric),1970,19451.0
Bulgaria,production,lead_refined,nan,tonnes (metric),1970,98000.0
Burma,production,lead_refined,nan,tonnes (metric),1970,9704.0
Canada,production,lead_refined,nan,tonnes (metric),1970,185638.0
China,production,lead_refined,nan,tonnes (metric),1970,100000.0
Colombia,production,lead_refined,nan,tonnes (metric),1970,
Czechoslovakia,production,lead_refined,nan,tonnes (metric),1970,17615.0
Denmark,production,lead_refined,nan,tonnes (metric),1970,
Finland,production,lead_refined,nan,tonnes (metric),1970,
France,production,lead_refined,nan,tonnes (metric),1970,119900.0
German Democratic Rep,production,lead_refined,nan,tonnes (metric),1970,25000.0
German Federal Republic,production,lead_refined,nan,tonnes (metric),1970,112500.0
Greece,production,lead_refined,nan,tonnes (metric),1970,14342.0
Guatemala,production,lead_refined,nan,tonnes (metric),1970,75.0
India,production,lead_refined,nan,tonnes (metric),1970,1862.0
"Ireland, Republic of",production,lead_refined,nan,tonnes (metric),1970,
Italy,production,lead_refined,nan,tonnes (metric),1970,54288.0
Jamaica,production,lead_refined,nan,tonnes (metric),1970,
Japan,production,lead_refined,nan,tonnes (metric),1970,174767.0
Korea (Rep. of),production,lead_refined,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",production,lead_refined,nan,tonnes (metric),1970,55000.0
Malaysia,production,lead_refined,nan,tonnes (metric),1970,
Mexico,production,lead_refined,nan,tonnes (metric),1970,180300.0
Morocco,production,lead_refined,nan,tonnes (metric),1970,24900.0
Namibia,production,lead_refined,nan,tonnes (metric),1970,67900.0
Netherlands,production,lead_refined,nan,tonnes (metric),1970,
