Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,production,lithium_minerals,nan,tonnes (metric),1970,
Brazil,production,lithium_minerals,Amblygonite                                       ,tonnes (metric),1970,
Brazil,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1970,
Brazil,production,lithium_minerals,Petalite                                          ,tonnes (metric),1970,
Brazil,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1970,
China,production,lithium_minerals,nan,tonnes (metric),1970,
Mozambique,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1970,
Mozambique,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1970,
Namibia,production,lithium_minerals,nan,tonnes (metric),1970,
Portugal,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1970,
Rhodesia,production,lithium_minerals,nan,tonnes (metric),1970,
Rwanda,production,lithium_minerals,Amblygonite                                       ,tonnes (metric),1970,
Soviet Union,production,lithium_minerals,nan,tonnes (metric),1970,
USA,production,lithium_minerals,nan,tonnes (metric),1970,
Australia,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1970,
Canada,production,lithium_minerals,nan,tonnes (metric),1970,
Chile,production,lithium_minerals,nan,tonnes (metric),1970,
Zimbabwe,production,lithium_minerals,nan,tonnes (metric),1970,
Spain,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1970,
Bolivia,production,lithium_minerals,nan,tonnes (metric),1970,
Canada,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1970,
Namibia,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1970,
Nigeria,production,lithium_minerals,nan,tonnes (metric),1970,
Argentina,production,lithium_minerals,nan,tonnes (metric),1971,
Brazil,production,lithium_minerals,Amblygonite                                       ,tonnes (metric),1971,
Brazil,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1971,
Brazil,production,lithium_minerals,Petalite                                          ,tonnes (metric),1971,
Brazil,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1971,
China,production,lithium_minerals,nan,tonnes (metric),1971,
Mozambique,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1971,
Mozambique,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1971,
Namibia,production,lithium_minerals,nan,tonnes (metric),1971,
Portugal,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1971,
Rhodesia,production,lithium_minerals,nan,tonnes (metric),1971,
Rwanda,production,lithium_minerals,Amblygonite                                       ,tonnes (metric),1971,
Soviet Union,production,lithium_minerals,nan,tonnes (metric),1971,
USA,production,lithium_minerals,nan,tonnes (metric),1971,
Australia,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1971,
Canada,production,lithium_minerals,nan,tonnes (metric),1971,
Chile,production,lithium_minerals,nan,tonnes (metric),1971,
Zimbabwe,production,lithium_minerals,nan,tonnes (metric),1971,
Spain,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1971,
Bolivia,production,lithium_minerals,nan,tonnes (metric),1971,
Canada,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1971,
Namibia,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1971,
Nigeria,production,lithium_minerals,nan,tonnes (metric),1971,
Argentina,production,lithium_minerals,nan,tonnes (metric),1972,
Brazil,production,lithium_minerals,Amblygonite                                       ,tonnes (metric),1972,
Brazil,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1972,
Brazil,production,lithium_minerals,Petalite                                          ,tonnes (metric),1972,
Brazil,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1972,
China,production,lithium_minerals,nan,tonnes (metric),1972,
Mozambique,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1972,
Mozambique,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1972,
Namibia,production,lithium_minerals,nan,tonnes (metric),1972,
Portugal,production,lithium_minerals,Lepidolite                                        ,tonnes (metric),1972,
Rhodesia,production,lithium_minerals,nan,tonnes (metric),1972,
Rwanda,production,lithium_minerals,Amblygonite                                       ,tonnes (metric),1972,
Soviet Union,production,lithium_minerals,nan,tonnes (metric),1972,
USA,production,lithium_minerals,nan,tonnes (metric),1972,
Australia,production,lithium_minerals,Spodumene                                         ,tonnes (metric),1972,
Canada,production,lithium_minerals,nan,tonnes (metric),1972,
