Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1970,
China,production,magnesium_metal_primary,nan,tonnes (metric),1970,
France,production,magnesium_metal_primary,nan,tonnes (metric),1970,
India,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1970,
USA,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1970,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1970,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1971,
China,production,magnesium_metal_primary,nan,tonnes (metric),1971,
France,production,magnesium_metal_primary,nan,tonnes (metric),1971,
India,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1971,
USA,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1971,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1971,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1972,
China,production,magnesium_metal_primary,nan,tonnes (metric),1972,
France,production,magnesium_metal_primary,nan,tonnes (metric),1972,
India,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1972,
USA,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1972,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1972,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1973,
China,production,magnesium_metal_primary,nan,tonnes (metric),1973,
France,production,magnesium_metal_primary,nan,tonnes (metric),1973,
India,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1973,
USA,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1973,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1973,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1974,5956.0
China,production,magnesium_metal_primary,nan,tonnes (metric),1974,1000.0
France,production,magnesium_metal_primary,nan,tonnes (metric),1974,6939.0
India,production,magnesium_metal_primary,nan,tonnes (metric),1974,0.0
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1974,7431.0
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1974,8659.0
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1974,39795.0
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1974,60000.0
USA,production,magnesium_metal_primary,nan,tonnes (metric),1974,123000.0
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1974,0.0
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1974,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1974,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1975,3826.0
China,production,magnesium_metal_primary,nan,tonnes (metric),1975,1000.0
France,production,magnesium_metal_primary,nan,tonnes (metric),1975,7532.0
India,production,magnesium_metal_primary,nan,tonnes (metric),1975,0.0
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1975,6344.0
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1975,8700.0
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1975,38337.0
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1975,60000.0
USA,production,magnesium_metal_primary,nan,tonnes (metric),1975,109000.0
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1975,0.0
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1975,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1975,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1976,6092.0
China,production,magnesium_metal_primary,nan,tonnes (metric),1976,5000.0
France,production,magnesium_metal_primary,nan,tonnes (metric),1976,8035.0
India,production,magnesium_metal_primary,nan,tonnes (metric),1976,30.0
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1976,7033.0
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1976,11200.0
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1976,38808.0
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1976,63000.0
USA,production,magnesium_metal_primary,nan,tonnes (metric),1976,108823.0
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1976,0.0
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1976,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1976,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1977,7633.0
China,production,magnesium_metal_primary,nan,tonnes (metric),1977,5000.0
France,production,magnesium_metal_primary,nan,tonnes (metric),1977,8683.0
India,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1977,8766.0
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1977,9400.0
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1977,38165.0
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1977,65000.0
USA,production,magnesium_metal_primary,nan,tonnes (metric),1977,114267.0
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1977,0.0
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1977,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1977,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1978,8309.0
China,production,magnesium_metal_primary,nan,tonnes (metric),1978,6000.0
France,production,magnesium_metal_primary,nan,tonnes (metric),1978,8500.0
India,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1978,9678.0
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1978,11200.0
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1978,39160.0
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1978,70000.0
USA,production,magnesium_metal_primary,nan,tonnes (metric),1978,135591.0
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1978,0.0
Brazil,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Israel,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Kazakhstan,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Russia,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Serbia and Montenegro,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Ukraine,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Congo,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Korea (Rep. of),production,magnesium_metal_primary,nan,tonnes (metric),1978,
Malaysia,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Oman,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Serbia,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Turkey,production,magnesium_metal_primary,nan,tonnes (metric),1978,
Canada,production,magnesium_metal_primary,nan,tonnes (metric),1979,9015.0
China,production,magnesium_metal_primary,nan,tonnes (metric),1979,6000.0
France,production,magnesium_metal_primary,nan,tonnes (metric),1979,9043.0
India,production,magnesium_metal_primary,nan,tonnes (metric),1979,
Italy,production,magnesium_metal_primary,nan,tonnes (metric),1979,8757.0
Japan,production,magnesium_metal_primary,nan,tonnes (metric),1979,11400.0
Norway,production,magnesium_metal_primary,nan,tonnes (metric),1979,44177.0
Soviet Union,production,magnesium_metal_primary,nan,tonnes (metric),1979,72000.0
USA,production,magnesium_metal_primary,nan,tonnes (metric),1979,147385.0
Yugoslavia,production,magnesium_metal_primary,nan,tonnes (metric),1979,500.0
