Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,mercury,nan,kilograms,1970,0.0
Australia,production,mercury,nan,kilograms,1970,1291.0
Canada,production,mercury,nan,kilograms,1970,841142.0
Chile,production,mercury,nan,kilograms,1970,13359.0
China,production,mercury,nan,kilograms,1970,680000.0
Colombia,production,mercury,nan,kilograms,1970,7736.0
Czechoslovakia,production,mercury,nan,kilograms,1970,166000.0
Finland,production,mercury,nan,kilograms,1970,3400.0
German Federal Republic,production,mercury,nan,kilograms,1970,
"Ireland, Republic of",production,mercury,nan,kilograms,1970,44950.0
Italy,production,mercury,nan,kilograms,1970,1533000.0
Japan,production,mercury,nan,kilograms,1970,202066.0
Mexico,production,mercury,nan,kilograms,1970,1043000.0
Peru,production,mercury,nan,kilograms,1970,110163.0
Philippines,production,mercury,nan,kilograms,1970,160231.0
Soviet Union,production,mercury,nan,kilograms,1970,1655000.0
Spain,production,mercury,nan,kilograms,1970,1542200.0
Tunisia,production,mercury,nan,kilograms,1970,3450.0
Turkey,production,mercury,nan,kilograms,1970,296000.0
USA,production,mercury,nan,kilograms,1970,940976.0
Yugoslavia,production,mercury,nan,kilograms,1970,533000.0
Kyrgyzstan,production,mercury,nan,kilograms,1970,
Morocco,production,mercury,nan,kilograms,1970,
Russia,production,mercury,nan,kilograms,1970,
Slovakia,production,mercury,nan,kilograms,1970,
Slovenia,production,mercury,nan,kilograms,1970,
Tajikistan,production,mercury,nan,kilograms,1970,
Ukraine,production,mercury,nan,kilograms,1970,
Argentina,production,mercury,nan,kilograms,1970,
Iran,production,mercury,nan,kilograms,1970,
Algeria,production,mercury,nan,kilograms,1971,245000.0
Australia,production,mercury,nan,kilograms,1971,302.0
Canada,production,mercury,nan,kilograms,1971,637751.0
Chile,production,mercury,nan,kilograms,1971,17307.0
China,production,mercury,nan,kilograms,1971,680000.0
Colombia,production,mercury,nan,kilograms,1971,6659.0
Czechoslovakia,production,mercury,nan,kilograms,1971,194000.0
Finland,production,mercury,nan,kilograms,1971,4650.0
German Federal Republic,production,mercury,nan,kilograms,1971,
"Ireland, Republic of",production,mercury,nan,kilograms,1971,80830.0
Italy,production,mercury,nan,kilograms,1971,1469000.0
Japan,production,mercury,nan,kilograms,1971,191808.0
Mexico,production,mercury,nan,kilograms,1971,1220000.0
Peru,production,mercury,nan,kilograms,1971,119340.0
Philippines,production,mercury,nan,kilograms,1971,173055.0
Soviet Union,production,mercury,nan,kilograms,1971,1724000.0
Spain,production,mercury,nan,kilograms,1971,1700115.0
Tunisia,production,mercury,nan,kilograms,1971,11710.0
Turkey,production,mercury,nan,kilograms,1971,357000.0
USA,production,mercury,nan,kilograms,1971,616481.0
Yugoslavia,production,mercury,nan,kilograms,1971,572000.0
Kyrgyzstan,production,mercury,nan,kilograms,1971,
Morocco,production,mercury,nan,kilograms,1971,
Russia,production,mercury,nan,kilograms,1971,
Slovakia,production,mercury,nan,kilograms,1971,
Slovenia,production,mercury,nan,kilograms,1971,
Tajikistan,production,mercury,nan,kilograms,1971,
Ukraine,production,mercury,nan,kilograms,1971,
Argentina,production,mercury,nan,kilograms,1971,
Iran,production,mercury,nan,kilograms,1971,
Algeria,production,mercury,nan,kilograms,1972,462000.0
Australia,production,mercury,nan,kilograms,1972,593.0
Canada,production,mercury,nan,kilograms,1972,504581.0
Chile,production,mercury,nan,kilograms,1972,22046.0
China,production,mercury,nan,kilograms,1972,896000.0
Colombia,production,mercury,nan,kilograms,1972,5274.0
Czechoslovakia,production,mercury,nan,kilograms,1972,228000.0
Finland,production,mercury,nan,kilograms,1972,7309.0
German Federal Republic,production,mercury,nan,kilograms,1972,
"Ireland, Republic of",production,mercury,nan,kilograms,1972,43100.0
Italy,production,mercury,nan,kilograms,1972,1441000.0
Japan,production,mercury,nan,kilograms,1972,173036.0
Mexico,production,mercury,nan,kilograms,1972,776000.0
Peru,production,mercury,nan,kilograms,1972,125182.0
Philippines,production,mercury,nan,kilograms,1972,115207.0
Soviet Union,production,mercury,nan,kilograms,1972,1724000.0
Spain,production,mercury,nan,kilograms,1972,1861336.0
Tunisia,production,mercury,nan,kilograms,1972,8200.0
Turkey,production,mercury,nan,kilograms,1972,260400.0
USA,production,mercury,nan,kilograms,1972,253342.0
