Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,production,molybdenum_mine,nan,tonnes (metal content),1970,98.0
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1970,200.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1970,25532.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1970,9500.0
China,production,molybdenum_mine,nan,tonnes (metal content),1970,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1970,441.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1970,192.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1970,235.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1970,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1970,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1970,505.0
Peru,production,molybdenum_mine,nan,tonnes (metal content),1970,1012.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1970,54.0
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1970,12900.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1970,
USA,production,molybdenum_mine,nan,tonnes (metal content),1970,84248.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1970,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1970,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1970,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1970,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1970,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1970,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1970,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1970,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1970,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1971,23.0
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1971,200.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1971,17133.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1971,10535.0
China,production,molybdenum_mine,nan,tonnes (metal content),1971,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1971,464.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1971,177.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1971,131.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1971,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1971,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1971,549.0
Peru,production,molybdenum_mine,nan,tonnes (metal content),1971,1337.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1971,6.0
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1971,13300.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1971,
USA,production,molybdenum_mine,nan,tonnes (metal content),1971,82916.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1971,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1971,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1971,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1971,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1971,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1971,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1971,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1971,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1971,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1972,7.0
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1972,230.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1972,21540.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1972,9808.0
China,production,molybdenum_mine,nan,tonnes (metal content),1972,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1972,374.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1972,84.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1972,130.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1972,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1972,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1972,522.0
Peru,production,molybdenum_mine,nan,tonnes (metal content),1972,1278.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1972,
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1972,13700.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1972,
USA,production,molybdenum_mine,nan,tonnes (metal content),1972,84800.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1972,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1972,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1972,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1972,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1972,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1972,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1972,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1972,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1972,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1973,7.0
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1973,230.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1973,22975.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1973,8072.0
China,production,molybdenum_mine,nan,tonnes (metal content),1973,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1973,274.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1973,85.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1973,68.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1973,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1973,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1973,188.0
Peru,production,molybdenum_mine,nan,tonnes (metal content),1973,1056.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1973,
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1973,14200.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1973,
USA,production,molybdenum_mine,nan,tonnes (metal content),1973,87600.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1973,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1973,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1973,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1973,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1973,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1973,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1973,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1973,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1973,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1974,
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1974,230.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1974,23237.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1974,16274.0
China,production,molybdenum_mine,nan,tonnes (metal content),1974,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1974,177.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1974,126.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1974,72.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1974,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1974,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1974,
Peru,production,molybdenum_mine,nan,tonnes (metal content),1974,1085.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1974,
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1974,14600.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1974,
USA,production,molybdenum_mine,nan,tonnes (metal content),1974,84700.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1974,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1974,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1974,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1974,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1974,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1974,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1974,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1974,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1974,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1975,
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1975,230.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1975,21712.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1975,15152.0
China,production,molybdenum_mine,nan,tonnes (metal content),1975,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1975,234.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1975,126.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1975,28.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1975,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1975,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1975,
Peru,production,molybdenum_mine,nan,tonnes (metal content),1975,739.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1975,
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1975,15100.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1975,
USA,production,molybdenum_mine,nan,tonnes (metal content),1975,80100.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1975,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1975,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1975,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1975,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1975,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1975,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1975,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1975,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1975,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1976,
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1976,230.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1976,24365.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1976,18165.0
China,production,molybdenum_mine,nan,tonnes (metal content),1976,2500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1976,408.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1976,200.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1976,27.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1976,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1976,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1976,
Peru,production,molybdenum_mine,nan,tonnes (metal content),1976,755.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1976,0.0
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1976,15600.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1976,24365.0
USA,production,molybdenum_mine,nan,tonnes (metal content),1976,85603.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1976,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1976,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1976,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1976,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1976,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1976,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1976,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1976,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1976,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1977,
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1977,150.0
Canada,production,molybdenum_mine,nan,tonnes (metal content),1977,16568.0
Chile,production,molybdenum_mine,nan,tonnes (metal content),1977,10938.0
China,production,molybdenum_mine,nan,tonnes (metal content),1977,1500.0
Japan,production,molybdenum_mine,nan,tonnes (metal content),1977,182.0
Korea (Rep. of),production,molybdenum_mine,nan,tonnes (metal content),1977,102.0
Mexico,production,molybdenum_mine,nan,tonnes (metal content),1977,1.0
Mongolia,production,molybdenum_mine,nan,tonnes (metal content),1977,
Niger,production,molybdenum_mine,nan,tonnes (metal content),1977,
Norway,production,molybdenum_mine,nan,tonnes (metal content),1977,
Peru,production,molybdenum_mine,nan,tonnes (metal content),1977,456.0
Philippines,production,molybdenum_mine,nan,tonnes (metal content),1977,0.0
Soviet Union,production,molybdenum_mine,nan,tonnes (metal content),1977,9700.0
Turkey,production,molybdenum_mine,nan,tonnes (metal content),1977,0.0
USA,production,molybdenum_mine,nan,tonnes (metal content),1977,55523.0
Iran,production,molybdenum_mine,nan,tonnes (metal content),1977,
Armenia,production,molybdenum_mine,nan,tonnes (metal content),1977,
Kazakhstan,production,molybdenum_mine,nan,tonnes (metal content),1977,
Kyrgyzstan,production,molybdenum_mine,nan,tonnes (metal content),1977,
Russia,production,molybdenum_mine,nan,tonnes (metal content),1977,
Uzbekistan,production,molybdenum_mine,nan,tonnes (metal content),1977,
Argentina,production,molybdenum_mine,nan,tonnes (metal content),1977,
Brazil,production,molybdenum_mine,nan,tonnes (metal content),1977,
Poland,production,molybdenum_mine,nan,tonnes (metal content),1977,
Australia,production,molybdenum_mine,nan,tonnes (metal content),1978,
Bulgaria,production,molybdenum_mine,nan,tonnes (metal content),1978,150.0
