Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,production,nickel_mine,nan,tonnes (metal content),1970,4000.0
Australia,production,nickel_mine,nan,tonnes (metal content),1970,29800.0
Botswana,production,nickel_mine,nan,tonnes (metal content),1970,0.0
Brazil,production,nickel_mine,nan,tonnes (metal content),1970,2990.0
Burma,production,nickel_mine,nan,tonnes (metal content),1970,34.0
Canada,production,nickel_mine,nan,tonnes (metal content),1970,277491.0
China,production,nickel_mine,nan,tonnes (metal content),1970,
Colombia,production,nickel_mine,nan,tonnes (metal content),1970,
Cuba,production,nickel_mine,nan,tonnes (metal content),1970,36775.0
Dominican Republic,production,nickel_mine,nan,tonnes (metal content),1970,0.0
Finland,production,nickel_mine,nan,tonnes (metal content),1970,5261.0
German Democratic Rep,production,nickel_mine,nan,tonnes (metal content),1970,
Greece,production,nickel_mine,nan,tonnes (metal content),1970,8600.0
Guatemala,production,nickel_mine,nan,tonnes (metal content),1970,
Indonesia,production,nickel_mine,nan,tonnes (metal content),1970,10800.0
Morocco,production,nickel_mine,nan,tonnes (metal content),1970,213.0
New Caledonia,production,nickel_mine,nan,tonnes (metal content),1970,138500.0
Norway,production,nickel_mine,nan,tonnes (metal content),1970,298.0
Philippines,production,nickel_mine,nan,tonnes (metal content),1970,103.0
Poland,production,nickel_mine,nan,tonnes (metal content),1970,1500.0
Rhodesia,production,nickel_mine,nan,tonnes (metal content),1970,11000.0
South Africa,production,nickel_mine,nan,tonnes (metal content),1970,11557.0
Soviet Union,production,nickel_mine,nan,tonnes (metal content),1970,110000.0
USA,production,nickel_mine,nan,tonnes (metal content),1970,14454.0
Yugoslavia,production,nickel_mine,nan,tonnes (metal content),1970,
Zimbabwe,production,nickel_mine,nan,tonnes (metal content),1970,
Kazakhstan,production,nickel_mine,nan,tonnes (metal content),1970,
North Macedonia,production,nickel_mine,nan,tonnes (metal content),1970,
Russia,production,nickel_mine,nan,tonnes (metal content),1970,
Serbia and Montenegro,production,nickel_mine,nan,tonnes (metal content),1970,
Turkey,production,nickel_mine,nan,tonnes (metal content),1970,
Ukraine,production,nickel_mine,nan,tonnes (metal content),1970,
Venezuela,production,nickel_mine,nan,tonnes (metal content),1970,
Kosovo,production,nickel_mine,nan,tonnes (metal content),1970,
Madagascar,production,nickel_mine,nan,tonnes (metal content),1970,
Papua New Guinea,production,nickel_mine,nan,tonnes (metal content),1970,
Spain,production,nickel_mine,nan,tonnes (metal content),1970,
Zambia,production,nickel_mine,nan,tonnes (metal content),1970,
Ivory Coast,production,nickel_mine,nan,tonnes (metal content),1970,
Vietnam,production,nickel_mine,nan,tonnes (metal content),1970,
Albania,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Australia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Brazil,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Canada,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
China,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Colombia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Cuba,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Czechoslovakia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Dominican Republic,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Finland,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
France,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
German Democratic Rep,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Greece,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Indonesia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Japan,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
New Caledonia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Norway,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Philippines,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Poland,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
South Africa,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Soviet Union,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
USA,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
United Kingdom,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Yugoslavia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Zimbabwe,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Korea (Rep. of),production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Taiwan,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Austria,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
North Macedonia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Russia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Serbia and Montenegro,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Ukraine,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Venezuela,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Kosovo,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Madagascar,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Serbia,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Burma,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Guatemala,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
India,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Morocco,production,nickel_smelter_refinery,nan,tonnes (metal content),1970,
Albania,production,nickel_mine,nan,tonnes (metal content),1971,4000.0
Australia,production,nickel_mine,nan,tonnes (metal content),1971,35500.0
Botswana,production,nickel_mine,nan,tonnes (metal content),1971,0.0
Brazil,production,nickel_mine,nan,tonnes (metal content),1971,3271.0
Burma,production,nickel_mine,nan,tonnes (metal content),1971,30.0
Canada,production,nickel_mine,nan,tonnes (metal content),1971,267023.0
China,production,nickel_mine,nan,tonnes (metal content),1971,
Colombia,production,nickel_mine,nan,tonnes (metal content),1971,
Cuba,production,nickel_mine,nan,tonnes (metal content),1971,36455.0
Dominican Republic,production,nickel_mine,nan,tonnes (metal content),1971,200.0
Finland,production,nickel_mine,nan,tonnes (metal content),1971,3723.0
German Democratic Rep,production,nickel_mine,nan,tonnes (metal content),1971,
Greece,production,nickel_mine,nan,tonnes (metal content),1971,10600.0
Guatemala,production,nickel_mine,nan,tonnes (metal content),1971,
Indonesia,production,nickel_mine,nan,tonnes (metal content),1971,12000.0
Morocco,production,nickel_mine,nan,tonnes (metal content),1971,200.0
New Caledonia,production,nickel_mine,nan,tonnes (metal content),1971,150900.0
Norway,production,nickel_mine,nan,tonnes (metal content),1971,360.0
Philippines,production,nickel_mine,nan,tonnes (metal content),1971,222.0
Poland,production,nickel_mine,nan,tonnes (metal content),1971,1500.0
Rhodesia,production,nickel_mine,nan,tonnes (metal content),1971,11600.0
South Africa,production,nickel_mine,nan,tonnes (metal content),1971,12757.0
Soviet Union,production,nickel_mine,nan,tonnes (metal content),1971,110000.0
USA,production,nickel_mine,nan,tonnes (metal content),1971,15455.0
Yugoslavia,production,nickel_mine,nan,tonnes (metal content),1971,
Zimbabwe,production,nickel_mine,nan,tonnes (metal content),1971,
Kazakhstan,production,nickel_mine,nan,tonnes (metal content),1971,
North Macedonia,production,nickel_mine,nan,tonnes (metal content),1971,
Russia,production,nickel_mine,nan,tonnes (metal content),1971,
Serbia and Montenegro,production,nickel_mine,nan,tonnes (metal content),1971,
Turkey,production,nickel_mine,nan,tonnes (metal content),1971,
Ukraine,production,nickel_mine,nan,tonnes (metal content),1971,
Venezuela,production,nickel_mine,nan,tonnes (metal content),1971,
Kosovo,production,nickel_mine,nan,tonnes (metal content),1971,
Madagascar,production,nickel_mine,nan,tonnes (metal content),1971,
Papua New Guinea,production,nickel_mine,nan,tonnes (metal content),1971,
Spain,production,nickel_mine,nan,tonnes (metal content),1971,
Zambia,production,nickel_mine,nan,tonnes (metal content),1971,
