Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,production,perlite,nan,tonnes (metric),1970,838.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1970,
Greece,production,perlite,nan,tonnes (metric),1970,168588.0
Hungary,production,perlite,nan,tonnes (metric),1970,
Italy,production,perlite,nan,tonnes (metric),1970,
Japan,production,perlite,nan,tonnes (metric),1970,
Mexico,production,perlite,nan,tonnes (metric),1970,12365.0
New Zealand,production,perlite,nan,tonnes (metric),1970,2000.0
Philippines,production,perlite,nan,tonnes (metric),1970,
Soviet Union,production,perlite,nan,tonnes (metric),1970,
Turkey,production,perlite,nan,tonnes (metric),1970,
USA,production,perlite,nan,tonnes (metric),1970,551000.0
Argentina,production,perlite,nan,tonnes (metric),1970,
Iran,production,perlite,nan,tonnes (metric),1970,
Armenia,production,perlite,nan,tonnes (metric),1970,
Bulgaria,production,perlite,nan,tonnes (metric),1970,
China,production,perlite,nan,tonnes (metric),1970,
Georgia,production,perlite,nan,tonnes (metric),1970,
India,production,perlite,nan,tonnes (metric),1970,
Morocco,production,perlite,nan,tonnes (metric),1970,
Russia,production,perlite,nan,tonnes (metric),1970,
Slovakia,production,perlite,nan,tonnes (metric),1970,
South Africa,production,perlite,nan,tonnes (metric),1970,
Thailand,production,perlite,nan,tonnes (metric),1970,
Ukraine,production,perlite,nan,tonnes (metric),1970,
Chile,production,perlite,nan,tonnes (metric),1970,
Djibouti,production,perlite,nan,tonnes (metric),1970,
Australia,production,perlite,nan,tonnes (metric),1971,2122.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1971,
Greece,production,perlite,nan,tonnes (metric),1971,171300.0
Hungary,production,perlite,nan,tonnes (metric),1971,60900.0
Italy,production,perlite,nan,tonnes (metric),1971,
Japan,production,perlite,nan,tonnes (metric),1971,
Mexico,production,perlite,nan,tonnes (metric),1971,9056.0
New Zealand,production,perlite,nan,tonnes (metric),1971,2000.0
Philippines,production,perlite,nan,tonnes (metric),1971,
Soviet Union,production,perlite,nan,tonnes (metric),1971,
Turkey,production,perlite,nan,tonnes (metric),1971,9180.0
USA,production,perlite,nan,tonnes (metric),1971,449000.0
Argentina,production,perlite,nan,tonnes (metric),1971,
Iran,production,perlite,nan,tonnes (metric),1971,
Armenia,production,perlite,nan,tonnes (metric),1971,
Bulgaria,production,perlite,nan,tonnes (metric),1971,
China,production,perlite,nan,tonnes (metric),1971,
Georgia,production,perlite,nan,tonnes (metric),1971,
India,production,perlite,nan,tonnes (metric),1971,
Morocco,production,perlite,nan,tonnes (metric),1971,
Russia,production,perlite,nan,tonnes (metric),1971,
Slovakia,production,perlite,nan,tonnes (metric),1971,
South Africa,production,perlite,nan,tonnes (metric),1971,
Thailand,production,perlite,nan,tonnes (metric),1971,
Ukraine,production,perlite,nan,tonnes (metric),1971,
Chile,production,perlite,nan,tonnes (metric),1971,
Djibouti,production,perlite,nan,tonnes (metric),1971,
Australia,production,perlite,nan,tonnes (metric),1972,1807.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1972,
Greece,production,perlite,nan,tonnes (metric),1972,123816.0
Hungary,production,perlite,nan,tonnes (metric),1972,63930.0
Italy,production,perlite,nan,tonnes (metric),1972,
Japan,production,perlite,nan,tonnes (metric),1972,
Mexico,production,perlite,nan,tonnes (metric),1972,12868.0
New Zealand,production,perlite,nan,tonnes (metric),1972,2540.0
Philippines,production,perlite,nan,tonnes (metric),1972,
Soviet Union,production,perlite,nan,tonnes (metric),1972,700000.0
Turkey,production,perlite,nan,tonnes (metric),1972,30400.0
USA,production,perlite,nan,tonnes (metric),1972,589000.0
Argentina,production,perlite,nan,tonnes (metric),1972,
Iran,production,perlite,nan,tonnes (metric),1972,
Armenia,production,perlite,nan,tonnes (metric),1972,
Bulgaria,production,perlite,nan,tonnes (metric),1972,
China,production,perlite,nan,tonnes (metric),1972,
Georgia,production,perlite,nan,tonnes (metric),1972,
India,production,perlite,nan,tonnes (metric),1972,
Morocco,production,perlite,nan,tonnes (metric),1972,
Russia,production,perlite,nan,tonnes (metric),1972,
Slovakia,production,perlite,nan,tonnes (metric),1972,
South Africa,production,perlite,nan,tonnes (metric),1972,
Thailand,production,perlite,nan,tonnes (metric),1972,
Ukraine,production,perlite,nan,tonnes (metric),1972,
Chile,production,perlite,nan,tonnes (metric),1972,
Djibouti,production,perlite,nan,tonnes (metric),1972,
Australia,production,perlite,nan,tonnes (metric),1973,2342.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1973,
Greece,production,perlite,nan,tonnes (metric),1973,247948.0
Hungary,production,perlite,nan,tonnes (metric),1973,95730.0
Italy,production,perlite,nan,tonnes (metric),1973,
Japan,production,perlite,nan,tonnes (metric),1973,
Mexico,production,perlite,nan,tonnes (metric),1973,13479.0
New Zealand,production,perlite,nan,tonnes (metric),1973,1599.0
Philippines,production,perlite,nan,tonnes (metric),1973,825.0
Soviet Union,production,perlite,nan,tonnes (metric),1973,700000.0
Turkey,production,perlite,nan,tonnes (metric),1973,14736.0
USA,production,perlite,nan,tonnes (metric),1973,689000.0
Argentina,production,perlite,nan,tonnes (metric),1973,
Iran,production,perlite,nan,tonnes (metric),1973,
Armenia,production,perlite,nan,tonnes (metric),1973,
Bulgaria,production,perlite,nan,tonnes (metric),1973,
China,production,perlite,nan,tonnes (metric),1973,
Georgia,production,perlite,nan,tonnes (metric),1973,
India,production,perlite,nan,tonnes (metric),1973,
Morocco,production,perlite,nan,tonnes (metric),1973,
Russia,production,perlite,nan,tonnes (metric),1973,
Slovakia,production,perlite,nan,tonnes (metric),1973,
South Africa,production,perlite,nan,tonnes (metric),1973,
Thailand,production,perlite,nan,tonnes (metric),1973,
Ukraine,production,perlite,nan,tonnes (metric),1973,
Chile,production,perlite,nan,tonnes (metric),1973,
Djibouti,production,perlite,nan,tonnes (metric),1973,
Australia,production,perlite,nan,tonnes (metric),1974,2061.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1974,
Greece,production,perlite,nan,tonnes (metric),1974,213017.0
Hungary,production,perlite,nan,tonnes (metric),1974,93000.0
Italy,production,perlite,nan,tonnes (metric),1974,
Japan,production,perlite,nan,tonnes (metric),1974,
Mexico,production,perlite,nan,tonnes (metric),1974,12136.0
New Zealand,production,perlite,nan,tonnes (metric),1974,465.0
Philippines,production,perlite,nan,tonnes (metric),1974,1131.0
Soviet Union,production,perlite,nan,tonnes (metric),1974,
Turkey,production,perlite,nan,tonnes (metric),1974,15503.0
USA,production,perlite,nan,tonnes (metric),1974,613000.0
Argentina,production,perlite,nan,tonnes (metric),1974,
Iran,production,perlite,nan,tonnes (metric),1974,
Armenia,production,perlite,nan,tonnes (metric),1974,
Bulgaria,production,perlite,nan,tonnes (metric),1974,
China,production,perlite,nan,tonnes (metric),1974,
Georgia,production,perlite,nan,tonnes (metric),1974,
India,production,perlite,nan,tonnes (metric),1974,
Morocco,production,perlite,nan,tonnes (metric),1974,
Russia,production,perlite,nan,tonnes (metric),1974,
Slovakia,production,perlite,nan,tonnes (metric),1974,
South Africa,production,perlite,nan,tonnes (metric),1974,
Thailand,production,perlite,nan,tonnes (metric),1974,
Ukraine,production,perlite,nan,tonnes (metric),1974,
Chile,production,perlite,nan,tonnes (metric),1974,
Djibouti,production,perlite,nan,tonnes (metric),1974,
Australia,production,perlite,nan,tonnes (metric),1975,3447.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1975,
Greece,production,perlite,nan,tonnes (metric),1975,163391.0
Hungary,production,perlite,nan,tonnes (metric),1975,72040.0
Italy,production,perlite,nan,tonnes (metric),1975,
Japan,production,perlite,nan,tonnes (metric),1975,
Mexico,production,perlite,nan,tonnes (metric),1975,19066.0
New Zealand,production,perlite,nan,tonnes (metric),1975,1500.0
Philippines,production,perlite,nan,tonnes (metric),1975,665.0
Soviet Union,production,perlite,nan,tonnes (metric),1975,
Turkey,production,perlite,nan,tonnes (metric),1975,10527.0
USA,production,perlite,nan,tonnes (metric),1975,640000.0
Argentina,production,perlite,nan,tonnes (metric),1975,
Iran,production,perlite,nan,tonnes (metric),1975,
Armenia,production,perlite,nan,tonnes (metric),1975,
Bulgaria,production,perlite,nan,tonnes (metric),1975,
China,production,perlite,nan,tonnes (metric),1975,
Georgia,production,perlite,nan,tonnes (metric),1975,
India,production,perlite,nan,tonnes (metric),1975,
Morocco,production,perlite,nan,tonnes (metric),1975,
Russia,production,perlite,nan,tonnes (metric),1975,
Slovakia,production,perlite,nan,tonnes (metric),1975,
South Africa,production,perlite,nan,tonnes (metric),1975,
Thailand,production,perlite,nan,tonnes (metric),1975,
Ukraine,production,perlite,nan,tonnes (metric),1975,
Chile,production,perlite,nan,tonnes (metric),1975,
Djibouti,production,perlite,nan,tonnes (metric),1975,
Australia,production,perlite,nan,tonnes (metric),1976,3448.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1976,
Greece,production,perlite,nan,tonnes (metric),1976,166875.0
Hungary,production,perlite,nan,tonnes (metric),1976,96180.0
Italy,production,perlite,nan,tonnes (metric),1976,95000.0
Japan,production,perlite,nan,tonnes (metric),1976,65000.0
Mexico,production,perlite,nan,tonnes (metric),1976,14555.0
New Zealand,production,perlite,nan,tonnes (metric),1976,1500.0
Philippines,production,perlite,nan,tonnes (metric),1976,1649.0
Soviet Union,production,perlite,nan,tonnes (metric),1976,330000.0
Turkey,production,perlite,nan,tonnes (metric),1976,24546.0
USA,production,perlite,nan,tonnes (metric),1976,660000.0
Argentina,production,perlite,nan,tonnes (metric),1976,
Iran,production,perlite,nan,tonnes (metric),1976,
Armenia,production,perlite,nan,tonnes (metric),1976,
Bulgaria,production,perlite,nan,tonnes (metric),1976,
China,production,perlite,nan,tonnes (metric),1976,
Georgia,production,perlite,nan,tonnes (metric),1976,
India,production,perlite,nan,tonnes (metric),1976,
Morocco,production,perlite,nan,tonnes (metric),1976,
Russia,production,perlite,nan,tonnes (metric),1976,
Slovakia,production,perlite,nan,tonnes (metric),1976,
South Africa,production,perlite,nan,tonnes (metric),1976,
Thailand,production,perlite,nan,tonnes (metric),1976,
Ukraine,production,perlite,nan,tonnes (metric),1976,
Chile,production,perlite,nan,tonnes (metric),1976,
Djibouti,production,perlite,nan,tonnes (metric),1976,
Australia,production,perlite,nan,tonnes (metric),1977,2115.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1977,
Greece,production,perlite,nan,tonnes (metric),1977,216149.0
Hungary,production,perlite,nan,tonnes (metric),1977,103270.0
Italy,production,perlite,nan,tonnes (metric),1977,90000.0
Japan,production,perlite,nan,tonnes (metric),1977,70000.0
Mexico,production,perlite,nan,tonnes (metric),1977,22429.0
New Zealand,production,perlite,nan,tonnes (metric),1977,1000.0
Philippines,production,perlite,nan,tonnes (metric),1977,1864.0
Soviet Union,production,perlite,nan,tonnes (metric),1977,350000.0
Turkey,production,perlite,nan,tonnes (metric),1977,14640.0
USA,production,perlite,nan,tonnes (metric),1977,790000.0
Argentina,production,perlite,nan,tonnes (metric),1977,
Iran,production,perlite,nan,tonnes (metric),1977,
Armenia,production,perlite,nan,tonnes (metric),1977,
Bulgaria,production,perlite,nan,tonnes (metric),1977,
China,production,perlite,nan,tonnes (metric),1977,
Georgia,production,perlite,nan,tonnes (metric),1977,
India,production,perlite,nan,tonnes (metric),1977,
Morocco,production,perlite,nan,tonnes (metric),1977,
Russia,production,perlite,nan,tonnes (metric),1977,
Slovakia,production,perlite,nan,tonnes (metric),1977,
South Africa,production,perlite,nan,tonnes (metric),1977,
Thailand,production,perlite,nan,tonnes (metric),1977,
Ukraine,production,perlite,nan,tonnes (metric),1977,
Chile,production,perlite,nan,tonnes (metric),1977,
Djibouti,production,perlite,nan,tonnes (metric),1977,
Australia,production,perlite,nan,tonnes (metric),1978,1417.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1978,40037.0
Greece,production,perlite,nan,tonnes (metric),1978,354115.0
Hungary,production,perlite,nan,tonnes (metric),1978,92630.0
Italy,production,perlite,nan,tonnes (metric),1978,90000.0
Japan,production,perlite,nan,tonnes (metric),1978,72500.0
Mexico,production,perlite,nan,tonnes (metric),1978,24517.0
New Zealand,production,perlite,nan,tonnes (metric),1978,558.0
Philippines,production,perlite,nan,tonnes (metric),1978,3168.0
Soviet Union,production,perlite,nan,tonnes (metric),1978,360000.0
Turkey,production,perlite,nan,tonnes (metric),1978,36612.0
USA,production,perlite,nan,tonnes (metric),1978,852000.0
Argentina,production,perlite,nan,tonnes (metric),1978,
Iran,production,perlite,nan,tonnes (metric),1978,
Armenia,production,perlite,nan,tonnes (metric),1978,
Bulgaria,production,perlite,nan,tonnes (metric),1978,
China,production,perlite,nan,tonnes (metric),1978,
Georgia,production,perlite,nan,tonnes (metric),1978,
India,production,perlite,nan,tonnes (metric),1978,
Morocco,production,perlite,nan,tonnes (metric),1978,
Russia,production,perlite,nan,tonnes (metric),1978,
Slovakia,production,perlite,nan,tonnes (metric),1978,
South Africa,production,perlite,nan,tonnes (metric),1978,
Thailand,production,perlite,nan,tonnes (metric),1978,
Ukraine,production,perlite,nan,tonnes (metric),1978,
Chile,production,perlite,nan,tonnes (metric),1978,
Djibouti,production,perlite,nan,tonnes (metric),1978,
Australia,production,perlite,nan,tonnes (metric),1979,2063.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1979,33853.0
Greece,production,perlite,nan,tonnes (metric),1979,377104.0
Hungary,production,perlite,nan,tonnes (metric),1979,97895.0
Italy,production,perlite,nan,tonnes (metric),1979,90000.0
Japan,production,perlite,nan,tonnes (metric),1979,75000.0
Mexico,production,perlite,nan,tonnes (metric),1979,41988.0
New Zealand,production,perlite,nan,tonnes (metric),1979,2209.0
Philippines,production,perlite,nan,tonnes (metric),1979,3806.0
Soviet Union,production,perlite,nan,tonnes (metric),1979,360000.0
Turkey,production,perlite,nan,tonnes (metric),1979,44084.0
USA,production,perlite,nan,tonnes (metric),1979,768000.0
Argentina,production,perlite,nan,tonnes (metric),1979,
Iran,production,perlite,nan,tonnes (metric),1979,
Armenia,production,perlite,nan,tonnes (metric),1979,
Bulgaria,production,perlite,nan,tonnes (metric),1979,
China,production,perlite,nan,tonnes (metric),1979,
Georgia,production,perlite,nan,tonnes (metric),1979,
India,production,perlite,nan,tonnes (metric),1979,
Morocco,production,perlite,nan,tonnes (metric),1979,
Russia,production,perlite,nan,tonnes (metric),1979,
Slovakia,production,perlite,nan,tonnes (metric),1979,
South Africa,production,perlite,nan,tonnes (metric),1979,
Thailand,production,perlite,nan,tonnes (metric),1979,
Ukraine,production,perlite,nan,tonnes (metric),1979,
Chile,production,perlite,nan,tonnes (metric),1979,
Djibouti,production,perlite,nan,tonnes (metric),1979,
Australia,production,perlite,nan,tonnes (metric),1980,2249.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1980,40302.0
Greece,production,perlite,nan,tonnes (metric),1980,403330.0
Hungary,production,perlite,nan,tonnes (metric),1980,99270.0
Italy,production,perlite,nan,tonnes (metric),1980,90000.0
Japan,production,perlite,nan,tonnes (metric),1980,80000.0
Mexico,production,perlite,nan,tonnes (metric),1980,44379.0
New Zealand,production,perlite,nan,tonnes (metric),1980,999.0
Philippines,production,perlite,nan,tonnes (metric),1980,7973.0
Soviet Union,production,perlite,nan,tonnes (metric),1980,360000.0
Turkey,production,perlite,nan,tonnes (metric),1980,25879.0
USA,production,perlite,nan,tonnes (metric),1980,748000.0
Argentina,production,perlite,nan,tonnes (metric),1980,
Iran,production,perlite,nan,tonnes (metric),1980,
Armenia,production,perlite,nan,tonnes (metric),1980,
Bulgaria,production,perlite,nan,tonnes (metric),1980,
China,production,perlite,nan,tonnes (metric),1980,
Georgia,production,perlite,nan,tonnes (metric),1980,
India,production,perlite,nan,tonnes (metric),1980,
Morocco,production,perlite,nan,tonnes (metric),1980,
Russia,production,perlite,nan,tonnes (metric),1980,
Slovakia,production,perlite,nan,tonnes (metric),1980,
South Africa,production,perlite,nan,tonnes (metric),1980,
Thailand,production,perlite,nan,tonnes (metric),1980,
Ukraine,production,perlite,nan,tonnes (metric),1980,
Chile,production,perlite,nan,tonnes (metric),1980,
Djibouti,production,perlite,nan,tonnes (metric),1980,
Australia,production,perlite,nan,tonnes (metric),1981,1476.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1981,42336.0
Greece,production,perlite,nan,tonnes (metric),1981,412110.0
Hungary,production,perlite,nan,tonnes (metric),1981,95190.0
Italy,production,perlite,nan,tonnes (metric),1981,85000.0
Japan,production,perlite,nan,tonnes (metric),1981,75000.0
Mexico,production,perlite,nan,tonnes (metric),1981,56731.0
New Zealand,production,perlite,nan,tonnes (metric),1981,999.0
Philippines,production,perlite,nan,tonnes (metric),1981,7530.0
Soviet Union,production,perlite,nan,tonnes (metric),1981,360000.0
Turkey,production,perlite,nan,tonnes (metric),1981,5650.0
USA,production,perlite,nan,tonnes (metric),1981,644000.0
Argentina,production,perlite,nan,tonnes (metric),1981,
Iran,production,perlite,nan,tonnes (metric),1981,
Armenia,production,perlite,nan,tonnes (metric),1981,
Bulgaria,production,perlite,nan,tonnes (metric),1981,
China,production,perlite,nan,tonnes (metric),1981,
Georgia,production,perlite,nan,tonnes (metric),1981,
India,production,perlite,nan,tonnes (metric),1981,
Morocco,production,perlite,nan,tonnes (metric),1981,
Russia,production,perlite,nan,tonnes (metric),1981,
Slovakia,production,perlite,nan,tonnes (metric),1981,
South Africa,production,perlite,nan,tonnes (metric),1981,
Thailand,production,perlite,nan,tonnes (metric),1981,
Ukraine,production,perlite,nan,tonnes (metric),1981,
Chile,production,perlite,nan,tonnes (metric),1981,
Djibouti,production,perlite,nan,tonnes (metric),1981,
Australia,production,perlite,nan,tonnes (metric),1982,1148.0
Czechoslovakia,production,perlite,nan,tonnes (metric),1982,45667.0
Greece,production,perlite,nan,tonnes (metric),1982,397609.0
Hungary,production,perlite,nan,tonnes (metric),1982,89975.0
Italy,production,perlite,nan,tonnes (metric),1982,80000.0
Japan,production,perlite,nan,tonnes (metric),1982,75000.0
Mexico,production,perlite,nan,tonnes (metric),1982,32425.0
New Zealand,production,perlite,nan,tonnes (metric),1982,2163.0
Philippines,production,perlite,nan,tonnes (metric),1982,3582.0
Soviet Union,production,perlite,nan,tonnes (metric),1982,600000.0
Turkey,production,perlite,nan,tonnes (metric),1982,19229.0
USA,production,perlite,nan,tonnes (metric),1982,565000.0
Argentina,production,perlite,nan,tonnes (metric),1982,
Iran,production,perlite,nan,tonnes (metric),1982,
Armenia,production,perlite,nan,tonnes (metric),1982,
Bulgaria,production,perlite,nan,tonnes (metric),1982,
China,production,perlite,nan,tonnes (metric),1982,
Georgia,production,perlite,nan,tonnes (metric),1982,
India,production,perlite,nan,tonnes (metric),1982,
Morocco,production,perlite,nan,tonnes (metric),1982,
Russia,production,perlite,nan,tonnes (metric),1982,
Slovakia,production,perlite,nan,tonnes (metric),1982,
South Africa,production,perlite,nan,tonnes (metric),1982,
