Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,production,petroleum_crude,nan,tonnes (metric),1970,1480000.0
Algeria,production,petroleum_crude,nan,tonnes (metric),1970,47253000.0
Angola,production,petroleum_crude,nan,tonnes (metric),1970,5065000.0
Argentina,production,petroleum_crude,nan,tonnes (metric),1970,20797000.0
Australia,production,petroleum_crude,nan,tonnes (metric),1970,8541000.0
Austria,production,petroleum_crude,nan,tonnes (metric),1970,2798000.0
Bahrain,production,petroleum_crude,nan,tonnes (metric),1970,3840000.0
Bolivia,production,petroleum_crude,nan,tonnes (metric),1970,1279000.0
Brazil,production,petroleum_crude,nan,tonnes (metric),1970,8835000.0
Brunei,production,petroleum_crude,nan,tonnes (metric),1970,6807000.0
Bulgaria,production,petroleum_crude,nan,tonnes (metric),1970,334000.0
Burma,production,petroleum_crude,nan,tonnes (metric),1970,818000.0
Cameroon,production,petroleum_crude,nan,tonnes (metric),1970,
Canada,production,petroleum_crude,nan,tonnes (metric),1970,66937000.0
Chile,production,petroleum_crude,nan,tonnes (metric),1970,1803000.0
China,production,petroleum_crude,nan,tonnes (metric),1970,25400000.0
Colombia,production,petroleum_crude,nan,tonnes (metric),1970,11619000.0
Congo,production,petroleum_crude,nan,tonnes (metric),1970,19000.0
Cuba,production,petroleum_crude,nan,tonnes (metric),1970,159000.0
Czechoslovakia,production,petroleum_crude,nan,tonnes (metric),1970,203000.0
Denmark,production,petroleum_crude,nan,tonnes (metric),1970,0.0
Ecuador,production,petroleum_crude,nan,tonnes (metric),1970,210000.0
Egypt,production,petroleum_crude,nan,tonnes (metric),1970,17282000.0
France,production,petroleum_crude,nan,tonnes (metric),1970,2309000.0
Gabon,production,petroleum_crude,nan,tonnes (metric),1970,5423000.0
German Democratic Rep,production,petroleum_crude,nan,tonnes (metric),1970,90000.0
German Federal Republic,production,petroleum_crude,nan,tonnes (metric),1970,7535000.0
Greece,production,petroleum_crude,nan,tonnes (metric),1970,
Hungary,production,petroleum_crude,nan,tonnes (metric),1970,1937000.0
India,production,petroleum_crude,nan,tonnes (metric),1970,6808000.0
Indonesia,production,petroleum_crude,nan,tonnes (metric),1970,42400000.0
Iran,production,petroleum_crude,nan,tonnes (metric),1970,175160000.0
Iraq,production,petroleum_crude,nan,tonnes (metric),1970,76448000.0
Israel,production,petroleum_crude,nan,tonnes (metric),1970,80000.0
Italy,production,petroleum_crude,nan,tonnes (metric),1970,1405000.0
Japan,production,petroleum_crude,nan,tonnes (metric),1970,820000.0
Kuwait,production,petroleum_crude,nan,tonnes (metric),1970,137397000.0
Libya,production,petroleum_crude,nan,tonnes (metric),1970,159890000.0
Malaysia,production,petroleum_crude,nan,tonnes (metric),1970,859000.0
Mexico,production,petroleum_crude,nan,tonnes (metric),1970,22701000.0
Morocco,production,petroleum_crude,nan,tonnes (metric),1970,44000.0
Netherlands,production,petroleum_crude,nan,tonnes (metric),1970,1991000.0
Neutral zone,production,petroleum_crude,nan,tonnes (metric),1970,25176000.0
New Zealand,production,petroleum_crude,nan,tonnes (metric),1970,68000.0
Nigeria,production,petroleum_crude,nan,tonnes (metric),1970,52800000.0
Norway,production,petroleum_crude,nan,tonnes (metric),1970,
Oman,production,petroleum_crude,nan,tonnes (metric),1970,16415000.0
Pakistan,production,petroleum_crude,nan,tonnes (metric),1970,482000.0
Peru,production,petroleum_crude,nan,tonnes (metric),1970,3813000.0
Philippines,production,petroleum_crude,nan,tonnes (metric),1970,
Poland,production,petroleum_crude,nan,tonnes (metric),1970,424000.0
Qatar,production,petroleum_crude,nan,tonnes (metric),1970,17520000.0
Romania,production,petroleum_crude,nan,tonnes (metric),1970,13377000.0
Saudi Arabia,production,petroleum_crude,nan,tonnes (metric),1970,176849000.0
Soviet Union,production,petroleum_crude,nan,tonnes (metric),1970,355000000.0
Spain,production,petroleum_crude,nan,tonnes (metric),1970,
Syria,production,petroleum_crude,nan,tonnes (metric),1970,4356000.0
