Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Canada,production,potash,Chloride                                          ,tonnes (K20 content),1970,3173243.0
Chile,production,potash,Nitrate                                           ,tonnes (K20 content),1970,22200.0
China,production,potash,nan,tonnes (K20 content),1970,
Congo,production,potash,nan,tonnes (K20 content),1970,206267.0
France,production,potash,Chloride                                          ,tonnes (K20 content),1970,1683670.0
France,production,potash,Other fertiliser salts,tonnes (K20 content),1970,55759.0
France,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,
German Democratic Rep,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,2419000.0
German Federal Republic,production,potash,Kainite,tonnes (K20 content),1970,
German Federal Republic,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,
Israel,production,potash,Chloride                                          ,tonnes (K20 content),1970,513000.0
Italy,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,241000.0
Soviet Union,production,potash,nan,tonnes (K20 content),1970,4450000.0
Spain,production,potash,Chloride                                          ,tonnes (K20 content),1970,519938.0
Spain,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,
USA,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,2476000.0
United Kingdom,production,potash,Chloride                                          ,tonnes (K20 content),1970,
Brazil,production,potash,Chloride                                          ,tonnes (K20 content),1970,
Chile,production,potash,Chloride                                          ,tonnes (K20 content),1970,
Germany,production,potash,Potassic salts                                    ,tonnes (K20 content),1970,
Jordan,production,potash,nan,tonnes (K20 content),1970,
Azerbaijan,production,potash,nan,tonnes (K20 content),1970,
Belarus,production,potash,nan,tonnes (K20 content),1970,
Russia,production,potash,nan,tonnes (K20 content),1970,
Ukraine,production,potash,nan,tonnes (K20 content),1970,
Russia,production,potash,Chloride                                          ,tonnes (K20 content),1970,
Laos,production,potash,nan,tonnes (K20 content),1970,
United Kingdom,production,potash,Polyhalite,tonnes (K20 content),1970,
Canada,production,potash,Chloride                                          ,tonnes (K20 content),1971,3572938.0
Chile,production,potash,Nitrate                                           ,tonnes (K20 content),1971,26200.0
China,production,potash,nan,tonnes (K20 content),1971,210000.0
Congo,production,potash,nan,tonnes (K20 content),1971,430150.0
France,production,potash,Chloride                                          ,tonnes (K20 content),1971,1802380.0
France,production,potash,Other fertiliser salts,tonnes (K20 content),1971,49131.0
France,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,
German Democratic Rep,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,2445000.0
German Federal Republic,production,potash,Kainite,tonnes (K20 content),1971,
German Federal Republic,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,
Israel,production,potash,Chloride                                          ,tonnes (K20 content),1971,550000.0
Italy,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,286000.0
Soviet Union,production,potash,nan,tonnes (K20 content),1971,5350000.0
Spain,production,potash,Chloride                                          ,tonnes (K20 content),1971,508640.0
Spain,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,
USA,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,2347000.0
United Kingdom,production,potash,Chloride                                          ,tonnes (K20 content),1971,
Brazil,production,potash,Chloride                                          ,tonnes (K20 content),1971,
Chile,production,potash,Chloride                                          ,tonnes (K20 content),1971,
Germany,production,potash,Potassic salts                                    ,tonnes (K20 content),1971,
Jordan,production,potash,nan,tonnes (K20 content),1971,
Azerbaijan,production,potash,nan,tonnes (K20 content),1971,
Belarus,production,potash,nan,tonnes (K20 content),1971,
Russia,production,potash,nan,tonnes (K20 content),1971,
Ukraine,production,potash,nan,tonnes (K20 content),1971,
Russia,production,potash,Chloride                                          ,tonnes (K20 content),1971,
Laos,production,potash,nan,tonnes (K20 content),1971,
United Kingdom,production,potash,Polyhalite,tonnes (K20 content),1971,
Canada,production,potash,Chloride                                          ,tonnes (K20 content),1972,3927618.0
Chile,production,potash,Nitrate                                           ,tonnes (K20 content),1972,24000.0
China,production,potash,nan,tonnes (K20 content),1972,280000.0
Congo,production,potash,nan,tonnes (K20 content),1972,287000.0
France,production,potash,Chloride                                          ,tonnes (K20 content),1972,1577530.0
France,production,potash,Other fertiliser salts,tonnes (K20 content),1972,46972.0
France,production,potash,Potassic salts                                    ,tonnes (K20 content),1972,
German Democratic Rep,production,potash,Potassic salts                                    ,tonnes (K20 content),1972,2458000.0
German Federal Republic,production,potash,Kainite,tonnes (K20 content),1972,
German Federal Republic,production,potash,Potassic salts                                    ,tonnes (K20 content),1972,
