Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Armenia,production,rhenium,nan,tonnes (metric),2000,
Canada,production,rhenium,nan,tonnes (metric),2000,
Chile,production,rhenium,nan,tonnes (metric),2000,
China,production,rhenium,nan,tonnes (metric),2000,
Kazakhstan,production,rhenium,nan,tonnes (metric),2000,
Peru,production,rhenium,nan,tonnes (metric),2000,
Poland,production,rhenium,nan,tonnes (metric),2000,
Russia,production,rhenium,nan,tonnes (metric),2000,
USA,production,rhenium,nan,tonnes (metric),2000,
Uzbekistan,production,rhenium,nan,tonnes (metric),2000,
Armenia,production,rhenium,nan,tonnes (metric),2001,
Canada,production,rhenium,nan,tonnes (metric),2001,
Chile,production,rhenium,nan,tonnes (metric),2001,
China,production,rhenium,nan,tonnes (metric),2001,
Kazakhstan,production,rhenium,nan,tonnes (metric),2001,
Peru,production,rhenium,nan,tonnes (metric),2001,
Poland,production,rhenium,nan,tonnes (metric),2001,
Russia,production,rhenium,nan,tonnes (metric),2001,
USA,production,rhenium,nan,tonnes (metric),2001,
Uzbekistan,production,rhenium,nan,tonnes (metric),2001,
Armenia,production,rhenium,nan,tonnes (metric),2002,
Canada,production,rhenium,nan,tonnes (metric),2002,
Chile,production,rhenium,nan,tonnes (metric),2002,
China,production,rhenium,nan,tonnes (metric),2002,
Kazakhstan,production,rhenium,nan,tonnes (metric),2002,
Peru,production,rhenium,nan,tonnes (metric),2002,
Poland,production,rhenium,nan,tonnes (metric),2002,
Russia,production,rhenium,nan,tonnes (metric),2002,
USA,production,rhenium,nan,tonnes (metric),2002,
Uzbekistan,production,rhenium,nan,tonnes (metric),2002,
Armenia,production,rhenium,nan,tonnes (metric),2003,
Canada,production,rhenium,nan,tonnes (metric),2003,
Chile,production,rhenium,nan,tonnes (metric),2003,
China,production,rhenium,nan,tonnes (metric),2003,
Kazakhstan,production,rhenium,nan,tonnes (metric),2003,
Peru,production,rhenium,nan,tonnes (metric),2003,
Poland,production,rhenium,nan,tonnes (metric),2003,
Russia,production,rhenium,nan,tonnes (metric),2003,
USA,production,rhenium,nan,tonnes (metric),2003,
Uzbekistan,production,rhenium,nan,tonnes (metric),2003,
Armenia,production,rhenium,nan,tonnes (metric),2004,
Canada,production,rhenium,nan,tonnes (metric),2004,
Chile,production,rhenium,nan,tonnes (metric),2004,
China,production,rhenium,nan,tonnes (metric),2004,
Kazakhstan,production,rhenium,nan,tonnes (metric),2004,
Peru,production,rhenium,nan,tonnes (metric),2004,
Poland,production,rhenium,nan,tonnes (metric),2004,
Russia,production,rhenium,nan,tonnes (metric),2004,
USA,production,rhenium,nan,tonnes (metric),2004,
Uzbekistan,production,rhenium,nan,tonnes (metric),2004,
Armenia,production,rhenium,nan,tonnes (metric),2005,
Canada,production,rhenium,nan,tonnes (metric),2005,
Chile,production,rhenium,nan,tonnes (metric),2005,
China,production,rhenium,nan,tonnes (metric),2005,
Kazakhstan,production,rhenium,nan,tonnes (metric),2005,
Peru,production,rhenium,nan,tonnes (metric),2005,
