Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,production,selenium_refined,nan,tonnes (metric),1970,5.0
Belgium,production,selenium_refined,nan,tonnes (metric),1970,31.0
Canada,production,selenium_refined,nan,tonnes (metric),1970,301.0
Chile,production,selenium_refined,nan,tonnes (metric),1970,
Finland,production,selenium_refined,nan,tonnes (metric),1970,7.0
Japan,production,selenium_refined,nan,tonnes (metric),1970,212.0
Mexico,production,selenium_refined,nan,tonnes (metric),1970,126.0
Peru,production,selenium_refined,nan,tonnes (metric),1970,7.0
Sweden,production,selenium_refined,nan,tonnes (metric),1970,65.0
USA,production,selenium_refined,nan,tonnes (metric),1970,456.0
Yugoslavia,production,selenium_refined,nan,tonnes (metric),1970,16.0
Zambia,production,selenium_refined,nan,tonnes (metric),1970,
China,production,selenium_refined,nan,tonnes (metric),1970,
German Democratic Rep,production,selenium_refined,nan,tonnes (metric),1970,
German Federal Republic,production,selenium_refined,nan,tonnes (metric),1970,
Germany,production,selenium_refined,nan,tonnes (metric),1970,
Philippines,production,selenium_refined,nan,tonnes (metric),1970,
India,production,selenium_refined,nan,tonnes (metric),1970,
Kazakhstan,production,selenium_refined,nan,tonnes (metric),1970,
Poland,production,selenium_refined,nan,tonnes (metric),1970,
Russia,production,selenium_refined,nan,tonnes (metric),1970,
Serbia and Montenegro,production,selenium_refined,nan,tonnes (metric),1970,
Uzbekistan,production,selenium_refined,nan,tonnes (metric),1970,
Armenia,production,selenium_refined,nan,tonnes (metric),1970,
Serbia,production,selenium_refined,nan,tonnes (metric),1970,
Australia,production,selenium_refined,nan,tonnes (metric),1971,17.0
Belgium,production,selenium_refined,nan,tonnes (metric),1971,55.0
Canada,production,selenium_refined,nan,tonnes (metric),1971,326.0
Chile,production,selenium_refined,nan,tonnes (metric),1971,
Finland,production,selenium_refined,nan,tonnes (metric),1971,6.0
Japan,production,selenium_refined,nan,tonnes (metric),1971,238.0
Mexico,production,selenium_refined,nan,tonnes (metric),1971,52.0
Peru,production,selenium_refined,nan,tonnes (metric),1971,7.0
Sweden,production,selenium_refined,nan,tonnes (metric),1971,50.0
USA,production,selenium_refined,nan,tonnes (metric),1971,298.0
Yugoslavia,production,selenium_refined,nan,tonnes (metric),1971,24.0
Zambia,production,selenium_refined,nan,tonnes (metric),1971,
China,production,selenium_refined,nan,tonnes (metric),1971,
German Democratic Rep,production,selenium_refined,nan,tonnes (metric),1971,
German Federal Republic,production,selenium_refined,nan,tonnes (metric),1971,
Germany,production,selenium_refined,nan,tonnes (metric),1971,
Philippines,production,selenium_refined,nan,tonnes (metric),1971,
India,production,selenium_refined,nan,tonnes (metric),1971,
Kazakhstan,production,selenium_refined,nan,tonnes (metric),1971,
Poland,production,selenium_refined,nan,tonnes (metric),1971,
Russia,production,selenium_refined,nan,tonnes (metric),1971,
Serbia and Montenegro,production,selenium_refined,nan,tonnes (metric),1971,
Uzbekistan,production,selenium_refined,nan,tonnes (metric),1971,
Armenia,production,selenium_refined,nan,tonnes (metric),1971,
Serbia,production,selenium_refined,nan,tonnes (metric),1971,
Australia,production,selenium_refined,nan,tonnes (metric),1972,36.0
