Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1970,
Australia,production,sillimanite_minerals,nan,tonnes (metric),1970,1183.0
Brazil,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,917.0
France,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,
India,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,
India,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,119126.0
India,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1970,4489.0
Korea (Rep. of),production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,38.0
Portugal,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,190.0
South Africa,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,42522.0
South Africa,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1970,31916.0
Soviet Union,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,
Spain,production,sillimanite_minerals,Andalusite & kyanite,tonnes (metric),1970,3050.0
USA,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,68000.0
USA,production,sillimanite_minerals,Other,tonnes (metric),1970,50363.0
Zimbabwe,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,
Australia,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,
China,production,sillimanite_minerals,nan,tonnes (metric),1970,
Czechoslovakia,production,sillimanite_minerals,nan,tonnes (metric),1970,
Romania,production,sillimanite_minerals,nan,tonnes (metric),1970,
Spain,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,
Sweden,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,
China,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1970,
China,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1970,
China,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,
Madagascar,production,sillimanite_minerals,nan,tonnes (metric),1970,
Nepal,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1970,
Australia,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1971,
Australia,production,sillimanite_minerals,nan,tonnes (metric),1971,857.0
Brazil,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,1000.0
France,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,8318.0
India,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,
India,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,63482.0
India,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1971,4327.0
Korea (Rep. of),production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,74.0
Portugal,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,181.0
South Africa,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,44471.0
South Africa,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1971,17460.0
Soviet Union,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,
Spain,production,sillimanite_minerals,Andalusite & kyanite,tonnes (metric),1971,5850.0
USA,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,69000.0
USA,production,sillimanite_minerals,Other,tonnes (metric),1971,49965.0
Zimbabwe,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,
Australia,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,
China,production,sillimanite_minerals,nan,tonnes (metric),1971,
Czechoslovakia,production,sillimanite_minerals,nan,tonnes (metric),1971,
Romania,production,sillimanite_minerals,nan,tonnes (metric),1971,
Spain,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,
Sweden,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,
China,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1971,
China,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1971,
China,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,
Madagascar,production,sillimanite_minerals,nan,tonnes (metric),1971,
Nepal,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1971,
Australia,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1972,
Australia,production,sillimanite_minerals,nan,tonnes (metric),1972,575.0
Brazil,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,630.0
France,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1972,5280.0
India,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1972,
India,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,67897.0
India,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1972,4046.0
Korea (Rep. of),production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1972,32.0
Portugal,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1972,103.0
South Africa,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1972,45857.0
South Africa,production,sillimanite_minerals,Sillimanite                                       ,tonnes (metric),1972,9476.0
Soviet Union,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,50000.0
Spain,production,sillimanite_minerals,Andalusite & kyanite,tonnes (metric),1972,5550.0
USA,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,70000.0
USA,production,sillimanite_minerals,Other,tonnes (metric),1972,42083.0
Zimbabwe,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,
Australia,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,
China,production,sillimanite_minerals,nan,tonnes (metric),1972,
Czechoslovakia,production,sillimanite_minerals,nan,tonnes (metric),1972,
Romania,production,sillimanite_minerals,nan,tonnes (metric),1972,
Spain,production,sillimanite_minerals,Andalusite                                        ,tonnes (metric),1972,
Sweden,production,sillimanite_minerals,Kyanite                                           ,tonnes (metric),1972,
