Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1990,
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1990,
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1990,
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1990,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1990,
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1990,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1991,
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1991,
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1991,
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1991,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1991,
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1991,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1992,
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1992,
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1992,167160.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1992,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1992,
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1992,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1993,
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1993,
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1993,216890.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1993,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1993,
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1993,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1994,
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1994,2153.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1994,226150.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1994,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1994,
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1994,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1995,201657.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1995,200.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1995,218450.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1995,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1995,10100000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1995,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1996,119137.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1996,4907.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1996,223000.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1996,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1996,10200000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1996,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1997,199990.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1997,5009.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1997,257640.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1997,
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1997,10700000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1997,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1998,195500.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1998,5272.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1998,242910.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1998,3112.0
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1998,10100000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1998,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),1999,233643.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),1999,4409.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),1999,245680.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),1999,3748.0
USA,production,sodium_carbonate_natural,nan,tonnes (metric),1999,10200000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),1999,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),2000,191000.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),2000,3805.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),2000,238190.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),2000,3075.0
USA,production,sodium_carbonate_natural,nan,tonnes (metric),2000,10200000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),2000,
Botswana,production,sodium_carbonate_natural,nan,tonnes (metric),2001,251231.0
Ethiopia,production,sodium_carbonate_natural,nan,tonnes (metric),2001,7543.0
Kenya,production,sodium_carbonate_natural,nan,tonnes (metric),2001,297780.0
Pakistan,production,sodium_carbonate_natural,nan,tonnes (metric),2001,3513.0
USA,production,sodium_carbonate_natural,nan,tonnes (metric),2001,10300000.0
Turkey,production,sodium_carbonate_natural,nan,tonnes (metric),2001,
