Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,steel_crude,nan,tonnes (metric),1970,
Argentina,production,steel_crude,nan,tonnes (metric),1970,1774000.0
Australia,production,steel_crude,nan,tonnes (metric),1970,6822000.0
Austria,production,steel_crude,nan,tonnes (metric),1970,4079000.0
Bangladesh,production,steel_crude,nan,tonnes (metric),1970,
Belgium,production,steel_crude,nan,tonnes (metric),1970,12606000.0
Brazil,production,steel_crude,nan,tonnes (metric),1970,5390000.0
Bulgaria,production,steel_crude,nan,tonnes (metric),1970,1800000.0
Burma,production,steel_crude,nan,tonnes (metric),1970,21000.0
Canada,production,steel_crude,nan,tonnes (metric),1970,11200000.0
Chile,production,steel_crude,nan,tonnes (metric),1970,547000.0
China,production,steel_crude,nan,tonnes (metric),1970,18000000.0
Colombia,production,steel_crude,nan,tonnes (metric),1970,239000.0
Cuba,production,steel_crude,nan,tonnes (metric),1970,
Czechoslovakia,production,steel_crude,nan,tonnes (metric),1970,11480000.0
Denmark,production,steel_crude,nan,tonnes (metric),1970,473000.0
Egypt,production,steel_crude,nan,tonnes (metric),1970,227000.0
Finland,production,steel_crude,nan,tonnes (metric),1970,1169000.0
France,production,steel_crude,nan,tonnes (metric),1970,23773000.0
German Democratic Rep,production,steel_crude,nan,tonnes (metric),1970,5053000.0
German Federal Republic,production,steel_crude,nan,tonnes (metric),1970,45041000.0
Greece,production,steel_crude,nan,tonnes (metric),1970,450000.0
Hong Kong,production,steel_crude,nan,tonnes (metric),1970,
Hungary,production,steel_crude,nan,tonnes (metric),1970,3157000.0
India,production,steel_crude,nan,tonnes (metric),1970,6232000.0
Indonesia,production,steel_crude,nan,tonnes (metric),1970,
Iran,production,steel_crude,nan,tonnes (metric),1970,
"Ireland, Republic of",production,steel_crude,nan,tonnes (metric),1970,78000.0
Israel,production,steel_crude,nan,tonnes (metric),1970,120000.0
Italy,production,steel_crude,nan,tonnes (metric),1970,17277000.0
Japan,production,steel_crude,nan,tonnes (metric),1970,93322000.0
Jordan,production,steel_crude,nan,tonnes (metric),1970,
Korea (Rep. of),production,steel_crude,nan,tonnes (metric),1970,481000.0
"Korea, Dem. P.R. of",production,steel_crude,nan,tonnes (metric),1970,2200000.0
Luxembourg,production,steel_crude,nan,tonnes (metric),1970,5462000.0
Malaysia,production,steel_crude,nan,tonnes (metric),1970,
Mexico,production,steel_crude,nan,tonnes (metric),1970,3840000.0
Netherlands,production,steel_crude,nan,tonnes (metric),1970,5042000.0
New Zealand,production,steel_crude,nan,tonnes (metric),1970,
Nigeria,production,steel_crude,nan,tonnes (metric),1970,
Norway,production,steel_crude,nan,tonnes (metric),1970,870000.0
Peru,production,steel_crude,nan,tonnes (metric),1970,94000.0
Philippines,production,steel_crude,nan,tonnes (metric),1970,
Poland,production,steel_crude,nan,tonnes (metric),1970,11792000.0
Portugal,production,steel_crude,nan,tonnes (metric),1970,385000.0
Qatar,production,steel_crude,nan,tonnes (metric),1970,
Rhodesia,production,steel_crude,nan,tonnes (metric),1970,163000.0
Romania,production,steel_crude,nan,tonnes (metric),1970,6517000.0
Saudi Arabia,production,steel_crude,nan,tonnes (metric),1970,
Singapore,production,steel_crude,nan,tonnes (metric),1970,
South Africa,production,steel_crude,nan,tonnes (metric),1970,4668000.0
Soviet Union,production,steel_crude,nan,tonnes (metric),1970,115886000.0
Spain,production,steel_crude,nan,tonnes (metric),1970,7388000.0
Sweden,production,steel_crude,nan,tonnes (metric),1970,5496000.0
Switzerland,production,steel_crude,nan,tonnes (metric),1970,524000.0
Syria,production,steel_crude,nan,tonnes (metric),1970,
Taiwan,production,steel_crude,nan,tonnes (metric),1970,294000.0
Thailand,production,steel_crude,nan,tonnes (metric),1970,40000.0
Tunisia,production,steel_crude,nan,tonnes (metric),1970,
Turkey,production,steel_crude,nan,tonnes (metric),1970,1312000.0
USA,production,steel_crude,nan,tonnes (metric),1970,119308000.0
United Kingdom,production,steel_crude,nan,tonnes (metric),1970,28316000.0
Uruguay,production,steel_crude,nan,tonnes (metric),1970,16000.0
Venezuela,production,steel_crude,nan,tonnes (metric),1970,927000.0
Vietnam,production,steel_crude,nan,tonnes (metric),1970,
Yugoslavia,production,steel_crude,nan,tonnes (metric),1970,2228000.0
Angola,production,steel_crude,nan,tonnes (metric),1970,
Dominican Republic,production,steel_crude,nan,tonnes (metric),1970,
Libya,production,steel_crude,nan,tonnes (metric),1970,
Pakistan,production,steel_crude,nan,tonnes (metric),1970,
Paraguay,production,steel_crude,nan,tonnes (metric),1970,
Trinidad & Tobago,production,steel_crude,nan,tonnes (metric),1970,
