Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Afghanistan,production,talc,nan,tonnes (metric),1970,
Argentina,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,6860.0
Argentina,production,talc,Steatite                                          ,tonnes (metric),1970,5376.0
Argentina,production,talc,nan,tonnes (metric),1970,18668.0
Australia,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,7707.0
Australia,production,talc,nan,tonnes (metric),1970,47518.0
Austria,production,talc,nan,tonnes (metric),1970,100159.0
Brazil,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Brazil,production,talc,nan,tonnes (metric),1970,88404.0
Burma,production,talc,nan,tonnes (metric),1970,
Canada,production,talc,nan,tonnes (metric),1970,65367.0
Chile,production,talc,nan,tonnes (metric),1970,639.0
China,production,talc,nan,tonnes (metric),1970,150000.0
Colombia,production,talc,nan,tonnes (metric),1970,1723.0
Egypt,production,talc,nan,tonnes (metric),1970,6487.0
Eswatini (Swaziland),production,talc,Pyrophyllite                                      ,tonnes (metric),1970,254.0
Finland,production,talc,nan,tonnes (metric),1970,62700.0
France,production,talc,nan,tonnes (metric),1970,233000.0
German Federal Republic,production,talc,nan,tonnes (metric),1970,33806.0
Greece,production,talc,nan,tonnes (metric),1970,2774.0
Hungary,production,talc,nan,tonnes (metric),1970,16149.0
India,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,13922.0
India,production,talc,Steatite                                          ,tonnes (metric),1970,159314.0
Italy,production,talc,nan,tonnes (metric),1970,154825.0
Japan,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,1538769.0
Japan,production,talc,nan,tonnes (metric),1970,137579.0
Korea (Rep. of),production,talc,Pyrophyllite                                      ,tonnes (metric),1970,120124.0
Korea (Rep. of),production,talc,nan,tonnes (metric),1970,83949.0
"Korea, Dem. P.R. of",production,talc,nan,tonnes (metric),1970,80000.0
Mexico,production,talc,nan,tonnes (metric),1970,1918.0
Norway,production,talc,nan,tonnes (metric),1970,75886.0
Pakistan,production,talc,nan,tonnes (metric),1970,1737.0
Paraguay,production,talc,nan,tonnes (metric),1970,120.0
Peru,production,talc,nan,tonnes (metric),1970,7908.0
Philippines,production,talc,nan,tonnes (metric),1970,1590.0
Portugal,production,talc,nan,tonnes (metric),1970,1807.0
Romania,production,talc,nan,tonnes (metric),1970,56728.0
South Africa,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
South Africa,production,talc,Wonderstone (Pyrophyllite)                        ,tonnes (metric),1970,4821.0
South Africa,production,talc,nan,tonnes (metric),1970,7568.0
Soviet Union,production,talc,nan,tonnes (metric),1970,380000.0
Spain,production,talc,nan,tonnes (metric),1970,39612.0
Sweden,production,talc,nan,tonnes (metric),1970,32200.0
Taiwan,production,talc,nan,tonnes (metric),1970,38717.0
Thailand,production,talc,nan,tonnes (metric),1970,
USA,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,108932.0
USA,production,talc,nan,tonnes (metric),1970,823584.0
United Kingdom,production,talc,nan,tonnes (metric),1970,10953.0
Uruguay,production,talc,nan,tonnes (metric),1970,1634.0
Zambia,production,talc,nan,tonnes (metric),1970,
Zimbabwe,production,talc,nan,tonnes (metric),1970,
Brazil,production,talc,Agalmatolite                                      ,tonnes (metric),1970,
Germany,production,talc,nan,tonnes (metric),1970,
Iran,production,talc,nan,tonnes (metric),1970,
Nepal,production,talc,nan,tonnes (metric),1970,
Turkey,production,talc,nan,tonnes (metric),1970,
Venezuela,production,talc,nan,tonnes (metric),1970,
Yugoslavia,production,talc,nan,tonnes (metric),1970,
Bhutan,production,talc,nan,tonnes (metric),1970,
Indonesia,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Morocco,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Morocco,production,talc,nan,tonnes (metric),1970,
North Macedonia,production,talc,nan,tonnes (metric),1970,
Peru,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Russia,production,talc,nan,tonnes (metric),1970,
Slovakia,production,talc,nan,tonnes (metric),1970,
Thailand,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Turkey,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Guatemala,production,talc,nan,tonnes (metric),1970,
Saudi Arabia,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Spain,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Sudan,production,talc,nan,tonnes (metric),1970,
Vietnam,production,talc,Pyrophyllite                                      ,tonnes (metric),1970,
Nigeria,production,talc,nan,tonnes (metric),1970,
Afghanistan,production,talc,nan,tonnes (metric),1971,
