Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Canada,production,tellurium_refined,nan,tonnes (metric),1970,26.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1970,
Japan,production,tellurium_refined,nan,tonnes (metric),1970,35.0
Peru,production,tellurium_refined,nan,tonnes (metric),1970,28.0
USA,production,tellurium_refined,nan,tonnes (metric),1970,72.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1970,
Russia,production,tellurium_refined,nan,tonnes (metric),1970,
Sweden,production,tellurium_refined,nan,tonnes (metric),1970,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1970,
China,production,tellurium_refined,nan,tonnes (metric),1970,
Canada,production,tellurium_refined,nan,tonnes (metric),1971,11.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1971,
Japan,production,tellurium_refined,nan,tonnes (metric),1971,36.0
Peru,production,tellurium_refined,nan,tonnes (metric),1971,24.0
USA,production,tellurium_refined,nan,tonnes (metric),1971,74.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1971,
Russia,production,tellurium_refined,nan,tonnes (metric),1971,
Sweden,production,tellurium_refined,nan,tonnes (metric),1971,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1971,
China,production,tellurium_refined,nan,tonnes (metric),1971,
Canada,production,tellurium_refined,nan,tonnes (metric),1972,27.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1972,
Japan,production,tellurium_refined,nan,tonnes (metric),1972,35.0
Peru,production,tellurium_refined,nan,tonnes (metric),1972,2.0
USA,production,tellurium_refined,nan,tonnes (metric),1972,117.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1972,
Russia,production,tellurium_refined,nan,tonnes (metric),1972,
Sweden,production,tellurium_refined,nan,tonnes (metric),1972,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1972,
China,production,tellurium_refined,nan,tonnes (metric),1972,
Canada,production,tellurium_refined,nan,tonnes (metric),1973,42.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1973,
Japan,production,tellurium_refined,nan,tonnes (metric),1973,24.0
Peru,production,tellurium_refined,nan,tonnes (metric),1973,26.0
USA,production,tellurium_refined,nan,tonnes (metric),1973,109.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1973,
Russia,production,tellurium_refined,nan,tonnes (metric),1973,
Sweden,production,tellurium_refined,nan,tonnes (metric),1973,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1973,
China,production,tellurium_refined,nan,tonnes (metric),1973,
Canada,production,tellurium_refined,nan,tonnes (metric),1974,63.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1974,
Japan,production,tellurium_refined,nan,tonnes (metric),1974,26.0
Peru,production,tellurium_refined,nan,tonnes (metric),1974,36.0
USA,production,tellurium_refined,nan,tonnes (metric),1974,87.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1974,
Russia,production,tellurium_refined,nan,tonnes (metric),1974,
Sweden,production,tellurium_refined,nan,tonnes (metric),1974,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1974,
China,production,tellurium_refined,nan,tonnes (metric),1974,
Canada,production,tellurium_refined,nan,tonnes (metric),1975,42.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1975,
Japan,production,tellurium_refined,nan,tonnes (metric),1975,33.0
Peru,production,tellurium_refined,nan,tonnes (metric),1975,21.0
USA,production,tellurium_refined,nan,tonnes (metric),1975,59.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1975,
Russia,production,tellurium_refined,nan,tonnes (metric),1975,
Sweden,production,tellurium_refined,nan,tonnes (metric),1975,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1975,
China,production,tellurium_refined,nan,tonnes (metric),1975,
Canada,production,tellurium_refined,nan,tonnes (metric),1976,53.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1976,2.0
Japan,production,tellurium_refined,nan,tonnes (metric),1976,33.0
Peru,production,tellurium_refined,nan,tonnes (metric),1976,12.0
USA,production,tellurium_refined,nan,tonnes (metric),1976,60.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1976,
Russia,production,tellurium_refined,nan,tonnes (metric),1976,
Sweden,production,tellurium_refined,nan,tonnes (metric),1976,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1976,
China,production,tellurium_refined,nan,tonnes (metric),1976,
Canada,production,tellurium_refined,nan,tonnes (metric),1977,37.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1977,12.0
Japan,production,tellurium_refined,nan,tonnes (metric),1977,65.0
Peru,production,tellurium_refined,nan,tonnes (metric),1977,18.0
USA,production,tellurium_refined,nan,tonnes (metric),1977,70.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1977,
Russia,production,tellurium_refined,nan,tonnes (metric),1977,
Sweden,production,tellurium_refined,nan,tonnes (metric),1977,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1977,
China,production,tellurium_refined,nan,tonnes (metric),1977,
Canada,production,tellurium_refined,nan,tonnes (metric),1978,45.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1978,23.0
Japan,production,tellurium_refined,nan,tonnes (metric),1978,69.0
Peru,production,tellurium_refined,nan,tonnes (metric),1978,15.0
USA,production,tellurium_refined,nan,tonnes (metric),1978,70.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1978,
Russia,production,tellurium_refined,nan,tonnes (metric),1978,
Sweden,production,tellurium_refined,nan,tonnes (metric),1978,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1978,
China,production,tellurium_refined,nan,tonnes (metric),1978,
Canada,production,tellurium_refined,nan,tonnes (metric),1979,47.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1979,23.0
Japan,production,tellurium_refined,nan,tonnes (metric),1979,56.0
Peru,production,tellurium_refined,nan,tonnes (metric),1979,21.0
USA,production,tellurium_refined,nan,tonnes (metric),1979,70.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1979,
Russia,production,tellurium_refined,nan,tonnes (metric),1979,
Sweden,production,tellurium_refined,nan,tonnes (metric),1979,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1979,
China,production,tellurium_refined,nan,tonnes (metric),1979,
Canada,production,tellurium_refined,nan,tonnes (metric),1980,9.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1980,11.0
Japan,production,tellurium_refined,nan,tonnes (metric),1980,69.0
Peru,production,tellurium_refined,nan,tonnes (metric),1980,21.0
USA,production,tellurium_refined,nan,tonnes (metric),1980,50.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1980,
Russia,production,tellurium_refined,nan,tonnes (metric),1980,
Sweden,production,tellurium_refined,nan,tonnes (metric),1980,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1980,
China,production,tellurium_refined,nan,tonnes (metric),1980,
Canada,production,tellurium_refined,nan,tonnes (metric),1981,21.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1981,
Japan,production,tellurium_refined,nan,tonnes (metric),1981,62.0
Peru,production,tellurium_refined,nan,tonnes (metric),1981,22.0
USA,production,tellurium_refined,nan,tonnes (metric),1981,70.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1981,
Russia,production,tellurium_refined,nan,tonnes (metric),1981,
Sweden,production,tellurium_refined,nan,tonnes (metric),1981,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1981,
China,production,tellurium_refined,nan,tonnes (metric),1981,
Canada,production,tellurium_refined,nan,tonnes (metric),1982,17.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1982,
Japan,production,tellurium_refined,nan,tonnes (metric),1982,63.0
Peru,production,tellurium_refined,nan,tonnes (metric),1982,20.0
USA,production,tellurium_refined,nan,tonnes (metric),1982,70.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1982,
Russia,production,tellurium_refined,nan,tonnes (metric),1982,
Sweden,production,tellurium_refined,nan,tonnes (metric),1982,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1982,
China,production,tellurium_refined,nan,tonnes (metric),1982,
Canada,production,tellurium_refined,nan,tonnes (metric),1983,24.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1983,
Japan,production,tellurium_refined,nan,tonnes (metric),1983,55.0
Peru,production,tellurium_refined,nan,tonnes (metric),1983,16.0
USA,production,tellurium_refined,nan,tonnes (metric),1983,75.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1983,
Russia,production,tellurium_refined,nan,tonnes (metric),1983,
Sweden,production,tellurium_refined,nan,tonnes (metric),1983,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1983,
China,production,tellurium_refined,nan,tonnes (metric),1983,
Canada,production,tellurium_refined,nan,tonnes (metric),1984,14.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1984,
Japan,production,tellurium_refined,nan,tonnes (metric),1984,65.0
Peru,production,tellurium_refined,nan,tonnes (metric),1984,14.0
USA,production,tellurium_refined,nan,tonnes (metric),1984,75.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1984,90.0
Russia,production,tellurium_refined,nan,tonnes (metric),1984,
Sweden,production,tellurium_refined,nan,tonnes (metric),1984,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1984,
China,production,tellurium_refined,nan,tonnes (metric),1984,
Canada,production,tellurium_refined,nan,tonnes (metric),1985,19.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1985,
Japan,production,tellurium_refined,nan,tonnes (metric),1985,66.0
Peru,production,tellurium_refined,nan,tonnes (metric),1985,15.0
USA,production,tellurium_refined,nan,tonnes (metric),1985,75.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1985,70.0
Russia,production,tellurium_refined,nan,tonnes (metric),1985,
Sweden,production,tellurium_refined,nan,tonnes (metric),1985,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1985,
China,production,tellurium_refined,nan,tonnes (metric),1985,
Canada,production,tellurium_refined,nan,tonnes (metric),1986,20.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1986,
Japan,production,tellurium_refined,nan,tonnes (metric),1986,56.0
Peru,production,tellurium_refined,nan,tonnes (metric),1986,10.0
USA,production,tellurium_refined,nan,tonnes (metric),1986,75.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1986,
Russia,production,tellurium_refined,nan,tonnes (metric),1986,
Sweden,production,tellurium_refined,nan,tonnes (metric),1986,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1986,
China,production,tellurium_refined,nan,tonnes (metric),1986,
Canada,production,tellurium_refined,nan,tonnes (metric),1987,13.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1987,
Japan,production,tellurium_refined,nan,tonnes (metric),1987,53.0
Peru,production,tellurium_refined,nan,tonnes (metric),1987,7.0
USA,production,tellurium_refined,nan,tonnes (metric),1987,42.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1987,
Russia,production,tellurium_refined,nan,tonnes (metric),1987,
Sweden,production,tellurium_refined,nan,tonnes (metric),1987,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1987,
China,production,tellurium_refined,nan,tonnes (metric),1987,
Canada,production,tellurium_refined,nan,tonnes (metric),1988,19.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1988,
Japan,production,tellurium_refined,nan,tonnes (metric),1988,55.0
Peru,production,tellurium_refined,nan,tonnes (metric),1988,4.0
USA,production,tellurium_refined,nan,tonnes (metric),1988,53.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1988,
Russia,production,tellurium_refined,nan,tonnes (metric),1988,
Sweden,production,tellurium_refined,nan,tonnes (metric),1988,
Bulgaria,production,tellurium_refined,nan,tonnes (metric),1988,
China,production,tellurium_refined,nan,tonnes (metric),1988,
Canada,production,tellurium_refined,nan,tonnes (metric),1989,8.0
Fiji,production,tellurium_refined,nan,tonnes (metric),1989,
Japan,production,tellurium_refined,nan,tonnes (metric),1989,51.0
Peru,production,tellurium_refined,nan,tonnes (metric),1989,8.0
USA,production,tellurium_refined,nan,tonnes (metric),1989,69.0
Belgium,production,tellurium_refined,nan,tonnes (metric),1989,
