Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,production,tin_mine,nan,kilograms (metal content),1970,1172.0
Australia,production,tin_mine,nan,kilograms (metal content),1970,8828.0
Bolivia,production,tin_mine,nan,kilograms (metal content),1970,28900.0
Brazil,production,tin_mine,nan,kilograms (metal content),1970,3578.0
Burma,production,tin_mine,nan,kilograms (metal content),1970,254.0
Cameroon,production,tin_mine,nan,kilograms (metal content),1970,36.0
Canada,production,tin_mine,nan,kilograms (metal content),1970,120.0
China,production,tin_mine,nan,kilograms (metal content),1970,
Congo,production,tin_mine,nan,kilograms (metal content),1970,48.0
Czechoslovakia,production,tin_mine,nan,kilograms (metal content),1970,
France,production,tin_mine,nan,kilograms (metal content),1970,337.0
German Democratic Rep,production,tin_mine,nan,kilograms (metal content),1970,1000.0
Indonesia,production,tin_mine,nan,kilograms (metal content),1970,19092.0
Japan,production,tin_mine,nan,kilograms (metal content),1970,793.0
Korea (Rep. of),production,tin_mine,nan,kilograms (metal content),1970,76.0
Laos,production,tin_mine,nan,kilograms (metal content),1970,1380.0
Malaysia,production,tin_mine,nan,kilograms (metal content),1970,73794.0
Mexico,production,tin_mine,nan,kilograms (metal content),1970,533.0
Morocco,production,tin_mine,nan,kilograms (metal content),1970,26.0
Namibia,production,tin_mine,nan,kilograms (metal content),1970,1044.0
Niger,production,tin_mine,nan,kilograms (metal content),1970,74.0
Nigeria,production,tin_mine,nan,kilograms (metal content),1970,7959.0
Peru,production,tin_mine,nan,kilograms (metal content),1970,103.0
Portugal,production,tin_mine,nan,kilograms (metal content),1970,435.0
Rhodesia,production,tin_mine,nan,kilograms (metal content),1970,600.0
Rwanda,production,tin_mine,nan,kilograms (metal content),1970,1440.0
South Africa,production,tin_mine,nan,kilograms (metal content),1970,1980.0
Soviet Union,production,tin_mine,nan,kilograms (metal content),1970,
Spain,production,tin_mine,nan,kilograms (metal content),1970,443.0
Tanzania,production,tin_mine,nan,kilograms (metal content),1970,50.0
Thailand,production,tin_mine,nan,kilograms (metal content),1970,21778.0
USA,production,tin_mine,nan,kilograms (metal content),1970,72.0
Uganda,production,tin_mine,nan,kilograms (metal content),1970,122.0
United Kingdom,production,tin_mine,nan,kilograms (metal content),1970,1772.0
Zaire,production,tin_mine,nan,kilograms (metal content),1970,6458.0
Mongolia,production,tin_mine,nan,kilograms (metal content),1970,
Vietnam,production,tin_mine,nan,kilograms (metal content),1970,
Zimbabwe,production,tin_mine,nan,kilograms (metal content),1970,
Burundi,production,tin_mine,nan,kilograms (metal content),1970,
"Congo, Democratic Republic",production,tin_mine,nan,kilograms (metal content),1970,
