Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,production,vermiculite,nan,tonnes (metric),1970,3238.0
Australia,production,vermiculite,nan,tonnes (metric),1970,
Brazil,production,vermiculite,nan,tonnes (metric),1970,8.0
Egypt,production,vermiculite,nan,tonnes (metric),1970,
India,production,vermiculite,nan,tonnes (metric),1970,1530.0
Japan,production,vermiculite,nan,tonnes (metric),1970,
Kenya,production,vermiculite,nan,tonnes (metric),1970,1668.0
South Africa,production,vermiculite,nan,tonnes (metric),1970,121896.0
Tanzania,production,vermiculite,nan,tonnes (metric),1970,150.0
USA,production,vermiculite,nan,tonnes (metric),1970,258548.0
Mexico,production,vermiculite,nan,tonnes (metric),1970,
Soviet Union,production,vermiculite,nan,tonnes (metric),1970,
Zimbabwe,production,vermiculite,nan,tonnes (metric),1970,
China,production,vermiculite,nan,tonnes (metric),1970,
Russia,production,vermiculite,nan,tonnes (metric),1970,
Uganda,production,vermiculite,nan,tonnes (metric),1970,
Iran,production,vermiculite,nan,tonnes (metric),1970,
Bulgaria,production,vermiculite,nan,tonnes (metric),1970,
Turkey,production,vermiculite,nan,tonnes (metric),1970,
Argentina,production,vermiculite,nan,tonnes (metric),1971,4288.0
Australia,production,vermiculite,nan,tonnes (metric),1971,
Brazil,production,vermiculite,nan,tonnes (metric),1971,94.0
Egypt,production,vermiculite,nan,tonnes (metric),1971,
India,production,vermiculite,nan,tonnes (metric),1971,537.0
Japan,production,vermiculite,nan,tonnes (metric),1971,
Kenya,production,vermiculite,nan,tonnes (metric),1971,1359.0
South Africa,production,vermiculite,nan,tonnes (metric),1971,132070.0
Tanzania,production,vermiculite,nan,tonnes (metric),1971,29.0
USA,production,vermiculite,nan,tonnes (metric),1971,273063.0
Mexico,production,vermiculite,nan,tonnes (metric),1971,
Soviet Union,production,vermiculite,nan,tonnes (metric),1971,
Zimbabwe,production,vermiculite,nan,tonnes (metric),1971,
China,production,vermiculite,nan,tonnes (metric),1971,
Russia,production,vermiculite,nan,tonnes (metric),1971,
Uganda,production,vermiculite,nan,tonnes (metric),1971,
Iran,production,vermiculite,nan,tonnes (metric),1971,
Bulgaria,production,vermiculite,nan,tonnes (metric),1971,
Turkey,production,vermiculite,nan,tonnes (metric),1971,
Argentina,production,vermiculite,nan,tonnes (metric),1972,4148.0
Australia,production,vermiculite,nan,tonnes (metric),1972,380.0
Brazil,production,vermiculite,nan,tonnes (metric),1972,564.0
Egypt,production,vermiculite,nan,tonnes (metric),1972,
India,production,vermiculite,nan,tonnes (metric),1972,1541.0
Japan,production,vermiculite,nan,tonnes (metric),1972,
Kenya,production,vermiculite,nan,tonnes (metric),1972,932.0
South Africa,production,vermiculite,nan,tonnes (metric),1972,147903.0
Tanzania,production,vermiculite,nan,tonnes (metric),1972,0.0
USA,production,vermiculite,nan,tonnes (metric),1972,305538.0
Mexico,production,vermiculite,nan,tonnes (metric),1972,
Soviet Union,production,vermiculite,nan,tonnes (metric),1972,
Zimbabwe,production,vermiculite,nan,tonnes (metric),1972,
China,production,vermiculite,nan,tonnes (metric),1972,
Russia,production,vermiculite,nan,tonnes (metric),1972,
Uganda,production,vermiculite,nan,tonnes (metric),1972,
Iran,production,vermiculite,nan,tonnes (metric),1972,
Bulgaria,production,vermiculite,nan,tonnes (metric),1972,
Turkey,production,vermiculite,nan,tonnes (metric),1972,
Argentina,production,vermiculite,nan,tonnes (metric),1973,2548.0
