Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,zinc_slab,nan,tonnes (metric),1970,
Argentina,production,zinc_slab,nan,tonnes (metric),1970,32000.0
Australia,production,zinc_slab,nan,tonnes (metric),1970,260594.0
Austria,production,zinc_slab,nan,tonnes (metric),1970,16018.0
Belgium,production,zinc_slab,nan,tonnes (metric),1970,241237.0
Brazil,production,zinc_slab,nan,tonnes (metric),1970,11000.0
Bulgaria,production,zinc_slab,nan,tonnes (metric),1970,76100.0
Canada,production,zinc_slab,nan,tonnes (metric),1970,413196.0
China,production,zinc_slab,nan,tonnes (metric),1970,100000.0
Finland,production,zinc_slab,nan,tonnes (metric),1970,57000.0
France,production,zinc_slab,nan,tonnes (metric),1970,223674.0
German Democratic Rep,production,zinc_slab,nan,tonnes (metric),1970,15000.0
German Federal Republic,production,zinc_slab,nan,tonnes (metric),1970,301200.0
India,production,zinc_slab,nan,tonnes (metric),1970,23415.0
Italy,production,zinc_slab,nan,tonnes (metric),1970,142082.0
Japan,production,zinc_slab,nan,tonnes (metric),1970,676250.0
Korea (Rep. of),production,zinc_slab,nan,tonnes (metric),1970,2300.0
"Korea, Dem. P.R. of",production,zinc_slab,nan,tonnes (metric),1970,90000.0
Mexico,production,zinc_slab,nan,tonnes (metric),1970,84600.0
Netherlands,production,zinc_slab,nan,tonnes (metric),1970,46700.0
Norway,production,zinc_slab,nan,tonnes (metric),1970,61400.0
Peru,production,zinc_slab,nan,tonnes (metric),1970,71011.0
Poland,production,zinc_slab,nan,tonnes (metric),1970,209000.0
Romania,production,zinc_slab,nan,tonnes (metric),1970,60000.0
South Africa,production,zinc_slab,nan,tonnes (metric),1970,27100.0
Soviet Union,production,zinc_slab,nan,tonnes (metric),1970,570000.0
Spain,production,zinc_slab,nan,tonnes (metric),1970,89100.0
Turkey,production,zinc_slab,nan,tonnes (metric),1970,
USA,production,zinc_slab,nan,tonnes (metric),1970,866332.0
United Kingdom,production,zinc_slab,nan,tonnes (metric),1970,146597.0
Vietnam,production,zinc_slab,nan,tonnes (metric),1970,
Yugoslavia,production,zinc_slab,nan,tonnes (metric),1970,65022.0
Zaire,production,zinc_slab,nan,tonnes (metric),1970,63744.0
Zambia,production,zinc_slab,nan,tonnes (metric),1970,53456.0
Portugal,production,zinc_slab,nan,tonnes (metric),1970,
Thailand,production,zinc_slab,nan,tonnes (metric),1970,
"Congo, Democratic Republic",production,zinc_slab,nan,tonnes (metric),1970,
Germany,production,zinc_slab,nan,tonnes (metric),1970,
Iran,production,zinc_slab,nan,tonnes (metric),1970,
Kazakhstan,production,zinc_slab,nan,tonnes (metric),1970,
Namibia,production,zinc_slab,nan,tonnes (metric),1970,
North Macedonia,production,zinc_slab,nan,tonnes (metric),1970,
Russia,production,zinc_slab,nan,tonnes (metric),1970,
Serbia and Montenegro,production,zinc_slab,nan,tonnes (metric),1970,
Ukraine,production,zinc_slab,nan,tonnes (metric),1970,
Uzbekistan,production,zinc_slab,nan,tonnes (metric),1970,
Kosovo,production,zinc_slab,nan,tonnes (metric),1970,
Serbia,production,zinc_slab,nan,tonnes (metric),1970,
Algeria,production,zinc_slab,nan,tonnes (metric),1971,
Argentina,production,zinc_slab,nan,tonnes (metric),1971,33500.0
Australia,production,zinc_slab,nan,tonnes (metric),1971,258699.0
Austria,production,zinc_slab,nan,tonnes (metric),1971,15969.0
Belgium,production,zinc_slab,nan,tonnes (metric),1971,212712.0
Brazil,production,zinc_slab,nan,tonnes (metric),1971,16300.0
Bulgaria,production,zinc_slab,nan,tonnes (metric),1971,79000.0
Canada,production,zinc_slab,nan,tonnes (metric),1971,372529.0
China,production,zinc_slab,nan,tonnes (metric),1971,100000.0
Finland,production,zinc_slab,nan,tonnes (metric),1971,63700.0
France,production,zinc_slab,nan,tonnes (metric),1971,210688.0
German Democratic Rep,production,zinc_slab,nan,tonnes (metric),1971,15000.0
German Federal Republic,production,zinc_slab,nan,tonnes (metric),1971,262600.0
India,production,zinc_slab,nan,tonnes (metric),1971,21219.0
Italy,production,zinc_slab,nan,tonnes (metric),1971,138919.0
Japan,production,zinc_slab,nan,tonnes (metric),1971,717728.0
Korea (Rep. of),production,zinc_slab,nan,tonnes (metric),1971,9200.0
"Korea, Dem. P.R. of",production,zinc_slab,nan,tonnes (metric),1971,100000.0
Mexico,production,zinc_slab,nan,tonnes (metric),1971,83400.0
Netherlands,production,zinc_slab,nan,tonnes (metric),1971,41400.0
Norway,production,zinc_slab,nan,tonnes (metric),1971,62560.0
Peru,production,zinc_slab,nan,tonnes (metric),1971,59143.0
Poland,production,zinc_slab,nan,tonnes (metric),1971,220000.0
Romania,production,zinc_slab,nan,tonnes (metric),1971,60000.0
South Africa,production,zinc_slab,nan,tonnes (metric),1971,42400.0
Soviet Union,production,zinc_slab,nan,tonnes (metric),1971,635000.0
Spain,production,zinc_slab,nan,tonnes (metric),1971,89309.0
Turkey,production,zinc_slab,nan,tonnes (metric),1971,
USA,production,zinc_slab,nan,tonnes (metric),1971,768709.0
United Kingdom,production,zinc_slab,nan,tonnes (metric),1971,116464.0
Vietnam,production,zinc_slab,nan,tonnes (metric),1971,
Yugoslavia,production,zinc_slab,nan,tonnes (metric),1971,53109.0
Zaire,production,zinc_slab,nan,tonnes (metric),1971,62673.0
Zambia,production,zinc_slab,nan,tonnes (metric),1971,57066.0
Portugal,production,zinc_slab,nan,tonnes (metric),1971,
Thailand,production,zinc_slab,nan,tonnes (metric),1971,
"Congo, Democratic Republic",production,zinc_slab,nan,tonnes (metric),1971,
Germany,production,zinc_slab,nan,tonnes (metric),1971,
Iran,production,zinc_slab,nan,tonnes (metric),1971,
Kazakhstan,production,zinc_slab,nan,tonnes (metric),1971,
Namibia,production,zinc_slab,nan,tonnes (metric),1971,
North Macedonia,production,zinc_slab,nan,tonnes (metric),1971,
Russia,production,zinc_slab,nan,tonnes (metric),1971,
Serbia and Montenegro,production,zinc_slab,nan,tonnes (metric),1971,
Ukraine,production,zinc_slab,nan,tonnes (metric),1971,
Uzbekistan,production,zinc_slab,nan,tonnes (metric),1971,
Kosovo,production,zinc_slab,nan,tonnes (metric),1971,
Serbia,production,zinc_slab,nan,tonnes (metric),1971,
Algeria,production,zinc_slab,nan,tonnes (metric),1972,
Argentina,production,zinc_slab,nan,tonnes (metric),1972,36500.0
Australia,production,zinc_slab,nan,tonnes (metric),1972,295030.0
Austria,production,zinc_slab,nan,tonnes (metric),1972,16877.0
Belgium,production,zinc_slab,nan,tonnes (metric),1972,254100.0
Brazil,production,zinc_slab,nan,tonnes (metric),1972,15557.0
Bulgaria,production,zinc_slab,nan,tonnes (metric),1972,80000.0
