Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,exports,aggregates_primary,,887.0,8321.0,24363.0,2517.0,1724.0,30524.0,34239.0,26607.0,49693.0,
Austria,exports,aggregates_primary,,2828621.0,2646753.0,2387082.0,2659189.0,2874392.0,2879900.0,2860221.0,2738850.0,3079193.0,
Belgium,exports,aggregates_primary,,12427043.0,13083592.0,12886680.0,12158112.0,13157456.0,12192464.0,12180644.0,10950359.0,10878748.0,
Bulgaria,exports,aggregates_primary,,262166.0,325857.0,513135.0,377613.0,392669.0,391527.0,456601.0,385459.0,332099.0,
Croatia,exports,aggregates_primary,,1858348.0,992712.0,586991.0,556143.0,821856.0,1259792.0,2085473.0,1786030.0,1832046.0,
Cyprus,exports,aggregates_primary,,0.0,2.0,78.0,67.0,2.0,353.0,45.0,25107.0,379975.0,
Czech Republic,exports,aggregates_primary,,683786.0,1010339.0,645164.0,701217.0,874293.0,732750.0,689601.0,822343.0,947969.0,
Denmark,exports,aggregates_primary,,907149.0,961853.0,1224741.0,1433979.0,1612849.0,1635917.0,1772430.0,2264156.0,2126118.0,
Estonia,exports,aggregates_primary,,810298.0,745353.0,689854.0,625329.0,636548.0,486164.0,348966.0,311514.0,290315.0,
Finland,exports,aggregates_primary,,1396025.0,2020822.0,953926.0,712702.0,772390.0,860027.0,660768.0,792476.0,1594881.0,
France,exports,aggregates_primary,,8142237.0,7226413.0,7769899.0,8224326.0,8385946.0,8009324.0,9428371.0,9373789.0,9096872.0,
Germany,exports,aggregates_primary,,25337558.0,29162240.0,25160776.0,21825199.0,22579753.0,20615712.0,21777399.0,22759742.0,20728377.0,
Greece,exports,aggregates_primary,,60851.0,76495.0,118173.0,318563.0,327344.0,531866.0,483929.0,555169.0,484401.0,
Hungary,exports,aggregates_primary,,1191521.0,1137425.0,1003456.0,1122883.0,1144496.0,1290419.0,1279441.0,1484371.0,1690599.0,
Iceland,exports,aggregates_primary,,44512.0,85854.0,92094.0,81265.0,53105.0,57830.0,76790.0,80438.0,106063.0,
"Ireland, Republic of",exports,aggregates_primary,,13318.0,16005.0,88530.0,147770.0,129518.0,677469.0,812503.0,335730.0,69827.0,
Italy,exports,aggregates_primary,,1507704.0,1071579.0,1073466.0,1120193.0,1201976.0,1112588.0,1086938.0,1027039.0,905094.0,
Latvia,exports,aggregates_primary,,101406.0,59930.0,19683.0,49235.0,76856.0,212377.0,274233.0,294871.0,235750.0,
Lithuania,exports,aggregates_primary,,57255.0,139291.0,118463.0,137961.0,142719.0,141733.0,94509.0,133338.0,291933.0,
Luxembourg,exports,aggregates_primary,,160773.0,161019.0,165025.0,152062.0,170609.0,104867.0,96837.0,105328.0,96235.0,
Malta,exports,aggregates_primary,,,,,,,0.0,0.0,0.0,0.0,
Montenegro,exports,aggregates_primary,,112522.0,32451.0,15527.0,45091.0,50500.0,158843.0,87801.0,40904.0,5379.0,
Netherlands,exports,aggregates_primary,,9311275.0,15472833.0,15140085.0,14071676.0,13479227.0,3681225.0,4452160.0,1058257.0,800028.0,
North Macedonia,exports,aggregates_primary,,,39217.0,47352.0,59418.0,64548.0,123664.0,62256.0,75005.0,92191.0,
Norway,exports,aggregates_primary,,16877617.0,20858955.0,19761572.0,18103600.0,18944242.0,21430759.0,23840593.0,25550713.0,26515356.0,
Poland,exports,aggregates_primary,,1031013.0,1058307.0,962169.0,1565938.0,1989610.0,1469943.0,1294454.0,1447312.0,1479296.0,
Portugal,exports,aggregates_primary,,67505.0,120946.0,71399.0,353360.0,309526.0,396396.0,478649.0,564892.0,662874.0,
Romania,exports,aggregates_primary,,360161.0,255970.0,438328.0,889084.0,1167093.0,804364.0,354152.0,1110419.0,2783243.0,
Serbia,exports,aggregates_primary,,127309.0,497637.0,485266.0,211015.0,263545.0,289442.0,478086.0,480585.0,309919.0,
Slovakia,exports,aggregates_primary,,598000.0,615008.0,525000.0,451383.0,434083.0,282538.0,355384.0,509489.0,843335.0,
Slovenia,exports,aggregates_primary,,488256.0,426686.0,406872.0,562005.0,660277.0,743020.0,760919.0,889909.0,1087930.0,
Spain,exports,aggregates_primary,,1105524.0,1249318.0,726145.0,953044.0,1293021.0,1760730.0,1468118.0,1525003.0,1469104.0,
Sweden,exports,aggregates_primary,,2248515.0,1624154.0,1602379.0,1234782.0,1079882.0,1319015.0,878413.0,1215449.0,1168351.0,
Switzerland,exports,aggregates_primary,,193312.0,188183.0,274029.0,215232.0,222546.0,213056.0,279209.0,249077.0,257771.0,
Turkey,exports,aggregates_primary,,955765.0,1237704.0,1299391.0,1534475.0,1160902.0,863679.0,1987957.0,935563.0,1174410.0,
United Kingdom,exports,aggregates_primary,,10992431.0,10800338.0,8823773.0,9223542.0,8484443.0,6474643.0,6261492.0,6762844.0,7260997.0,6722000.0
