Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,exports,antimony,Ores & concentrates                               ,1622.0,3114.0,3028.0,2872.0,1401.0,1958.0,2493.0,2704.0,2863.0,2971.0
Austria,exports,antimony,Metal                                             ,,,,,2.0,52.0,43.0,59.0,47.0,8.0
Austria,exports,antimony,Sulphide                                          ,67.0,,,,,,,,,
Belgium-Luxembourg,exports,antimony,Metal                                             ,,,,,,,,,,24.0
Belgium-Luxembourg,exports,antimony,Oxide                                             ,3800.0,3400.0,3500.0,3100.0,3400.0,3200.0,4100.0,6700.0,6700.0,8700.0
Bolivia,exports,antimony,Metal                                             ,453.0,458.0,300.0,450.0,625.0,374.0,165.0,159.0,61.0,322.0
Bolivia,exports,antimony,Ores & concentrates                               ,11686.0,6029.0,2224.0,1422.0,5565.0,3068.0,1859.0,1385.0,1310.0,806.0
Bolivia,exports,antimony,Oxide                                             ,762.0,3915.0,6000.0,5439.0,6283.0,5609.0,5504.0,5968.0,4508.0,2657.0
Canada,exports,antimony,Ores & concentrates                               ,463.0,81.0,893.0,1497.0,1307.0,1547.0,1305.0,195.0,519.0,0.0
China,exports,antimony,Metal                                             ,33368.0,29373.0,33322.0,36249.0,53862.0,40909.0,34539.0,31034.0,22365.0,45339.0
China,exports,antimony,Ores & concentrates                               ,10241.0,5087.0,4518.0,2652.0,420.0,1917.0,2257.0,3859.0,2375.0,
China,exports,antimony,Oxide                                             ,13014.0,14429.0,16905.0,17367.0,17731.0,20668.0,20040.0,28329.0,28062.0,36704.0
China,exports,antimony,Sulphide                                          ,10040.0,4064.0,,2518.0,13229.0,6101.0,6769.0,13850.0,5636.0,1975.0
Estonia,exports,antimony,Metal                                             ,,,,,,,,63.0,126.0,
Estonia,exports,antimony,Oxide                                             ,,,,,,,,155.0,258.0,
France,exports,antimony,Metal                                             ,72.0,206.0,97.0,277.0,288.0,709.0,387.0,74.0,132.0,13.0
France,exports,antimony,Ores & concentrates                               ,,,,,,,28.0,,,
France,exports,antimony,Oxide                                             ,5007.0,4408.0,4363.0,5105.0,6183.0,4199.0,4893.0,5270.0,5292.0,4371.0
German Federal Republic,exports,antimony,Metal                                             ,76.0,,,,,,,,,
German Federal Republic,exports,antimony,Oxide                                             ,675.0,,,,,,,,,
Germany,exports,antimony,Metal                                             ,,144.0,53.0,72.0,90.0,58.0,84.0,32.0,38.0,48.0
Germany,exports,antimony,Oxide                                             ,,653.0,725.0,843.0,1024.0,1044.0,791.0,957.0,1061.0,1141.0
