Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,exports,arsenic,Metallic arsenic                                  ,,,,,270.0,69.0,242.0,50.0,127.0,70.0
Belgium-Luxembourg,exports,arsenic,Metallic arsenic                                  ,4.0,,96.0,22.0,,,,2.0,0.0,5.0
Bolivia,exports,arsenic,White arsenic                                     ,300.0,463.0,633.0,663.0,341.0,362.0,255.0,282.0,284.0,438.0
Chile,exports,arsenic,White arsenic                                     ,5831.0,6822.0,6016.0,6242.0,3940.0,2977.0,9368.0,11159.0,11690.0,9789.0
China,exports,arsenic,Metallic arsenic                                  ,1200.0,1200.0,1760.0,1882.0,3466.0,2262.0,1368.0,1901.0,2184.0,2497.0
China,exports,arsenic,White arsenic                                     ,2000.0,12000.0,13400.0,12500.0,15400.0,16000.0,11200.0,16600.0,23900.0,
Denmark,exports,arsenic,Metallic arsenic                                  ,,,,,,,,1156.0,1301.0,
France,exports,arsenic,Metallic arsenic                                  ,784.0,1576.0,1375.0,3486.0,1736.0,142.0,19.0,7.0,8.0,5.0
German Federal Republic,exports,arsenic,Metallic arsenic                                  ,2.0,,,,,,,,,
Germany,exports,arsenic,Metallic arsenic                                  ,,74.0,9.0,14.0,0.0,19.0,19.0,13.0,17.0,22.0
Hong Kong,exports,arsenic,White arsenic                                     ,763.0,4264.0,,,,,,,,
Italy,exports,arsenic,Metallic arsenic                                  ,,12.0,11.0,5.0,1.0,,,0.0,14.0,5.0
Japan,exports,arsenic,Metallic arsenic                                  ,,,,,8.0,10.0,11.0,13.0,17.0,28.0
Korea (Rep. of),exports,arsenic,White arsenic                                     ,187.0,34.0,136.0,128.0,97.0,34.0,,,,
Mexico,exports,arsenic,White arsenic                                     ,,,,,,,,,,
Namibia,exports,arsenic,White arsenic                                     ,2055.0,1785.0,2419.0,2474.0,2246.0,2133.0,1550.0,1044.0,314.0,0.0
Netherlands,exports,arsenic,Metallic arsenic                                  ,27.0,12.0,25.0,41.0,34.0,41.0,,26.0,41.0,31.0
New Zealand,exports,arsenic,Metallic arsenic                                  ,,,,,,,99.0,83.0,106.0,96.0
USA,exports,arsenic,Metallic arsenic                                  ,219.0,261.0,106.0,367.0,107.0,482.0,81.0,81.0,534.0,1408.0
United Kingdom,exports,arsenic,Metallic arsenic                                  ,92.0,38.0,112.0,10.0,11.0,12.0,5.0,3.0,22.0,45.0
