Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Australia,exports,asbestos_unmanufactured,Unmanufactured,367.0,174.0,14265.0,33424.0,21046.0,24524.0,40145.0,20510.0,37094.0,54041.0
Austria,exports,asbestos_unmanufactured,Unmanufactured,29.0,20.0,136.0,54.0,131.0,183.0,449.0,102.0,,
Belgium-Luxembourg,exports,asbestos_unmanufactured,Unmanufactured,953.0,202.0,778.0,433.0,645.0,1721.0,269.0,225.0,221.0,131.0
Canada,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,,,
Canada,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,,,
Canada,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,,,
China,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,8000.0,6000.0,11100.0
Cyprus,exports,asbestos_unmanufactured,Unmanufactured,24133.0,22612.0,27988.0,28999.0,37166.0,28378.0,33552.0,35341.0,29338.0,39106.0
Denmark,exports,asbestos_unmanufactured,Unmanufactured,6.0,2.0,109.0,111.0,514.0,112.0,182.0,97.0,268.0,
Eswatini (Swaziland),exports,asbestos_unmanufactured,Unmanufactured,33057.0,35484.0,28683.0,39632.0,32421.0,41219.0,41847.0,34853.0,38083.0,37065.0
Finland,exports,asbestos_unmanufactured,Unmanufactured,9335.0,10113.0,5576.0,5225.0,4867.0,3512.0,0.0,,,
France,exports,asbestos_unmanufactured,Unmanufactured,201.0,338.0,5715.0,2694.0,317.0,2050.0,2314.0,1647.0,532.0,1348.0
German Federal Republic,exports,asbestos_unmanufactured,Unmanufactured,924.0,1271.0,1217.0,23237.0,57148.0,73770.0,67953.0,45551.0,44215.0,65365.0
Hong Kong,exports,asbestos_unmanufactured,Unmanufactured,,,7.0,1.0,21.0,705.0,433.0,215.0,225.0,1844.0
Hungary,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,3300.0,2600.0,5100.0
Italy,exports,asbestos_unmanufactured,Unmanufactured,48662.0,48793.0,54537.0,63181.0,67067.0,81073.0,83752.0,67106.0,68958.0,74478.0
Japan,exports,asbestos_unmanufactured,Unmanufactured,169.0,493.0,758.0,257.0,180.0,2158.0,3529.0,1226.0,756.0,147.0
Mozambique,exports,asbestos_unmanufactured,Unmanufactured,316.0,259.0,184.0,383.0,424.0,1148.0,,,,
Netherlands,exports,asbestos_unmanufactured,Unmanufactured,275.0,862.0,248.0,220.0,220.0,189.0,199.0,255.0,393.0,56.0
Singapore,exports,asbestos_unmanufactured,Unmanufactured,,,82.0,182.0,3150.0,1670.0,1098.0,5203.0,5901.0,9535.0
South Africa,exports,asbestos_unmanufactured,Amosite,95002.0,102842.0,90177.0,101361.0,91000.0,,,,,
South Africa,exports,asbestos_unmanufactured,Chrysotile,32992.0,34128.0,37178.0,57737.0,70000.0,,,,,
South Africa,exports,asbestos_unmanufactured,Crocidolite,127808.0,131046.0,120037.0,157249.0,160000.0,,,,,
South Africa,exports,asbestos_unmanufactured,Unmanufactured,,,,,,368000.0,335000.0,407000.0,385000.0,442800.0
Soviet Union,exports,asbestos_unmanufactured,Unmanufactured,385300.0,433000.0,432700.0,448900.0,528000.0,613303.0,630000.0,600000.0,600000.0,450000.0
Sweden,exports,asbestos_unmanufactured,Unmanufactured,184.0,53.0,9.0,57.0,60.0,173.0,119.0,225.0,1.0,112.0
Switzerland,exports,asbestos_unmanufactured,Unmanufactured,66.0,94.0,46.0,30.0,136.0,82.0,17.0,74.0,37.0,142.0
USA,exports,asbestos_unmanufactured,Unmanufactured,,,53183.0,60275.0,55994.0,33064.0,42568.0,34144.0,41782.0,42137.0
USA,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,,,
USA,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,,,
USA,exports,asbestos_unmanufactured,Waste,,21877.0,,,,,,,,
United Kingdom,exports,asbestos_unmanufactured,Unmanufactured,4740.0,2394.0,3710.0,2826.0,4698.0,1698.0,1996.0,705.0,522.0,616.0
Yugoslavia,exports,asbestos_unmanufactured,Unmanufactured,4741.0,1403.0,974.0,747.0,1735.0,3170.0,2163.0,2159.0,1902.0,1983.0
Zimbabwe,exports,asbestos_unmanufactured,Unmanufactured,,,,,,,,249961.0,212437.0,285021.0
