Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,barytes,Barium minerals,345.0,618.0,766.0,769.0,894.0,644.0,2976.0,873.0,874.0,
Belgium,exports,barytes,Barium minerals,3216.0,213.0,1713.0,11796.0,33463.0,7262.0,847.0,5101.0,22613.0,
Bulgaria,exports,barytes,Barium minerals,505.0,231.0,0.0,960.0,19373.0,59148.0,50386.0,67080.0,69603.0,
Cyprus,exports,barytes,Barium minerals,,,,,17.0,22.0,0.0,1036.0,2003.0,
Denmark,exports,barytes,Barium minerals,50.0,1300.0,300.0,700.0,1111.0,1400.0,1234.0,429.0,697.0,
France,exports,barytes,Barium minerals,10500.0,10600.0,11400.0,13500.0,754.0,664.0,591.0,853.0,510.0,
Germany,exports,barytes,Barium minerals,33000.0,34000.0,30800.0,23400.0,22800.0,29000.0,38500.0,42900.0,68300.0,
Hungary,exports,barytes,Barium minerals,,,180.0,2034.0,,,,,,
Italy,exports,barytes,Barium minerals,1906.0,2623.0,4898.0,4427.0,5735.0,8346.0,6778.0,7156.0,7481.0,
Netherlands,exports,barytes,Barium minerals,79880.0,71719.0,92823.0,95795.0,108073.0,101292.0,107475.0,134958.0,159180.0,
Norway,exports,barytes,Barium minerals,12071.0,8008.0,9954.0,13246.0,10729.0,11099.0,6651.0,4259.0,3462.0,
Portugal,exports,barytes,Barium minerals,,,,,99.0,52.0,352.0,290.0,557.0,
Romania,exports,barytes,Barium minerals,258.0,2009.0,1326.0,6802.0,1011.0,1345.0,3594.0,3924.0,7645.0,
Slovakia,exports,barytes,Barium minerals,641.0,230.0,197.0,10831.0,9549.0,9614.0,6400.0,5413.0,5388.0,
Spain,exports,barytes,Barium minerals,32427.0,34285.0,38285.0,34361.0,33825.0,39214.0,37412.0,48117.0,49401.0,
Turkey,exports,barytes,Barium minerals,175497.0,144238.0,157967.0,215363.0,273831.0,216712.0,166360.0,207913.0,319833.0,
United Kingdom,exports,barytes,Barium minerals,17851.0,15648.0,19072.0,13854.0,13550.0,12738.0,13089.0,17572.0,14284.0,13205.0
