Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,exports,bauxite_alumina_and_aluminium,Scrap                                             ,1763.0,3070.0,3530.0,3042.0,,,,,,3784.0
Albania,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,1158.0,1127.0,1874.0,2123.0,1189.0,526.0
Algeria,exports,bauxite_alumina_and_aluminium,Scrap                                             ,6530.0,,,,,,,,,
Argentina,exports,bauxite_alumina_and_aluminium,Scrap                                             ,3757.0,6447.0,10820.0,,,,,,,
Argentina,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,44570.0,69120.0,67005.0,,,,,,,
Argentina,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,143289.0,113413.0,136364.0,,,,,,,
Armenia,exports,bauxite_alumina_and_aluminium,Scrap                                             ,15810.0,10300.0,8893.0,,,,,,,
Australia,exports,bauxite_alumina_and_aluminium,Alumina                                           ,12071264.0,12645044.0,12606639.0,,,,,,,
Australia,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,377542.0,338896.0,285292.0,,,,,,,
Australia,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,7500000.0,7500000.0,7500000.0,,,,,,,
Australia,exports,bauxite_alumina_and_aluminium,Scrap                                             ,70809.0,91043.0,106762.0,,,,,,,
Australia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,1223694.0,1205901.0,1130088.0,,,,,,,
Australia,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,157328.0,278494.0,397148.0,,,,,,,
Austria,exports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,705.0
Austria,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,,,,,1221.0,980.0,765.0,,1202.0,546.0
Austria,exports,bauxite_alumina_and_aluminium,Scrap                                             ,54104.0,55565.0,57505.0,52564.0,71362.0,67434.0,80200.0,91960.0,90825.0,118028.0
