Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,bentonite_and_fuller's_earth,Bentonite                                         ,3447.0,4954.0,4513.0,4947.0,4149.0,4822.0,5482.0,5921.0,5505.0,
Belgium,exports,bentonite_and_fuller's_earth,Bentonite                                         ,28632.0,28512.0,31222.0,29489.0,43915.0,45584.0,44584.0,66017.0,49352.0,
Bulgaria,exports,bentonite_and_fuller's_earth,Bentonite                                         ,72183.0,67118.0,63090.0,45919.0,35954.0,41236.0,43356.0,51780.0,44039.0,
Croatia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,,,77.0,100.0,392.0,301.0,1908.0,265.0,218.0,
Cyprus,exports,bentonite_and_fuller's_earth,Bentonite                                         ,98803.0,114923.0,130413.0,122699.0,116581.0,113158.0,103136.0,88044.0,93959.0,
Czech Republic,exports,bentonite_and_fuller's_earth,Bentonite                                         ,120859.0,143788.0,151474.0,162165.0,167979.0,168883.0,164984.0,169527.0,162641.0,
Denmark,exports,bentonite_and_fuller's_earth,Bentonite                                         ,13787.0,13827.0,17711.0,20620.0,36421.0,32324.0,23384.0,32458.0,33595.0,
Finland,exports,bentonite_and_fuller's_earth,Bentonite                                         ,0.0,61.0,27.0,123.0,540.0,1446.0,997.0,310.0,249.0,
France,exports,bentonite_and_fuller's_earth,Bentonite                                         ,12709.0,11472.0,8826.0,7658.0,9365.0,8532.0,9961.0,12549.0,5941.0,
Germany,exports,bentonite_and_fuller's_earth,Bentonite                                         ,84920.0,91477.0,82504.0,72020.0,73547.0,69098.0,81835.0,78332.0,76173.0,
Greece,exports,bentonite_and_fuller's_earth,Bentonite                                         ,13203.0,33306.0,14246.0,7770.0,42119.0,16726.0,60895.0,52341.0,83419.0,
Hungary,exports,bentonite_and_fuller's_earth,Bentonite                                         ,954.0,782.0,1047.0,813.0,577.0,660.0,745.0,1239.0,1454.0,
Italy,exports,bentonite_and_fuller's_earth,Bentonite                                         ,257173.0,214775.0,225729.0,224684.0,235922.0,218772.0,232552.0,301157.0,275099.0,
Latvia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,332.0,289.0,315.0,362.0,625.0,
Lithuania,exports,bentonite_and_fuller's_earth,Bentonite                                         ,442.0,1628.0,1386.0,1530.0,1947.0,1630.0,1485.0,1420.0,1275.0,
Montenegro,exports,bentonite_and_fuller's_earth,Bentonite                                         ,,,26.0,25.0,368.0,1366.0,193.0,1.0,23.0,
Netherlands,exports,bentonite_and_fuller's_earth,Bentonite                                         ,178093.0,186574.0,141709.0,137010.0,121350.0,117626.0,120085.0,140024.0,144568.0,
North Macedonia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,3310.0,3730.0,3635.0,3237.0,2544.0,1500.0,1106.0,962.0,505.0,
Norway,exports,bentonite_and_fuller's_earth,Bentonite                                         ,3726.0,318.0,1318.0,494.0,623.0,646.0,0.0,1.0,47.0,
Poland,exports,bentonite_and_fuller's_earth,Bentonite                                         ,21987.0,25050.0,23563.0,38087.0,31419.0,36091.0,35103.0,33998.0,37756.0,
Portugal,exports,bentonite_and_fuller's_earth,Bentonite                                         ,1175.0,1356.0,1935.0,1672.0,2175.0,855.0,225.0,176.0,90.0,
Romania,exports,bentonite_and_fuller's_earth,Bentonite                                         ,,,123.0,236.0,73.0,539.0,4552.0,9533.0,10900.0,
Serbia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,4823.0,11903.0,2972.0,3367.0,,,,,,
Slovakia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,32981.0,85760.0,98257.0,144198.0,159650.0,176192.0,172692.0,197071.0,210126.0,
Spain,exports,bentonite_and_fuller's_earth,Bentonite                                         ,66096.0,54547.0,54376.0,56416.0,50219.0,62394.0,51145.0,61124.0,71279.0,
Spain,exports,bentonite_and_fuller's_earth,Sepiolite                                         ,443594.0,502083.0,531475.0,546361.0,434000.0,408000.0,375000.0,365000.0,401000.0,
Sweden,exports,bentonite_and_fuller's_earth,Bentonite                                         ,3457.0,3300.0,5492.0,9949.0,10085.0,7329.0,8316.0,1402.0,1713.0,
Switzerland,exports,bentonite_and_fuller's_earth,Bentonite                                         ,,,183.0,262.0,386.0,536.0,409.0,239.0,194.0,
Turkey,exports,bentonite_and_fuller's_earth,Bentonite                                         ,307891.0,319189.0,337860.0,394169.0,379107.0,414337.0,539297.0,592333.0,693721.0,
United Kingdom,exports,bentonite_and_fuller's_earth,Bentonite                                         ,41323.0,38478.0,39535.0,37694.0,31347.0,28938.0,28856.0,31921.0,30501.0,27527.0
