Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Belgium,exports,bromine,,,,,,,,20103000.0,17271400.0,20752500.0,17466300.0
Belgium-Luxembourg,exports,bromine,,25565000.0,21200000.0,21462800.0,17930400.0,21275800.0,19124000.0,,,,
Bulgaria,exports,bromine,,,,,,,,,,,0.0
China,exports,bromine,,147644.0,68086.0,76245.0,,,,,,,
Germany,exports,bromine,,12300.0,15000.0,13700.0,16700.0,5600.0,3000.0,4600.0,3400.0,14400.0,6031.0
India,exports,bromine,,22476.0,18606.0,9300.0,,,,,,,
Italy,exports,bromine,,,16000.0,2259.0,1296.0,505.0,1000.0,228287.0,55156.0,,
Netherlands,exports,bromine,,,9091000.0,11626756.0,5221557.0,964481.0,1593400.0,1334000.0,1475500.0,1821400.0,1960700.0
Poland,exports,bromine,,8154.0,3000.0,2000.0,,,3000.0,5500.0,9400.0,5000.0,5500.0
Serbia and Montenegro,exports,bromine,,0.0,,0.0,,,,,,,
Spain,exports,bromine,,,,,479.0,291.0,1000.0,192339.0,418531.0,2000.0,2578.0
USA,exports,bromine,,1865377.0,4186964.0,6689797.0,,,,,,,
Ukraine,exports,bromine,,1007083.0,,,,,,,,,
United Kingdom,exports,bromine,,10850261.0,11304252.0,8671909.0,5307678.0,1126043.0,234977.0,1137544.0,1469781.0,1015304.0,497246.0
