Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Austria,exports,cement,Cement clinkers                                   ,,,,,,,,,5.0,7678.0
Austria,exports,cement,Other cement                                      ,,,,,,,,,9228.0,14361.0
Austria,exports,cement,Portland cement                                   ,,,,,,,,,119825.0,121708.0
Belgium-Luxembourg,exports,cement,Cement clinkers                                   ,,,,,,,,,1566.0,1797274.0
Belgium-Luxembourg,exports,cement,Other cement                                      ,,,,,,,,,667788.0,779690.0
Belgium-Luxembourg,exports,cement,Portland cement                                   ,,,,,,,,,1586108.0,1724934.0
Brazil,exports,cement,Cement clinkers                                   ,,,,,,,,,,106000.0
Brazil,exports,cement,Portland cement                                   ,,,,,,,,,,118309.0
Bulgaria,exports,cement,Cement clinkers                                   ,,,,,,,,,564048.0,279982.0
Bulgaria,exports,cement,Other cement                                      ,,,,,,,,,72.0,1541.0
Bulgaria,exports,cement,Portland cement                                   ,,,,,,,,,272321.0,513053.0
China,exports,cement,Cement clinkers                                   ,,,,,,,,,,400179.0
China,exports,cement,Other cement                                      ,,,,,,,,,,21883.0
China,exports,cement,Portland cement                                   ,,,,,,,,,,5934467.0
Cyprus,exports,cement,Cement clinkers                                   ,,,,,,,,,341902.0,296204.0
Cyprus,exports,cement,Portland cement                                   ,,,,,,,,,118614.0,154091.0
Czech Republic,exports,cement,Cement clinkers                                   ,,,,,,,,,428660.0,438804.0
Czech Republic,exports,cement,Other cement                                      ,,,,,,,,,6116.0,37068.0
Czech Republic,exports,cement,Portland cement                                   ,,,,,,,,,1047391.0,1083436.0
Denmark,exports,cement,Cement clinkers                                   ,,,,,,,,,116681.0,111903.0
Denmark,exports,cement,Other cement                                      ,,,,,,,,,5649.0,9720.0
Denmark,exports,cement,Portland cement                                   ,,,,,,,,,1059509.0,909706.0
Estonia,exports,cement,Cement clinkers                                   ,,,,,,,,,364048.0,281049.0
Estonia,exports,cement,Portland cement                                   ,,,,,,,,,106974.0,186243.0
Finland,exports,cement,Portland cement                                   ,,,,,,,,,16647.0,17219.0
France,exports,cement,Cement clinkers                                   ,,,,,,,,,866134.0,460304.0
France,exports,cement,Other cement                                      ,,,,,,,,,137213.0,112435.0
France,exports,cement,Portland cement                                   ,,,,,,,,,876556.0,790971.0
Germany,exports,cement,Cement clinkers                                   ,,,,,,,,,181899.0,307335.0
Germany,exports,cement,Other cement                                      ,,,,,,,,,984553.0,1014643.0
Germany,exports,cement,Portland cement                                   ,,,,,,,,,1767906.0,1610216.0
