Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Albania,exports,chromium,Ores & concentrates                               ,534000.0,485000.0,543000.0,715000.0,787000.0,587000.0,755000.0,671900.0,669700.0,620800.0
Austria,exports,chromium,Ores & concentrates                               ,291.0,109.0,49.0,622.0,349.0,953.0,555.0,0.0,213.0,94.0
Belgium-Luxembourg,exports,chromium,Metal                                             ,464.0,398.0,280.0,65.0,111.0,301.0,121.0,123.0,133.0,82.0
Belgium-Luxembourg,exports,chromium,Ores & concentrates                               ,27.0,0.0,0.0,8.0,51.0,36.0,0.0,85.0,1484.0,290.0
Brazil,exports,chromium,Ores & concentrates                               ,,,,,,6.0,0.0,8.0,29931.0,41863.0
China,exports,chromium,Metal                                             ,150.0,100.0,250.0,500.0,1100.0,500.0,1100.0,1300.0,1200.0,1100.0
China,exports,chromium,Ores & concentrates                               ,2100.0,7900.0,1150.0,3300.0,,,,,,
Cuba,exports,chromium,Ores & concentrates                               ,34768.0,13780.0,21651.0,28897.0,41212.0,41607.0,37771.0,49664.0,,
Cyprus,exports,chromium,Ores & concentrates                               ,7500.0,10689.0,11868.0,11071.0,0.0,0.0,0.0,,,
Finland,exports,chromium,Ores & concentrates                               ,206547.0,250898.0,199806.0,133952.0,273069.0,177153.0,161387.0,144017.0,200693.0,109976.0
France,exports,chromium,Metal                                             ,699.0,774.0,590.0,740.0,1630.0,1615.0,1797.0,1659.0,2205.0,2358.0
France,exports,chromium,Ores & concentrates                               ,1616.0,2033.0,1554.0,1316.0,1069.0,3124.0,951.0,1368.0,3113.0,9676.0
German Federal Republic,exports,chromium,Metal                                             ,275.0,164.0,101.0,106.0,252.0,197.0,132.0,143.0,189.0,364.0
German Federal Republic,exports,chromium,Ores & concentrates                               ,5412.0,3459.0,12959.0,8694.0,8877.0,8909.0,12061.0,11392.0,14419.0,16237.0
Germany,exports,chromium,Ores & concentrates                               ,,,,,,,,,,
Greece,exports,chromium,Ores & concentrates                               ,32318.0,15885.0,12175.0,12030.0,8625.0,8830.0,10964.0,7089.0,6484.0,17510.0
India,exports,chromium,Ores & concentrates                               ,129981.0,148216.0,123048.0,103386.0,238387.0,229729.0,119084.0,185196.0,588700.0,234219.0
Iran,exports,chromium,Ores & concentrates                               ,10000.0,5000.0,1200.0,4200.0,2500.0,12600.0,,13500.0,7500.0,30500.0
Italy,exports,chromium,Metal                                             ,9.0,5.0,2.0,30.0,45.0,139.0,211.0,307.0,28.0,817.0
Italy,exports,chromium,Ores & concentrates                               ,2034.0,3046.0,437.0,680.0,678.0,1544.0,3710.0,2053.0,13475.0,2999.0
Japan,exports,chromium,Metal                                             ,,,,,,,,,2014.0,2322.0
Japan,exports,chromium,Ores & concentrates                               ,5678.0,607.0,744.0,852.0,718.0,756.0,283.0,309.0,298.0,2429.0
Madagascar,exports,chromium,Ores & concentrates                               ,134528.0,80830.0,63723.0,66000.0,107548.0,115000.0,130244.0,83842.0,148500.0,152591.0
Netherlands,exports,chromium,Metal                                             ,3.0,31.0,5.0,58.0,117.0,2.0,75.0,6.0,5.0,65.0
Netherlands,exports,chromium,Ores & concentrates                               ,18726.0,16577.0,21130.0,18603.0,21377.0,27379.0,30070.0,28005.0,31902.0,39777.0
New Caledonia,exports,chromium,Ores & concentrates                               ,7292.0,0.0,18750.0,80570.0,96657.0,86156.0,61104.0,72112.0,71646.0,64651.0
Philippines,exports,chromium,Ores & concentrates                               ,484109.0,397382.0,279017.0,146826.0,244028.0,159435.0,130164.0,105676.0,163499.0,201683.0
Singapore,exports,chromium,Ores & concentrates                               ,,,,,,,,,4016.0,633.0
South Africa,exports,chromium,Ores & concentrates                               ,1237203.0,1171608.0,1112198.0,1244982.0,1096856.0,1739336.0,1133625.0,1442747.0,1461713.0,1541011.0
Soviet Union,exports,chromium,Metal                                             ,,,,,,,,,300.0,800.0
Soviet Union,exports,chromium,Ores & concentrates                               ,567000.0,567000.0,561000.0,496000.0,442000.0,471000.0,474000.0,521000.0,632000.0,741000.0
Sudan,exports,chromium,Ores & concentrates                               ,,,16000.0,12000.0,5250.0,2500.0,24000.0,,,
Turkey,exports,chromium,Ores & concentrates                               ,334555.0,308280.0,303822.0,362668.0,439680.0,478069.0,451384.0,569733.0,843116.0,882627.0
USA,exports,chromium,Metal                                             ,324.0,365.0,221.0,243.0,243.0,202.0,293.0,379.0,322.0,1503.0
USA,exports,chromium,Ores & concentrates                               ,45003.0,124502.0,60994.0,14145.0,53327.0,94788.0,84820.0,5982.0,4964.0,42820.0
United Kingdom,exports,chromium,Metal                                             ,2569.0,2275.0,1945.0,3038.0,3889.0,4071.0,3828.0,3733.0,3469.0,3409.0
United Kingdom,exports,chromium,Ores & concentrates                               ,891.0,1192.0,980.0,112.0,27.0,171.0,405.0,217.0,207.0,64.0
Yugoslavia,exports,chromium,Ores & concentrates                               ,11537.0,12483.0,12477.0,12454.0,25848.0,13150.0,7919.0,10589.0,2459.0,3124.0
Zimbabwe,exports,chromium,Ores & concentrates                               ,14828.0,4279.0,,,,,,,,
