Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,exports,coal,,1875.0,330.0,3354.0,3023.0,3010.0,1438.0,507.0,638.0,656.0,2922.0
Australia,exports,coal,,17623170.0,18867639.0,23511000.0,28434000.0,29356000.0,30353000.0,32870000.0,36383000.0,38052000.0,41006000.0
Austria,exports,coal,Brown coal                                        ,7802.0,6108.0,5168.0,3562.0,8987.0,9991.0,9031.0,8341.0,5433.0,11575.0
Belgium-Luxembourg,exports,coal,Anthracite                                        ,,,,,,,47859.0,28564.0,49448.0,65208.0
Belgium-Luxembourg,exports,coal,Briquettes                                        ,,,,,,,,9682.0,25630.0,59036.0
Belgium-Luxembourg,exports,coal,Other coal                                        ,,,,,,,343176.0,328516.0,196087.0,380041.0
Belgium-Luxembourg,exports,coal,,590020.0,542729.0,661204.0,646470.0,588143.0,562258.0,,,,
Canada,exports,coal,,3983971.0,7015965.0,7723350.0,10979645.0,10833159.0,11694657.0,11772151.0,12069202.0,13657516.0,13852850.0
China,exports,coal,,,,250500.0,293600.0,405100.0,455800.0,322000.0,493800.0,797100.0,1760600.0
Colombia,exports,coal,Anthracite                                        ,5500.0,5625.0,15880.0,7474.0,,,15666.0,17223.0,,
Colombia,exports,coal,Bituminous,,,,,,,3085.0,101489.0,148955.0,128895.0
Colombia,exports,coal,Other coal                                        ,,,,,,,3085.0,102819.0,150042.0,135695.0
Czechoslovakia,exports,coal,Brown coal                                        ,1250000.0,1232000.0,1255000.0,1265000.0,1391000.0,1683000.0,1607000.0,1654000.0,1515000.0,1647000.0
Czechoslovakia,exports,coal,Other coal                                        ,2790000.0,3461000.0,3310000.0,3480000.0,3717000.0,3666000.0,3770000.0,3308000.0,3745000.0,3366000.0
Denmark,exports,coal,,,,,,,,,,2692.0,2791.0
Eswatini (Swaziland),exports,coal,,,,62922.0,80200.0,62061.0,67212.0,109819.0,76913.0,105342.0,165170.0
France,exports,coal,Anthracite                                        ,471990.0,308102.0,288340.0,262386.0,174091.0,166825.0,190169.0,201045.0,177588.0,133318.0
France,exports,coal,Bituminous,741588.0,623925.0,652409.0,689168.0,464136.0,385839.0,403683.0,,,
France,exports,coal,Briquettes                                        ,,,,,,,50111.0,45034.0,27786.0,41368.0
France,exports,coal,Lignite                                           ,25191.0,15867.0,23260.0,29112.0,26247.0,14999.0,19007.0,12775.0,6370.0,6852.0
France,exports,coal,Other coal                                        ,741588.0,623925.0,652409.0,689168.0,464136.0,385839.0,403683.0,385802.0,354161.0,436236.0
German Democratic Rep,exports,coal,Briquettes                                        ,,,,,,,2287000.0,2243000.0,2211000.0,1806000.0
German Federal Republic,exports,coal,Briquettes                                        ,,,,,,,664194.0,706493.0,825302.0,985793.0
German Federal Republic,exports,coal,Brown coal                                        ,15770.0,12662.0,15271.0,18896.0,22276.0,8857.0,11122.0,26092.0,66075.0,163615.0
German Federal Republic,exports,coal,Other coal                                        ,15597108.0,14056944.0,13043229.0,13856195.0,17443848.0,14468285.0,12804510.0,14286954.0,18656165.0,15607169.0
Hungary,exports,coal,Brown coal                                        ,,,,,,,55455.0,56138.0,37460.0,20983.0
Hungary,exports,coal,,91515.0,104936.0,76924.0,61576.0,67659.0,95529.0,,,,
India,exports,coal,Anthracite                                        ,24241.0,8261.0,3143.0,1265.0,,,,,,
India,exports,coal,Other coal                                        ,388173.0,159488.0,411631.0,387181.0,450837.0,402444.0,,,,
India,exports,coal,,,,,,,,598836.0,639908.0,264895.0,93660.0
Indonesia,exports,coal,,,,,,,,,15350.0,31673.0,59595.0
"Ireland, Republic of",exports,coal,,69040.0,26399.0,77785.0,70768.0,38894.0,56229.0,30625.0,49130.0,57945.0,65760.0
Italy,exports,coal,,8856.0,13017.0,2301.0,2236.0,10068.0,4252.0,5246.0,14489.0,5544.0,13019.0
Japan,exports,coal,,15683.0,17491.0,9041.0,23698.0,132488.0,26110.0,51213.0,31651.0,47740.0,59563.0
Korea (Rep. of),exports,coal,Anthracite                                        ,337922.0,339465.0,159053.0,219150.0,25200.0,0.0,10000.0,9000.0,,
"Korea, Dem. P.R. of",exports,coal,,,,61700.0,46100.0,236800.0,36900.0,70000.0,40000.0,27000.0,57000.0
Morocco,exports,coal,Anthracite                                        ,55437.0,40037.0,19185.0,21249.0,32435.0,19322.0,30030.0,10380.0,54928.0,77622.0
Mozambique,exports,coal,,108099.0,80284.0,55481.0,52740.0,129801.0,266143.0,204843.0,156138.0,38700.0,152200.0
Netherlands,exports,coal,Anthracite                                        ,,,,,,69548.0,213731.0,187519.0,141169.0,272568.0
Netherlands,exports,coal,Briquettes                                        ,,,,,,,5696.0,14372.0,4828.0,11089.0
Netherlands,exports,coal,Other coal                                        ,,,,,,218576.0,246013.0,274896.0,343844.0,759518.0
Netherlands,exports,coal,,1646511.0,1582606.0,1700623.0,1511418.0,1022741.0,,,,,
New Zealand,exports,coal,,,,,,,,,,,0.0
Nigeria,exports,coal,,,,19102.0,25541.0,17214.0,31024.0,10416.0,4000.0,3600.0,2000.0
Norway,exports,coal,,101444.0,85343.0,88498.0,80317.0,54042.0,31120.0,95731.0,164422.0,77042.0,63577.0
Poland,exports,coal,Brown coal                                        ,3972000.0,3561000.0,4106000.0,4968000.0,5199000.0,3442000.0,3084000.0,3387000.0,3332000.0,2974000.0
Poland,exports,coal,Other coal                                        ,28816000.0,30301000.0,32687000.0,35857000.0,40093000.0,38479000.0,38944000.0,39317000.0,40099000.0,41437000.0
South Africa,exports,coal,Anthracite                                        ,976020.0,782121.0,697934.0,905483.0,1034758.0,1121834.0,1530151.0,2223833.0,2528160.0,3363925.0
South Africa,exports,coal,Bituminous,530830.0,661870.0,544595.0,1039183.0,1242459.0,1565469.0,4430991.0,10478234.0,12860508.0,19977383.0
South Africa,exports,coal,Other coal                                        ,530830.0,661870.0,544595.0,1039183.0,1242459.0,1565469.0,4430991.0,10478234.0,12860508.0,19977383.0
Soviet Union,exports,coal,Anthracite                                        ,4300000.0,4300000.0,4200000.0,4400000.0,4611000.0,4511000.0,4600000.0,4700000.0,4700000.0,
Soviet Union,exports,coal,Other coal                                        ,20000000.0,20500000.0,20200000.0,20000000.0,21400000.0,21440000.0,22300000.0,22500000.0,22500000.0,
Soviet Union,exports,coal,,,,,,,,,,,22500000.0
Spain,exports,coal,Anthracite                                        ,203736.0,97374.0,33193.0,7610.0,61885.0,18920.0,14303.0,21927.0,16232.0,14455.0
Sweden,exports,coal,,139471.0,10330.0,232.0,13174.0,59308.0,33679.0,5931.0,32034.0,31555.0,24499.0
Switzerland,exports,coal,,34301.0,33325.0,1919.0,2594.0,33687.0,11647.0,2.0,104.0,,
Turkey,exports,coal,Lignite                                           ,,,,,,,0.0,0.0,244617.0,130885.0
Turkey,exports,coal,Other coal                                        ,,,,,,,500.0,700.0,520.0,1485.0
Turkey,exports,coal,,260833.0,13554.0,,600.0,300.0,200.0,,,,
USA,exports,coal,Anthracite                                        ,716218.0,608743.0,707579.0,650040.0,678511.0,580236.0,558070.0,566907.0,785875.0,1118332.0
USA,exports,coal,Bituminous,64359000.0,51376595.0,50766246.0,47963228.0,54364853.0,59573586.0,53891778.0,32096879.0,36129749.0,58770047.0
USA,exports,coal,Lignite                                           ,,,,,,,79273.0,37331.0,20703.0,23940.0
USA,exports,coal,Other coal                                        ,64359000.0,51376595.0,50766246.0,47963228.0,54364853.0,59573586.0,53891778.0,32096879.0,36129749.0,58770047.0
United Kingdom,exports,coal,Anthracite                                        ,1422525.0,942722.0,630873.0,871700.0,1220680.0,1490013.0,1033725.0,738967.0,532683.0,846216.0
United Kingdom,exports,coal,Bituminous,1940005.0,1752408.0,1117757.0,1821409.0,629483.0,691849.0,,,,
United Kingdom,exports,coal,Briquettes                                        ,,,,,,,232741.0,156994.0,145725.0,174391.0
United Kingdom,exports,coal,Other coal                                        ,1940005.0,1752408.0,1117757.0,1821409.0,629483.0,691849.0,400672.0,1201678.0,1730615.0,1493160.0
Yugoslavia,exports,coal,Brown coal                                        ,35950.0,108833.0,180522.0,155248.0,112773.0,11101.0,14402.0,174429.0,374013.0,296267.0
Yugoslavia,exports,coal,Lignite                                           ,129743.0,105872.0,409341.0,362666.0,444664.0,327970.0,240761.0,42946.0,23762.0,77211.0
Zimbabwe,exports,coal,,,,,,,,,236418.0,216614.0,195952.0
