Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Albania,exports,copper,Unwrought,1100.0,300.0,,,,,,,,
Algeria,exports,copper,Ores & concentrates,0.0,853.0,800.0,1128.0,0.0,0.0,0.0,,,
Algeria,exports,copper,Scrap,1124.0,2342.0,1303.0,3389.0,1226.0,3228.0,5290.0,1760.0,6158.0,3193.0
Australia,exports,copper,Matte & cement,5797.0,4444.0,13911.0,4963.0,3977.0,8000.0,8000.0,0.0,,440.0
Australia,exports,copper,Ores & concentrates,164313.0,113625.0,159980.0,248265.0,202190.0,269898.0,233263.0,149156.0,210700.0,199400.0
Australia,exports,copper,Scrap,601.0,216.0,411.0,599.0,451.0,318.0,164.0,254.0,368.0,193.0
Australia,exports,copper,Unwrought alloys,319.0,565.0,539.0,318.0,455.0,1525.0,1639.0,2352.0,2140.0,429.0
Australia,exports,copper,"Unwrought, refined",50784.0,55548.0,45235.0,77632.0,75452.0,71482.0,66820.0,81580.0,94400.0,120400.0
Australia,exports,copper,"Unwrought, unrefined",18100.0,18773.0,7213.0,8413.0,5350.0,40.0,0.0,3502.0,1009.0,3733.0
Austria,exports,copper,Scrap,3713.0,5410.0,5022.0,9075.0,15451.0,19525.0,18655.0,16534.0,25360.0,15717.0
Austria,exports,copper,Unwrought,17955.0,20181.0,17242.0,21341.0,15550.0,21113.0,19512.0,18200.0,18254.0,28203.0
Austria,exports,copper,Unwrought alloys,1385.0,3392.0,2333.0,1687.0,6038.0,5646.0,4816.0,5647.0,6180.0,5243.0
Bahrain,exports,copper,Matte,,,,,,,,,,40468.0
Bahrain,exports,copper,Matte & cement,,,,,,,,,,40468.0
Belgium-Luxembourg,exports,copper,Burnt cupreous pyrites,138574.0,149092.0,152161.0,9365.0,4520.0,3935.0,27.0,3672.0,,
Belgium-Luxembourg,exports,copper,Ores & concentrates,716.0,727.0,630.0,674.0,742.0,532.0,573.0,727.0,,
Belgium-Luxembourg,exports,copper,Scrap,26356.0,24066.0,30553.0,27835.0,32176.0,30411.0,28288.0,32485.0,46016.0,65906.0
Belgium-Luxembourg,exports,copper,Unwrought,,,,,210706.0,207177.0,232517.0,249270.0,,
Belgium-Luxembourg,exports,copper,Unwrought alloys,8222.0,8551.0,6717.0,8338.0,8354.0,10032.0,10666.0,8913.0,7850.0,11005.0
Belgium-Luxembourg,exports,copper,"Unwrought, matte",,,,,,,,,,
Belgium-Luxembourg,exports,copper,"Unwrought, refined",299149.0,282495.0,287857.0,221244.0,,,,,,
Bolivia,exports,copper,Ores & concentrates,1676.0,2545.0,2139.0,4306.0,2978.0,2200.0,1668.0,,,
Botswana,exports,copper,Matte,20000.0,17300.0,19300.0,20200.0,21400.0,19400.0,17400.0,18800.0,25400.0,19200.0
Botswana,exports,copper,Matte & cement,20000.0,17300.0,19300.0,20200.0,21400.0,19400.0,17400.0,18800.0,25400.0,19200.0
Brazil,exports,copper,"Unwrought, refined",,,,,,,0.0,0.0,5000.0,33802.0
Bulgaria,exports,copper,Ores & concentrates,,,,,,,,,,
Bulgaria,exports,copper,Scrap,,,,,,400.0,600.0,700.0,1500.0,1200.0
Bulgaria,exports,copper,Unwrought,2000.0,500.0,100.0,,1200.0,600.0,500.0,800.0,2400.0,500.0
Burma,exports,copper,Ores & concentrates,,,,15000.0,15000.0,20500.0,46003.0,37000.0,14800.0,11320.0
Canada,exports,copper,Matte & cement,,,,,,,,,10952.0,18796.0
