Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Angola,exports,diamond,,2502688.0,2342524.0,2199860.0,2111172.0,,,,,,
Australia,exports,diamond,Gem                                               ,,,,,,,14124.0,12483.0,17032.0,13185.0
Australia,exports,diamond,Industrial                                        ,132274.0,121379.0,104689.0,108270.0,209766.0,178169.0,187416.0,357624.0,200593.0,247861.0
Austria,exports,diamond,Industrial                                        ,,,,,,,,,0.0,0.0
Austria,exports,diamond,Other                                             ,,,,,,,,,5000.0,10000.0
Belgium-Luxembourg,exports,diamond,Cut                                               ,1894946.0,2461859.0,2388597.0,2502501.0,2277308.0,2255639.0,2627110.0,3143400.0,3076942.0,2875324.0
Belgium-Luxembourg,exports,diamond,Industrial                                        ,8140048.0,8817761.0,7304072.0,8954810.0,9131617.0,5897850.0,8817103.0,9106907.0,8650019.0,9150601.0
Belgium-Luxembourg,exports,diamond,Rough                                             ,3901262.0,4496256.0,6150698.0,5732503.0,5478689.0,8458788.0,15330053.0,22333014.0,24577800.0,22807126.0
Brazil,exports,diamond,,46560.0,61020.0,35000.0,10000.0,12085.0,14445.0,7615.0,4970.0,34810.0,7840.0
Canada,exports,diamond,Cut                                               ,,,19270.0,,27398.0,26976.0,38333.0,41843.0,36805.0,34571.0
Canada,exports,diamond,Dust                                              ,,,,,,79118.0,47336.0,46892.0,36459.0,20513.0
Canada,exports,diamond,Industrial                                        ,,,241583.0,175918.0,228413.0,370936.0,251198.0,203183.0,140541.0,174752.0
Canada,exports,diamond,Other                                             ,,,,14704.0,,,,,,
Central African Republic,exports,diamond,,471800.0,427254.0,506000.0,352293.0,342000.0,331672.0,277837.0,282252.0,,
France,exports,diamond,Cut                                               ,31495.0,34115.0,34680.0,,34075.0,60565.0,34075.0,92190.0,35874.0,34760.0
France,exports,diamond,Dust                                              ,,,,,,303220.0,176810.0,187265.0,255560.0,129130.0
France,exports,diamond,Industrial                                        ,180380.0,240225.0,551435.0,577070.0,478900.0,946365.0,423890.0,43978.0,148426.0,191048.0
France,exports,diamond,Other                                             ,,,,30285.0,,,,,,
France,exports,diamond,Rough                                             ,125715.0,17075.0,5525.0,197240.0,50090.0,290.0,7825.0,40628.0,29758.0,2406.0
German Federal Republic,exports,diamond,Industrial                                        ,,,145000.0,280000.0,210000.0,122530.0,190715.0,220132.0,355445.0,295777.0
German Federal Republic,exports,diamond,Other                                             ,,,60000.0,90000.0,85000.0,129090.0,158595.0,142898.0,149643.0,113376.0
Ghana,exports,diamond,Industrial                                        ,2871971.0,2366946.0,3192648.0,2267435.0,2555925.0,2371592.0,2304643.0,1946587.0,1475521.0,1050603.0
Guyana,exports,diamond,,,,,,25954.0,16920.0,11844.0,9625.0,10999.0,5274.0
Hong Kong,exports,diamond,,,,,,351161.0,334789.0,443349.0,354560.0,366654.0,383359.0
India,exports,diamond,Gem                                               ,,,,,,,,,4568101.0,2743676.0
Israel,exports,diamond,Cut                                               ,,,,,2766000.0,3118000.0,3637000.0,3637000.0,2884000.0,2451000.0
Israel,exports,diamond,Other                                             ,1778000.0,2116000.0,2532000.0,2679000.0,,,,,,
Italy,exports,diamond,Industrial                                        ,,,,,,,55000.0,2169.0,297988.0,75059.0
Italy,exports,diamond,Other                                             ,,,,,,,15000.0,437.0,23657.0,1186.0
Ivory Coast,exports,diamond,,215205.0,276000.0,537565.0,300000.0,242559.0,255000.0,95000.0,50000.0,0.0,2007.0
Japan,exports,diamond,Cut                                               ,330.0,4415.0,5590.0,,7460.0,3200.0,1664.0,,,
Japan,exports,diamond,Industrial                                        ,79815.0,148140.0,103315.0,93355.0,11405.0,3675.0,479.0,1283.0,1185.0,1286.0
Japan,exports,diamond,Other                                             ,,,,8785.0,,,,798.0,232.0,1031.0
Kenya,exports,diamond,,,,,,,,,,0.0,177000.0
Lesotho,exports,diamond,,17547.0,6940.0,9018.0,9000.0,11000.0,3000.0,5000.0,14977.0,67222.0,64886.0
Liberia,exports,diamond,,825959.0,738928.0,879575.0,812257.0,635723.0,420014.0,320298.0,326214.0,307377.0,301808.0
Malaysia,exports,diamond,Rough                                             ,,,,,0.0,0.0,,,,
Malta,exports,diamond,,,,,,,,40700.0,,,
Netherlands,exports,diamond,Cut                                               ,,,,,,,,443663.0,599552.0,122300.0
Netherlands,exports,diamond,Industrial                                        ,,,,,1829149.0,1386012.0,4540473.0,4185224.0,1071953.0,845467.0
Netherlands,exports,diamond,Other                                             ,,,,,168193.0,364535.0,1719919.0,,,
Netherlands,exports,diamond,Rough                                             ,,,,,,,,2458333.0,1334296.0,316662.0
Netherlands,exports,diamond,,1409801.0,943439.0,1591234.0,2519749.0,,,,,,
Portugal,exports,diamond,Industrial                                        ,655198.0,865089.0,858079.0,662179.0,563152.0,397679.0,70455.0,29819.0,,
Portugal,exports,diamond,Other                                             ,1411830.0,1557319.0,1432717.0,1456701.0,1438693.0,1035946.0,290253.0,227993.0,,
Portugal,exports,diamond,,,,,,,,,,57568.0,35683.0
Sierra Leone,exports,diamond,Industrial                                        ,,,,,,,,,0.0,343581.0
Sierra Leone,exports,diamond,Other                                             ,,,,,,,,521402.0,280795.0,670146.0
Sierra Leone,exports,diamond,,1955011.0,1933672.0,1846733.0,2104000.0,1631202.0,1466645.0,919871.0,,,
Singapore,exports,diamond,Rough                                             ,,,,,,,,1400.0,,
South Africa,exports,diamond,Cut                                               ,248304.0,248299.0,,,,,,,,
South Africa,exports,diamond,Industrial                                        ,8037883.0,5608416.0,,,,,,,,
South Africa,exports,diamond,Rough                                             ,2657196.0,2719637.0,,,,,,,,
Soviet Union,exports,diamond,Industrial                                        ,,,,,,,,,392000.0,
Sweden,exports,diamond,Industrial                                        ,13531.0,,,,39884.0,,,21730.0,,
Tanzania,exports,diamond,,719617.0,807810.0,651200.0,575017.0,339169.0,595045.0,445625.0,407533.0,293310.0,255525.0
Thailand,exports,diamond,,,,,,,238.0,146.0,367.0,8199.0,5637.0
USA,exports,diamond,Cut                                               ,294026.0,286232.0,465674.0,337013.0,402179.0,388186.0,485735.0,436800.0,307333.0,273210.0
USA,exports,diamond,Dust                                              ,,,,,,13237107.0,14457139.0,17736072.0,19480573.0,27769094.0
USA,exports,diamond,Industrial                                        ,338921.0,414504.0,4336162.0,4336162.0,3837451.0,3374784.0,3076661.0,325239.0,2955584.0,2737433.0
USA,exports,diamond,Other                                             ,33470.0,19642.0,383999.0,457692.0,476675.0,373647.0,432808.0,3508044.0,,
USA,exports,diamond,Rough                                             ,93937.0,62904.0,1335951.0,1389340.0,1059089.0,1055169.0,1025923.0,1119829.0,1291864.0,922298.0
United Kingdom,exports,diamond,Industrial                                        ,,,,,9285309.0,8117468.0,4221088.0,20588095.0,12840110.0,11229202.0
United Kingdom,exports,diamond,Other                                             ,,,,,45550524.0,56214326.0,72127733.0,66731636.0,70306670.0,61199105.0
Venezuela,exports,diamond,Industrial                                        ,,,,,,,200000.0,75000.0,205000.0,165000.0
Venezuela,exports,diamond,Rough                                             ,,,,,,,765000.0,785000.0,640000.0,4555000.0
Zaire,exports,diamond,Gem                                               ,,,,,8050000.0,5156891.0,,,,
Zaire,exports,diamond,Industrial                                        ,,,,,436842.0,729147.0,,,,
Zaire,exports,diamond,,13650000.0,,12948000.0,14189000.0,,,2998556.0,2672575.0,2621978.0,8734000.0
