Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,exports,diatomite,,4607.0,2182.0,3431.0,6247.0,5380.0,4146.0,850.0,795.0,2445.0,1850.0
Austria,exports,diatomite,,53.0,166.0,152.0,455.0,313.0,729.0,681.0,1058.0,1027.0,1031.0
Belgium-Luxembourg,exports,diatomite,,839.0,1432.0,673.0,900.0,5491.0,8162.0,6829.0,4103.0,3567.0,1350.0
Costa Rica,exports,diatomite,,,,,,7.0,780.0,1280.0,1028.0,,
Czechoslovakia,exports,diatomite,,,,,,,,,530.0,710.0,1030.0
Denmark,exports,diatomite,Moler                                             ,91892.0,57290.0,50477.0,57337.0,58872.0,56203.0,57428.0,54900.0,46569.0,52052.0
Denmark,exports,diatomite,Moler bricks,43750.0,44562.0,40676.0,36457.0,42783.0,25849.0,24937.0,28872.0,27255.0,30252.0
Denmark,exports,diatomite,,8428.0,7695.0,5943.0,5579.0,6041.0,4408.0,6451.0,7957.0,6546.0,6323.0
Finland,exports,diatomite,,44.0,40.0,36.0,115.0,34.0,10.0,34.0,8.0,8.0,9.0
France,exports,diatomite,,15985.0,16933.0,17016.0,16297.0,19428.0,18186.0,17577.0,19363.0,24982.0,28876.0
German Federal Republic,exports,diatomite,,4770.0,6236.0,5354.0,5098.0,5157.0,4883.0,4805.0,3909.0,3999.0,5137.0
Hungary,exports,diatomite,,,,,,,,,4400.0,3000.0,2660.0
Iceland,exports,diatomite,,13000.0,19000.0,19690.0,22269.0,24055.0,20264.0,22699.0,20985.0,20020.0,21288.0
Italy,exports,diatomite,,1499.0,1410.0,1759.0,1396.0,1273.0,1441.0,1174.0,1038.0,1193.0,1866.0
Japan,exports,diatomite,,1021.0,1414.0,1414.0,1294.0,981.0,908.0,1151.0,1024.0,1298.0,1277.0
Kenya,exports,diatomite,,,,,,,,185.0,879.0,361.0,227.0
Korea (Rep. of),exports,diatomite,,,,96.0,129.0,82.0,70.0,300.0,50.0,60.0,60.0
Mexico,exports,diatomite,,6247.0,8543.0,9338.0,8835.0,15505.0,3305.0,3606.0,3007.0,2762.0,3797.0
Netherlands,exports,diatomite,,442.0,396.0,144.0,231.0,191.0,222.0,207.0,294.0,520.0,559.0
Norway,exports,diatomite,,5.0,11.0,27.0,14.0,15.0,16.0,83.0,75.0,45.0,34.0
Portugal,exports,diatomite,,120.0,174.0,86.0,77.0,64.0,21.0,1018.0,1189.0,1213.0,16.0
South Africa,exports,diatomite,,245.0,41.0,,,,,,,,
Spain,exports,diatomite,,1741.0,2056.0,1702.0,1357.0,1766.0,1239.0,2919.0,2286.0,1658.0,1453.0
Sweden,exports,diatomite,,129.0,150.0,197.0,182.0,216.0,124.0,195.0,107.0,160.0,142.0
Taiwan,exports,diatomite,,,,,,2.0,31.0,236.0,100.0,123.0,50.0
USA,exports,diatomite,,139652.0,128778.0,134174.0,161695.0,169739.0,133211.0,135360.0,138269.0,138865.0,153927.0
United Kingdom,exports,diatomite,,4567.0,4878.0,3676.0,3080.0,1912.0,1390.0,2220.0,1069.0,853.0,1098.0
Yugoslavia,exports,diatomite,,619.0,244.0,0.0,41.0,11.0,12.0,,,,
