Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Argentina,exports,feldspar,,,,,,,,,4595.0,4442.0,3482.0
Australia,exports,feldspar,,12548.0,20751.0,14354.0,,36911.0,61851.0,47052.0,42980.0,27095.0,33731.0
Austria,exports,feldspar,,,,,3.0,,24915.0,22180.0,20668.0,22547.0,14943.0
Brazil,exports,feldspar,,6660.0,3179.0,2129.0,2551.0,1102.0,374.0,59.0,3025.0,49.0,3081.0
China,exports,feldspar,,222945.0,318804.0,439908.0,728447.0,831000.0,703315.0,567741.0,591265.0,608501.0,539040.0
Czech Republic,exports,feldspar,,,,0.0,63687.0,66583.0,74181.0,67515.0,54474.0,57546.0,62273.0
Czechoslovakia,exports,feldspar,,6300.0,6700.0,4700.0,,,,,,,
Finland,exports,feldspar,,32770.0,31401.0,28540.0,30867.0,28693.0,27264.0,25972.0,23048.0,25953.0,27876.0
France,exports,feldspar,,123367.0,110846.0,92506.0,74433.0,53560.0,67169.0,92883.0,122119.0,126350.0,242379.0
German Federal Republic,exports,feldspar,,33010.0,,,,,,,,,
Germany,exports,feldspar,,,36678.0,35614.0,72495.0,128745.0,81210.0,61033.0,60999.0,35317.0,70699.0
Greece,exports,feldspar,,,,,,22543.0,19065.0,25789.0,19314.0,10576.0,17703.0
Guatemala,exports,feldspar,,4993.0,4210.0,6073.0,5284.0,5006.0,4400.0,3648.0,5044.0,4760.0,4596.0
Hong Kong,exports,feldspar,,146487.0,177932.0,201873.0,311010.0,220867.0,201362.0,139415.0,164965.0,134751.0,128586.0
India,exports,feldspar,,38182.0,47894.0,26355.0,29448.0,49307.0,84622.0,94716.0,77644.0,52631.0,56981.0
Iran,exports,feldspar,,,,,,,,,,995.0,2918.0
Italy,exports,feldspar,,29132.0,26308.0,23058.0,22723.0,22593.0,30727.0,37349.0,42687.0,89042.0,136362.0
Japan,exports,feldspar,,31331.0,40412.0,34581.0,36232.0,27630.0,30176.0,33324.0,13062.0,8533.0,6422.0
Korea (Rep. of),exports,feldspar,,24566.0,20805.0,24049.0,23631.0,15817.0,14027.0,37509.0,34248.0,14080.0,5481.0
Mexico,exports,feldspar,,10307.0,20143.0,14507.0,7782.0,7115.0,8502.0,8323.0,11379.0,8809.0,9937.0
Netherlands,exports,feldspar,,1840.0,1938.0,2118.0,0.0,1786.0,1567.0,23276.0,2990.0,3680.0,821.0
North Macedonia,exports,feldspar,,,,,,,,5568.0,5496.0,8587.0,10300.0
Norway,exports,feldspar,,71265.0,79756.0,65688.0,63552.0,61648.0,67340.0,69578.0,67741.0,83943.0,69297.0
Philippines,exports,feldspar,,,,53859.0,44600.0,45600.0,23205.0,,,,
Poland,exports,feldspar,,,,,,,,,200.0,100.0,556.0
Portugal,exports,feldspar,,6999.0,3427.0,1596.0,462.0,,,1850.0,2069.0,2060.0,1861.0
Romania,exports,feldspar,,,,,,,,,,,58.0
Russia,exports,feldspar,,,,,,47906.0,35094.0,70315.0,8417.0,9627.0,8463.0
Singapore,exports,feldspar,,7524.0,15173.0,14011.0,,,6513.0,6738.0,105.0,67.0,321.0
South Africa,exports,feldspar,,6029.0,2974.0,3526.0,2965.0,2394.0,1700.0,3454.0,2468.0,1439.0,1381.0
Spain,exports,feldspar,,9361.0,10800.0,9193.0,14022.0,14202.0,25476.0,29809.0,22653.0,29512.0,40915.0
Sweden,exports,feldspar,,24211.0,19549.0,25075.0,21133.0,30625.0,25448.0,24731.0,16385.0,14531.0,23574.0
Taiwan,exports,feldspar,,,,,,,710.0,1720.0,1579.0,2996.0,4278.0
Thailand,exports,feldspar,,333739.0,255423.0,338031.0,436954.0,233784.0,303399.0,284768.0,290688.0,241387.0,282680.0
Tunisia,exports,feldspar,,,,,,,,,,,
Turkey,exports,feldspar,,96546.0,162910.0,234430.0,320819.0,469371.0,651800.0,738156.0,950140.0,1283211.0,1799854.0
USA,exports,feldspar,,24795.0,8604.0,17734.0,17669.0,17255.0,15058.0,10169.0,7224.0,13193.0,9882.0
United Kingdom,exports,feldspar,,2447.0,1017.0,169.0,442.0,470.0,317.0,237.0,853.0,148.0,131.0
Yugoslavia,exports,feldspar,,6356.0,1590.0,,,,,,,,
