Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Austria,exports,fluorspar,,,,,,,,,21.0,117.0,90.0
Belarus,exports,fluorspar,,,,,,,,,1500.0,2077.0,924.0
Belgium-Luxembourg,exports,fluorspar,,4130.0,3753.0,1905.0,0.0,255.0,147.0,1270.0,821.0,1131.0,1972.0
Canada,exports,fluorspar,,22620.0,1599.0,607.0,483.0,50.0,1750.0,,,,
China,exports,fluorspar,,1094047.0,933694.0,1187840.0,1375277.0,1218645.0,1229145.0,1124685.0,1293672.0,1315972.0,1221491.0
Czech Republic,exports,fluorspar,,17172.0,,0.0,14144.0,20667.0,26011.0,17200.0,22688.0,24827.0,12519.0
France,exports,fluorspar,,40204.0,32045.0,23421.0,20528.0,15763.0,26190.0,31408.0,35748.0,24342.0,29194.0
German Democratic Rep,exports,fluorspar,,15800.0,,,,,,,,,
German Federal Republic,exports,fluorspar,,41232.0,,,,,,,,,
Germany,exports,fluorspar,,,33780.0,25667.0,22770.0,16678.0,26667.0,15631.0,20206.0,15892.0,20197.0
Hong Kong,exports,fluorspar,,,,,,76.0,58.0,1255.0,1050.0,1965.0,26954.0
India,exports,fluorspar,,,,,,,,,,,24.0
Iran,exports,fluorspar,,,,,,,,,,5460.0,11044.0
Italy,exports,fluorspar,,4958.0,5955.0,4782.0,940.0,518.0,96.0,2114.0,557.0,1471.0,7595.0
Japan,exports,fluorspar,,338.0,582.0,578.0,644.0,904.0,748.0,1173.0,1013.0,867.0,407.0
Jordan,exports,fluorspar,,,,,,,,,,,400.0
Kenya,exports,fluorspar,,65041.0,,66538.0,71095.0,62202.0,56202.0,59175.0,72300.0,60854.0,93602.0
Kyrgyzstan,exports,fluorspar,,,,,,,,,,,1977.0
Mexico,exports,fluorspar,,379086.0,225218.0,150275.0,111687.0,147502.0,291905.0,252809.0,317341.0,335236.0,359930.0
Mongolia,exports,fluorspar,,,,,180000.0,170000.0,129000.0,158900.0,147900.0,121800.0,164100.0
Morocco,exports,fluorspar,,81748.0,76300.0,78000.0,60000.0,102365.0,107846.0,94156.0,114419.0,135302.0,83446.0
Namibia,exports,fluorspar,,,21727.0,28914.0,33487.0,49852.0,27400.0,32624.0,18307.0,42135.0,71011.0
Netherlands,exports,fluorspar,,1704.0,1235.0,864.0,982.0,1352.0,100.0,806.0,2404.0,187.0,5377.0
Russia,exports,fluorspar,,,,,,0.0,1604.0,4357.0,324.0,2056.0,2967.0
Singapore,exports,fluorspar,,,,,,,,,233.0,266.0,3.0
South Africa,exports,fluorspar,,245695.0,247338.0,250879.0,224278.0,244190.0,166864.0,165453.0,182716.0,153031.0,196160.0
Spain,exports,fluorspar,,54787.0,40644.0,15491.0,18845.0,21182.0,33853.0,19897.0,24998.0,986.0,1152.0
Sweden,exports,fluorspar,,1514.0,912.0,1100.0,1493.0,1687.0,991.0,2320.0,2102.0,4400.0,5967.0
Thailand,exports,fluorspar,,79695.0,84210.0,60078.0,46041.0,18428.0,19315.0,17432.0,10760.0,7740.0,5515.0
Tunisia,exports,fluorspar,,1945.0,1039.0,,,,,,,,
USA,exports,fluorspar,,16261.0,74590.0,14277.0,13227.0,24261.0,47120.0,83482.0,64870.0,46150.0,58769.0
United Kingdom,exports,fluorspar,,3983.0,3938.0,3871.0,6001.0,5796.0,6935.0,7129.0,5215.0,4202.0,4829.0
Uzbekistan,exports,fluorspar,,,,,10000.0,10000.0,11000.0,13000.0,15000.0,15000.0,15000.0
