Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,exports,gemstones,,,,,,,,,0.0,0.0,
Albania,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Austria,exports,gemstones,,,,,,,,26600.0,44600.0,29100.0,
Austria,exports,gemstones,,,,,,,,2300.0,1100.0,600.0,
Belgium,exports,gemstones,,,,,,,,11127.0,20908.0,30891.0,
Belgium,exports,gemstones,,,,,,,,137.0,185.0,21564.0,
Bulgaria,exports,gemstones,,,,,,,,0.0,292.0,0.0,
Bulgaria,exports,gemstones,,,,,,,,14.0,1.0,16.0,
Croatia,exports,gemstones,,,,,,,,79.0,0.0,0.0,
Croatia,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Cyprus,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Cyprus,exports,gemstones,,,,,,,,2.0,1.0,1.0,
Czech Republic,exports,gemstones,,,,,,,,22575.0,21117.0,22376.0,
Czech Republic,exports,gemstones,,,,,,,,43654.0,49938.0,64685.0,
Denmark,exports,gemstones,,,,,,,,2003.0,3805.0,1540.0,
Denmark,exports,gemstones,,,,,,,,1699.0,873.0,365.0,
Estonia,exports,gemstones,,,,,,,,141.0,945.0,317.0,
Estonia,exports,gemstones,,,,,,,,2.0,0.0,0.0,
Finland,exports,gemstones,,,,,,,,757.0,0.0,0.0,
Finland,exports,gemstones,,,,,,,,3.0,0.0,9.0,
France,exports,gemstones,,,,,,,,9532.0,23082.0,10604.0,
France,exports,gemstones,,,,,,,,11667.0,20845.0,34094.0,
Germany,exports,gemstones,,,,,,,,335045.0,159133.0,149288.0,
Germany,exports,gemstones,,,,,,,,34528.0,25936.0,28857.0,
Greece,exports,gemstones,,,,,,,,0.0,2.0,1.0,
Greece,exports,gemstones,,,,,,,,161.0,188.0,212.0,
Hungary,exports,gemstones,,,,,,,,0.0,253.0,222.0,
Hungary,exports,gemstones,,,,,,,,1.0,645.0,2.0,
Iceland,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Iceland,exports,gemstones,,,,,,,,0.0,0.0,0.0,
"Ireland, Republic of",exports,gemstones,,,,,,,,2.0,0.0,809.0,
"Ireland, Republic of",exports,gemstones,,,,,,,,20.0,20.0,80.0,
Italy,exports,gemstones,,,,,,,,15081.0,21793.0,25786.0,
Italy,exports,gemstones,,,,,,,,7652.0,8442.0,15577.0,
Latvia,exports,gemstones,,,,,,,,27.0,8.0,85.0,
Latvia,exports,gemstones,,,,,,,,16.0,4.0,35.0,
Lithuania,exports,gemstones,,,,,,,,851.0,12409.0,277.0,
Lithuania,exports,gemstones,,,,,,,,2.0,253.0,0.0,
Luxembourg,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Luxembourg,exports,gemstones,,,,,,,,8.0,156.0,3.0,
Malta,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Malta,exports,gemstones,,,,,,,,1.0,0.0,0.0,
Montenegro,exports,gemstones,,,,,,,,,0.0,0.0,
Montenegro,exports,gemstones,,,,,,,,0.0,0.0,0.0,
North Macedonia,exports,gemstones,,,,,,,,20.0,77.0,0.0,
North Macedonia,exports,gemstones,,,,,,,,,0.0,0.0,
Norway,exports,gemstones,,,,,,,,318.0,0.0,83054.0,
Norway,exports,gemstones,,,,,,,,5.0,6.0,14.0,
Poland,exports,gemstones,,,,,,,,20.0,39.0,4123.0,
Poland,exports,gemstones,,,,,,,,2028.0,1833.0,1556.0,
Portugal,exports,gemstones,,,,,,,,239.0,83.0,0.0,
Portugal,exports,gemstones,,,,,,,,5.0,1.0,76.0,
Romania,exports,gemstones,,,,,,,,,0.0,0.0,
Romania,exports,gemstones,,,,,,,,,0.0,0.0,
Serbia,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Serbia,exports,gemstones,,,,,,,,0.0,1.0,0.0,
Slovakia,exports,gemstones,,,,,,,,0.0,0.0,0.0,
Slovakia,exports,gemstones,,,,,,,,3.0,2.0,3.0,
Slovenia,exports,gemstones,,,,,,,,3185.0,0.0,0.0,
Slovenia,exports,gemstones,,,,,,,,,0.0,0.0,
Spain,exports,gemstones,,,,,,,,4787.0,3282.0,11957.0,
Spain,exports,gemstones,,,,,,,,48701.0,32581.0,2068.0,
Sweden,exports,gemstones,,,,,,,,247.0,261.0,115.0,
Sweden,exports,gemstones,,,,,,,,17.0,12.0,30.0,
Switzerland,exports,gemstones,,,,,,,,5145.0,1367.0,485.0,
Switzerland,exports,gemstones,,,,,,,,1265.0,1125.0,1192.0,
Turkey,exports,gemstones,,,,,,,,12545.0,30631.0,12672.0,
Turkey,exports,gemstones,,,,,,,,1315.0,3596.0,55.0,
United Kingdom,exports,gemstones,,,,,,,,2579.0,,,
United Kingdom,exports,gemstones,,,,,,,,5973.0,,,
