Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,exports,gold,"Metal, refined",15000.0,,,,,,,,,
Armenia,exports,gold,Metal,,,,,390.0,,202.0,79.0,1123.0,3435.0
Armenia,exports,gold,Waste & scrap,,,,,930.0,1600.0,2500.0,2527.0,201.0,600.0
Australia,exports,gold,Metal,238400.0,253703.0,296312.0,275000.0,275442.0,314956.0,325783.0,340785.0,504508.0,348033.0
Australia,exports,gold,Ores & concentrates,8800.0,5507.0,1600.0,2500.0,1600.0,2500.0,1700.0,,,
Australia,exports,gold,Waste & scrap,,,,,,1596000.0,1215000.0,1285000.0,492779.0,3003.0
Austria,exports,gold,Metal,313.0,638.0,948.0,15272.0,1227.0,1748.0,3111.0,1900.0,2700.0,3200.0
Austria,exports,gold,Waste & scrap,244.0,115.0,1614.0,520.0,747.0,200.0,56000.0,6000.0,600.0,200.0
Belarus,exports,gold,Waste & scrap,,,,900.0,3100.0,,,,,
Belgium-Luxembourg,exports,gold,Metal,18929.0,19689.0,22691.0,26089.0,22006.0,25188.0,27892.0,29500.0,32100.0,3800.0
Belgium-Luxembourg,exports,gold,"Metal, refined",206.0,166.0,,,,,,,,
Belgium-Luxembourg,exports,gold,"Metal, unrefined",52.0,147.0,,,,,,,,
Belgium-Luxembourg,exports,gold,Waste & scrap,,,3826000.0,513000.0,35000.0,344000.0,1647000.0,2124000.0,1019000.0,
Benin,exports,gold,Metal,,,,,,,,,3083.0,2372.0
Bolivia,exports,gold,Metal,3028.0,1682.0,165.0,6414.0,9633.0,10593.0,9561.0,10288.0,11998.0,9953.0
Bolivia,exports,gold,Ores & concentrates,2229.0,1675.0,1799.0,,,,,,,
Brazil,exports,gold,Metal,,,1876.0,1935.0,16459.0,34777.0,46970.0,48236.0,44234.0,39026.0
Bulgaria,exports,gold,Waste & scrap,,,4400.0,6000.0,50.0,1300.0,4800.0,,,
Burkina Faso,exports,gold,Metal,,,,,1624.0,1664.0,1312.0,1167.0,1341.0,914.0
Burundi,exports,gold,Metal,,,,,,3819.0,2256.0,0.0,0.0,40356.0
Canada,exports,gold,Metal,144930.0,162975.0,212478.0,204332.0,210597.0,170975.0,197287.0,218346.0,225273.0,186430.0
Canada,exports,gold,"Metal, refined",119722.0,,,,,,,,,
Canada,exports,gold,Ores & concentrates,10816.0,8393.0,6565.0,3869.0,3511.0,7066.0,5465.0,6010.0,5656.0,4450.0
Central African Republic,exports,gold,Metal,,,,153.0,78.0,62.0,23.0,19.0,24.0,35.0
Chile,exports,gold,Metal,68119.0,65780.0,64444.0,20422.0,22502.0,29032.0,32203.0,54989.0,30050.0,27616.0
China,exports,gold,Metal,2200.0,1500.0,1500.0,1500.0,1300.0,600.0,1600.0,1700.0,5100.0,1200.0
China,exports,gold,"Metal, refined",207079.0,195388.0,,,,,,,,
Colombia,exports,gold,Ores & concentrates,,,512885.0,364974.0,594268.0,551970.0,518427.0,462656.0,397788.0,
Croatia,exports,gold,Metal,,,0.0,1000.0,,1000.0,,,,
Cuba,exports,gold,Metal,,,,,,,,,800.0,1800.0
Cuba,exports,gold,Waste & scrap,,,,,,,1300.0,1400.0,1600.0,2400.0
Cyprus,exports,gold,Metal,,,,,,1.0,24.0,,53.0,1892.0
Cyprus,exports,gold,"Metal, refined",1630.0,,,,,,,,,
Czech Republic,exports,gold,Metal,,,0.0,8605.0,1671.0,2329.0,4693.0,2489.0,2806.0,3486.0
Czech Republic,exports,gold,Waste & scrap,,,,,,,,4287.0,8680.0,1255.0
Denmark,exports,gold,Metal,1865.0,961.0,878.0,502.0,410.0,893.0,1332.0,2861.0,982.0,1212.0
Denmark,exports,gold,"Metal, unrefined",0.0,17.0,,,,,,,,
Denmark,exports,gold,Waste & scrap,5507.0,6218.0,3327.0,4157.0,4111.0,8442.0,5851.0,2690.0,2602.0,5764.0
Dominican Republic,exports,gold,Metal,4354.0,3160.0,2229.0,247.0,1538.0,3288.0,3659.0,2350.0,1421.0,651.0
Estonia,exports,gold,Waste & scrap,,,,16300.0,15700.0,226.0,,6700.0,13100.0,1000.0
Ethiopia,exports,gold,Metal,,,,,,,,,850.0,2928.0
Fiji,exports,gold,Metal,3769.0,2751.0,,,3501.0,3410.0,4687.0,4671.0,3885.0,3881.0
Finland,exports,gold,Metal,1914.0,1943.0,1124.0,1032.0,808.0,2000.0,3834.0,4947.0,,
Finland,exports,gold,"Metal, refined",351900.0,331900.0,,,,,,,,
Finland,exports,gold,Waste & scrap,,,,2.0,153.0,41000.0,106000.0,51273.0,636.0,329.0
France,exports,gold,Metal,40916.0,44377.0,44421.0,44429.0,37578.0,39858.0,50812.0,42600.0,24600.0,24200.0
France,exports,gold,"Metal, unrefined",47654.0,43301.0,,,,,,,,
France,exports,gold,Waste & scrap,962268.0,1599937.0,695873.0,731232.0,1262100.0,146892.0,148831.0,66900.0,56300.0,39400.0
Georgia,exports,gold,Metal,,,,,,,,100.0,1000.0,0.0
German Democratic Rep,exports,gold,Metal,200.0,,,,,,,,,
German Federal Republic,exports,gold,Metal,44493.0,,,,,,,,,
German Federal Republic,exports,gold,"Metal, other",2540235.0,,,,,,,,,
German Federal Republic,exports,gold,"Metal, refined",1274.0,,,,,,,,,
German Federal Republic,exports,gold,"Metal, unrefined",12920.0,,,,,,,,,
German Federal Republic,exports,gold,Waste & scrap,108542.0,,,,,,,,,
Germany,exports,gold,Metal,,71517.0,58945.0,62317.0,74341.0,89575.0,94451.0,73400.0,67400.0,68800.0
Germany,exports,gold,"Metal, other",,4845376.0,,,,,,,,
Germany,exports,gold,"Metal, refined",,991.0,,,,,,,,
Germany,exports,gold,"Metal, unrefined",,9979.0,,,,,,,,
Germany,exports,gold,Waste & scrap,,32567.0,3013.0,26078.0,1210.0,23603.0,29214.0,228700.0,160500.0,313100.0
Ghana,exports,gold,Metal,,,,,,,,,90917.0,71091.0
Ghana,exports,gold,Waste & scrap,,,,,,,,,15000.0,8020.0
Greece,exports,gold,Metal,,,,,,,,613.0,117.0,1467.0
Greece,exports,gold,"Metal, other",,,,,,,,,,
Guinea,exports,gold,Metal,,,5111.0,3864.0,5600.0,7863.0,6838.0,3719.0,7834.0,12001.0
Guyana,exports,gold,Metal,1156.0,1882.0,2473.0,8667.0,11161.0,8563.0,9020.0,11076.0,12970.0,12183.0
Hong Kong,exports,gold,Metal,15874.0,5826.0,5152.0,9519.0,4493.0,6729.0,9980.0,6890.0,50038.0,39976.0
Hong Kong,exports,gold,Waste & scrap,3044.0,2000.0,2526.0,3259.0,2966.0,3968.0,5545.0,8043.0,44504.0,18464.0
Hungary,exports,gold,Metal,,,2689000.0,,,,441.0,740.0,805.0,1181.0
Indonesia,exports,gold,Metal,9544.0,12472.0,13656.0,16136.0,11577.0,3825.0,7689.0,26905.0,49834.0,42608.0
Indonesia,exports,gold,Waste & scrap,,,,,,,,1040.0,,920.0
"Ireland, Republic of",exports,gold,Metal,,,19000.0,113000.0,532000.0,14000.0,3000.0,4000.0,0.0,
"Ireland, Republic of",exports,gold,Waste & scrap,,,1296000.0,6000.0,12000.0,6000.0,2000.0,196000.0,,
Israel,exports,gold,Metal,,,,,,,,,5400.0,6900.0
Israel,exports,gold,Waste & scrap,,,,,,,,,,100.0
Italy,exports,gold,Metal,5500.0,4421.0,25974.0,15248.0,12672.0,13032.0,27432.0,13734.0,23276.0,32614.0
Italy,exports,gold,"Metal, refined",5752.0,5230.0,,,,,,,,
Italy,exports,gold,"Metal, unrefined",,725.0,,,,,,,,
Italy,exports,gold,Waste & scrap,,,,,,,,,568.0,357.0
Japan,exports,gold,Metal,30995.0,12353.0,36349.0,33878.0,23949.0,36490.0,39087.0,51881.0,71605.0,62391.0
Japan,exports,gold,"Metal, other",1074.0,1022.0,,,,,,,,
Japan,exports,gold,"Metal, unrefined",5159.0,5512.0,,,,,,,,
Japan,exports,gold,Waste & scrap,316.0,1029.0,1825.0,2241.0,1418.0,1277.0,2311.0,11254.0,4442.0,25.0
Jordan,exports,gold,Metal,147.0,2800.0,5282.0,4106.0,1579.0,,,,,
Kazakhstan,exports,gold,Metal,,,,,,0.0,0.0,8489.0,16200.0,24300.0
Kazakhstan,exports,gold,Waste & scrap,,,,,,,,,,300.0
Kenya,exports,gold,Metal,,,,,108.0,211.0,420.0,440.0,388.0,990.0
Korea (Rep. of),exports,gold,Metal,14373.0,16866.0,21455.0,25079.0,48350.0,197668.0,427533.0,577064.0,695861.0,317763.0
Korea (Rep. of),exports,gold,Ores & concentrates,0.0,1772367.0,2168000.0,1895200.0,1881600.0,,,,,
Korea (Rep. of),exports,gold,Waste & scrap,,,,,525.0,1494.0,265.0,108.0,59197.0,334.0
"Korea, Dem. P.R. of",exports,gold,Metal,2500.0,1000.0,2800.0,3600.0,600.0,900.0,2900.0,,1300.0,1400.0
Kuwait,exports,gold,Metal,,,,,,,,,,459.0
Kyrgyzstan,exports,gold,Metal,,,,,,,,2500.0,20400.0,14400.0
Latvia,exports,gold,Waste & scrap,,,,4100.0,148.0,159.0,1597.0,504.0,172.0,55.0
Lebanon,exports,gold,Metal,,,,,,,,,2651.0,5535.0
Liberia,exports,gold,Metal,,,,,,,,,,
Lithuania,exports,gold,Metal,,,,,,,,,,
Lithuania,exports,gold,Waste & scrap,,,400.0,2700.0,2200.0,,,,1.0,4738.0
Macao,exports,gold,"Metal, unrefined",,,,,,,,,,
Malaysia,exports,gold,Metal,1153.0,720.0,1072.0,3443.0,3927.0,,,,,
Malaysia,exports,gold,Waste & scrap,900.0,788.0,480.0,,221.0,,,,101464.0,60408.0
Mauritius,exports,gold,Metal,,,,,,,,,96.0,45.0
Mauritius,exports,gold,Waste & scrap,,,,,,,,,59.0,388.0
Mexico,exports,gold,Metal,,,,,,,,42888.0,37309.0,45547.0
Mexico,exports,gold,Waste & scrap,,,,,,,,4567.0,,3192.0
Mozambique,exports,gold,Metal,63.0,390.0,317.0,113.0,262.0,228.0,53.0,0.0,0.0,8.0
Namibia,exports,gold,Metal,1573.0,1873.0,2049.0,2011.0,2319.0,2056.0,2177.0,2452.0,1918.0,2005.0
Namibia,exports,gold,"Metal, refined",84097.0,0.0,,,,,,,,
Netherlands,exports,gold,Metal,1643.0,1083.0,1199.0,6772.0,11479.0,12972.0,15286.0,13182.0,7759.0,8066.0
Netherlands,exports,gold,"Metal, unrefined",1364.0,2207.0,,,,,,,,
Netherlands,exports,gold,Waste & scrap,21000.0,3000.0,11000.0,20000.0,29000.0,56000.0,193370.0,,104500.0,35900.0
New Caledonia,exports,gold,Ores & concentrates,2263000.0,2067000.0,,,,,,,,
New Zealand,exports,gold,Metal,5700.0,3508.0,10757.0,22082.0,36588.0,37624.0,40898.0,39750.0,30224.0,28680.0
Nicaragua,exports,gold,Metal,,,,,300.0,700.0,600.0,800.0,3400.0,4400.0
Norway,exports,gold,Metal,776.0,926.0,1133.0,1197.0,1599.0,2151.0,1643.0,1714.0,1823.0,1854.0
Norway,exports,gold,"Metal, refined",48565.0,69528.0,,,,,,,,
Norway,exports,gold,Waste & scrap,154.0,370.0,384.0,181.0,328.0,966.0,2083.0,1280.0,938.0,899.0
Oman,exports,gold,Metal,,,,,60.0,778.0,836.0,2828.0,475.0,910.0
Papua New Guinea,exports,gold,Metal,34280.0,60782.0,71190.0,60587.0,59155.0,53861.0,51119.0,45418.0,64106.0,64694.0
Peru,exports,gold,Metal,713.0,12084.0,19586.0,19782.0,27549.0,37223.0,45978.0,46271.0,97982.0,131511.0
Philippines,exports,gold,Metal,,,124.0,49845.0,76328.0,63646.0,60163.0,,73190.0,56368.0
Philippines,exports,gold,Ores & concentrates,7515.0,5682.0,11884.0,5694.0,6659.0,6382.0,7636.0,5652.0,4499.0,
Poland,exports,gold,Metal,,,1354.0,55.0,249.0,330.0,132.0,1451.0,201.0,419.0
Portugal,exports,gold,Metal,,,,,,,0.0,1207.0,851.0,
Portugal,exports,gold,"Metal, other",10105.0,1104.0,,,,,,,,
Portugal,exports,gold,Waste & scrap,,,,,,,16.0,1329.0,127.0,
Qatar,exports,gold,Metal,,,,,,,,,,982671.0
Qatar,exports,gold,Waste & scrap,,,,,,,,,,6000.0
Russia,exports,gold,Metal,,,22200.0,14100.0,36400.0,73900.0,3600.0,7100.0,51619.0,29200.0
Russia,exports,gold,Waste & scrap,,,40900.0,11400.0,7500.0,33400.0,6500.0,,,
Saudi Arabia,exports,gold,Metal,,,,,,,,,9348.0,417059.0
Saudi Arabia,exports,gold,Waste & scrap,,,,,,,,,208.0,5206.0
Senegal,exports,gold,Metal,,,,,,397.0,,,,
Serbia and Montenegro,exports,gold,Metal,,,1000.0,,,,,1000.0,2254.0,617.0
Sierra Leone,exports,gold,Metal,10.0,19.0,51.0,157.0,111.0,4.0,,,,
Singapore,exports,gold,Metal,20127.0,8258.0,9907.0,13042.0,12191.0,14305.0,23700.0,42243.0,140989.0,41254.0
Singapore,exports,gold,Waste & scrap,1326.0,22234.0,9353.0,1106.0,777.0,1312.0,4044.0,8481.0,6103.0,4128.0
Slovakia,exports,gold,Metal,,,,,,,,,100.0,148.0
Slovakia,exports,gold,Ores & concentrates,,,,,,,1458000.0,1261000.0,825000.0,1207000.0
Slovenia,exports,gold,Metal,,,,,,,,,91.0,58.0
Slovenia,exports,gold,Waste & scrap,,,,,,,,,525.0,589.0
South Africa,exports,gold,Metal,,,3878000000.0,4741000000.0,4591000000.0,,,502457.0,460822.0,452621.0
Soviet Union,exports,gold,Metal,41400.0,79700.0,,,,,,,,
Soviet Union,exports,gold,"Metal, refined",174000.0,,,,,,,,,
Spain,exports,gold,Metal,2195.0,2763.0,905.0,4776.0,14401.0,15888.0,15201.0,36177.0,103927.0,3472.0
Spain,exports,gold,"Metal, refined",13651.0,7685.0,,,,,,,,
Spain,exports,gold,Waste & scrap,,,,,,,,86.0,1.0,2983.0
Sudan,exports,gold,Metal,,,,,,,4500.0,5000.0,5388.0,5500.0
Sweden,exports,gold,Metal,7000.0,9000.0,7000.0,9000.0,8000.0,,12724.0,4000.0,1000.0,16907.0
Sweden,exports,gold,"Metal, unrefined",3623.0,2365.0,,,,,,,,
Sweden,exports,gold,Waste & scrap,42000.0,39000.0,28000.0,46000.0,28000.0,108989.0,3519.0,1000.0,,14000.0
Switzerland,exports,gold,Metal,1104637.0,1040647.0,1187660.0,999059.0,909456.0,1193530.0,1191879.0,1677130.0,1541530.0,1225858.0
Switzerland,exports,gold,Waste & scrap,35907.0,94401.0,46723.0,78216.0,8080.0,16758.0,52375.0,44849.0,63818.0,60162.0
Taiwan,exports,gold,Metal,,,,268.0,898.0,2409.0,3258.0,3056.0,2678.0,4200.0
Taiwan,exports,gold,"Metal, other",80895.0,71744.0,,,,,,,,
Taiwan,exports,gold,Waste & scrap,42946.0,22361.0,16832.0,15134.0,70730.0,908.0,1385.0,6113.0,12592.0,58.0
Tanzania,exports,gold,Metal,,,,,,,,,418.0,4875.0
Thailand,exports,gold,Metal,383.0,119.0,882.0,1051.0,64821.0,6579.0,44277.0,42828.0,44409.0,18777.0
Thailand,exports,gold,Waste & scrap,141.0,1987.0,3285.0,26538.0,99907.0,36856.0,6493.0,5930.0,78983.0,38515.0
Togo,exports,gold,Metal,,,,,,,14947.0,14374.0,13798.0,12816.0
USA,exports,gold,"Metal, other",,,9034.0,13031.0,12909.0,9372.0,6803.0,10561.0,18705.0,22513.0
USA,exports,gold,"Metal, refined",,,264383.0,660572.0,337514.0,278492.0,405332.0,390528.0,436376.0,437706.0
USA,exports,gold,"Metal, unrefined",,,51086.0,64474.0,60415.0,69990.0,71073.0,87550.0,91598.0,86748.0
USA,exports,gold,Ores & concentrates,,,30.0,,,,,,,
USA,exports,gold,Waste & scrap,67003.0,68102.0,80267.0,68847.0,81407.0,81430.0,91297.0,62019.0,58555.0,40751.0
Uganda,exports,gold,Metal,,,18.0,104.0,216.0,3094.0,5067.0,6819.0,5029.0,5558.0
Ukraine,exports,gold,Metal,,,,,,,,,,500.0
Ukraine,exports,gold,Waste & scrap,,,0.0,74400.0,9900.0,,1500.0,20500.0,27600.0,37100.0
United Kingdom,exports,gold,Metal,,,,683719.0,436674.0,702386.0,595097.0,1151116.0,623971.0,589540.0
United Kingdom,exports,gold,"Metal, other",15034.0,9726.0,75874.0,,,,,,,
United Kingdom,exports,gold,"Metal, refined",632154.0,547699.0,924143.0,,,,,,,
United Kingdom,exports,gold,"Metal, unrefined",4816.0,3156.0,,,,,,,,
United Kingdom,exports,gold,Waste & scrap,248638.0,5490.0,2307.0,2638.0,1450.0,11533.0,79727.0,54067.0,104568.0,377931.0
Uruguay,exports,gold,Metal,,,,,,,550.0,2400.0,3600.0,3400.0
Uzbekistan,exports,gold,Metal,,,,20000.0,14000.0,15300.0,10400.0,5800.0,6700.0,12400.0
Yugoslavia,exports,gold,Metal,2000.0,1000.0,,,,,,,,
Yugoslavia,exports,gold,"Metal, refined",32724.0,20196.0,,,,,,,,
Zaire,exports,gold,Metal,384.0,,,,,,,,,
Zimbabwe,exports,gold,Metal,18454.0,16089.0,14324.0,21262.0,18908.0,,,,,
