Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,exports,graphite,,,,,,782.0,,,,,
Austria,exports,graphite,,8376.0,6018.0,5394.0,4165.0,5103.0,5094.0,5344.0,4063.0,3902.0,3463.0
Belgium-Luxembourg,exports,graphite,,,,,,,39.0,31.0,113.0,1494.0,1678.0
Brazil,exports,graphite,,8491.0,7298.0,8956.0,9961.0,9668.0,11899.0,11478.0,12614.0,13521.0,11308.0
Canada,exports,graphite,,10530.0,8535.0,21051.0,21501.0,21755.0,,20823.0,26148.0,20617.0,18763.0
China,exports,graphite,,141234.0,153061.0,154869.0,145426.0,181767.0,193648.0,158368.0,170022.0,180752.0,205891.0
Czech Republic,exports,graphite,,,,0.0,2120.0,2294.0,2691.0,2722.0,2831.0,2670.0,2501.0
Czechoslovakia,exports,graphite,,1500.0,400.0,300.0,,,,,,,
France,exports,graphite,,562.0,473.0,1851.0,281.0,735.0,4286.0,977.0,801.0,349.0,652.0
German Federal Republic,exports,graphite,,9101.0,,,,,,,,,
Germany,exports,graphite,,,7557.0,7651.0,7267.0,8471.0,11191.0,9494.0,9108.0,8843.0,8549.0
Hong Kong,exports,graphite,,1576.0,2410.0,2427.0,2111.0,930.0,175.0,219.0,108.0,151.0,69.0
India,exports,graphite,,2790.0,653.0,504.0,698.0,674.0,659.0,248.0,265.0,556.0,1107.0
Italy,exports,graphite,,456.0,500.0,355.0,461.0,164.0,302.0,210.0,129.0,234.0,91.0
Japan,exports,graphite,,1314.0,1484.0,1928.0,2047.0,3052.0,3436.0,3055.0,3027.0,1949.0,1894.0
Korea (Rep. of),exports,graphite,,48697.0,29925.0,11563.0,7748.0,5623.0,3551.0,2371.0,2019.0,1255.0,1430.0
"Korea, Dem. P.R. of",exports,graphite,,10100.0,11000.0,6900.0,2500.0,6300.0,3100.0,3000.0,5900.0,4400.0,3800.0
Latvia,exports,graphite,,,,,1300.0,,,,,,
Madagascar,exports,graphite,,6875.0,13554.0,10671.0,11182.0,12715.0,16522.0,14629.0,13975.0,13087.0,9781.0
Mexico,exports,graphite,,10016.0,10403.0,9048.0,13901.0,15916.0,15108.0,14992.0,16651.0,16974.0,13774.0
Mozambique,exports,graphite,,,,,,337.0,2818.0,2447.0,4730.0,5558.0,4083.0
Netherlands,exports,graphite,,1880.0,2082.0,3030.0,471.0,1128.0,476.0,574.0,536.0,889.0,937.0
Norway,exports,graphite,,6686.0,1137.0,3535.0,5131.0,35.0,29440.0,29340.0,7000.0,7000.0,7000.0
Poland,exports,graphite,,,,4079.0,902.0,,,,,,
Russia,exports,graphite,,,,2000.0,3000.0,730.0,986.0,1111.0,742.0,613.0,997.0
Saudi Arabia,exports,graphite,,,,,,,,,,160.0,362.0
Singapore,exports,graphite,,,,,,,,,,113.0,131.0
South Africa,exports,graphite,,1900.0,1500.0,400.0,500.0,400.0,1300.0,1900.0,1700.0,1200.0,2400.0
Spain,exports,graphite,,628.0,138.0,491.0,768.0,775.0,478.0,126.0,59.0,36.0,4289.0
Sri Lanka,exports,graphite,,4654.0,2376.0,2163.0,3560.0,4089.0,4816.0,503.0,6094.0,5136.0,5344.0
Sweden,exports,graphite,,,,,180.0,3234.0,1421.0,103.0,515.0,2311.0,3262.0
USA,exports,graphite,,11863.0,19574.0,19384.0,17548.0,20853.0,38217.0,27158.0,41404.0,28769.0,30966.0
Ukraine,exports,graphite,,,,,1000.0,4223.0,3756.0,4663.0,2328.0,1905.0,2259.0
United Kingdom,exports,graphite,,2888.0,2681.0,1833.0,2133.0,2455.0,1693.0,2152.0,1871.0,2206.0,1973.0
Zimbabwe,exports,graphite,,13930.0,11080.0,11849.0,8078.0,9077.0,49204.0,10943.0,10997.0,12125.0,8974.0
