Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Angola,exports,gypsum_and_plaster,Crude                                             ,5343.0,10963.0,13713.0,21495.0,,,,,,
Argentina,exports,gypsum_and_plaster,,12240.0,11893.0,12517.0,11217.0,16809.0,23373.0,16727.0,21752.0,9749.0,10021.0
Australia,exports,gypsum_and_plaster,Calcined                                          ,1598.0,1270.0,,,,,,,,
Australia,exports,gypsum_and_plaster,Crude                                             ,204119.0,258195.0,,,,,,,,
Australia,exports,gypsum_and_plaster,Crude & calcined                                  ,,,282268.0,437283.0,303166.0,215776.0,187723.0,190512.0,181040.0,424678.0
Austria,exports,gypsum_and_plaster,Calcined                                          ,2577.0,5799.0,8945.0,17390.0,28851.0,36496.0,56842.0,70987.0,90468.0,128117.0
Austria,exports,gypsum_and_plaster,Crude                                             ,140327.0,157542.0,163177.0,149345.0,106400.0,91062.0,96626.0,94814.0,99276.0,122684.0
Belgium-Luxembourg,exports,gypsum_and_plaster,Calcined                                          ,9081.0,9458.0,8534.0,4918.0,9841.0,34465.0,53640.0,34134.0,43980.0,39755.0
Belgium-Luxembourg,exports,gypsum_and_plaster,Crude                                             ,386.0,1270.0,2949.0,24840.0,24163.0,12542.0,13854.0,3874.0,10136.0,56832.0
Bolivia,exports,gypsum_and_plaster,,500.0,2000.0,2308.0,1400.0,3251.0,570.0,,0.0,1000.0,0.0
Brazil,exports,gypsum_and_plaster,,,,,,,,,,15.0,48.0
Canada,exports,gypsum_and_plaster,Crude                                             ,4402845.0,4567653.0,5409520.0,5754099.0,5212454.0,3691676.0,3798243.0,4994324.0,5178632.0,5474765.0
China,exports,gypsum_and_plaster,,,,,,,,,,,0.0
Colombia,exports,gypsum_and_plaster,,,,,,,,,1710.0,6529.0,500.0
Cyprus,exports,gypsum_and_plaster,Calcined                                          ,0.0,539.0,20.0,71.0,20.0,0.0,884.0,4186.0,2688.0,4465.0
Cyprus,exports,gypsum_and_plaster,Crude                                             ,4421.0,0.0,96.0,23171.0,10713.0,20.0,10324.0,34922.0,5007.0,5634.0
Denmark,exports,gypsum_and_plaster,Crude & calcined                                  ,25.0,20.0,38.0,1232.0,1527.0,56.0,67.0,270.0,130.0,123.0
Dominican Republic,exports,gypsum_and_plaster,,84075.0,146000.0,117186.0,240867.0,269881.0,150252.0,137892.0,113705.0,195998.0,190794.0
Egypt,exports,gypsum_and_plaster,,,,,,,650.0,9523.0,25019.0,18693.0,9100.0
France,exports,gypsum_and_plaster,Calcined                                          ,110286.0,133174.0,160785.0,201218.0,222961.0,225225.0,208380.0,213559.0,209855.0,189839.0
France,exports,gypsum_and_plaster,Crude                                             ,1098503.0,1021682.0,1031170.0,1032228.0,1030698.0,842878.0,723997.0,898203.0,798698.0,949162.0
German Democratic Rep,exports,gypsum_and_plaster,Calcined                                          ,61399.0,71605.0,92963.0,84686.0,89701.0,64471.0,76730.0,77208.0,68681.0,80353.0
German Federal Republic,exports,gypsum_and_plaster,Calcined                                          ,,,,,,163665.0,196402.0,157500.0,156920.0,174448.0
German Federal Republic,exports,gypsum_and_plaster,Crude                                             ,,,,,,122456.0,75623.0,176751.0,199063.0,184016.0
German Federal Republic,exports,gypsum_and_plaster,Crude & calcined                                  ,258992.0,289802.0,313452.0,304604.0,333012.0,,,,,
Greece,exports,gypsum_and_plaster,,,,,,5.0,1115.0,6193.0,7305.0,5622.0,5.0
Guatemala,exports,gypsum_and_plaster,,,,,,,,,16716.0,20522.0,21056.0
Hong Kong,exports,gypsum_and_plaster,,,,,,,,456.0,840.0,528.0,31433.0
Iran,exports,gypsum_and_plaster,Calcined                                          ,1851.0,1293.0,1914.0,3804.0,613.0,1636.0,,,,
Iran,exports,gypsum_and_plaster,Crude                                             ,,,90.0,393.0,864.0,1942.0,,,,
Iraq,exports,gypsum_and_plaster,Crude & calcined                                  ,,,1075.0,5000.0,3000.0,7243.0,12022.0,,,
"Ireland, Republic of",exports,gypsum_and_plaster,Calcined                                          ,,,,,,,,30785.0,32397.0,27577.0
"Ireland, Republic of",exports,gypsum_and_plaster,Crude                                             ,108268.0,115412.0,103106.0,143352.0,85296.0,67594.0,,31995.0,33726.0,29607.0
"Ireland, Republic of",exports,gypsum_and_plaster,,,,,,,,66504.0,,,
Italy,exports,gypsum_and_plaster,Calcined                                          ,18170.0,20141.0,16345.0,18994.0,21275.0,10408.0,9311.0,11145.0,10914.0,11919.0
Italy,exports,gypsum_and_plaster,Crude                                             ,16019.0,22690.0,2091.0,1796.0,5297.0,151.0,712.0,353.0,247.0,20.0
Jamaica,exports,gypsum_and_plaster,,242000.0,280000.0,398000.0,327338.0,219439.0,248355.0,215504.0,248400.0,152816.0,21062.0
Japan,exports,gypsum_and_plaster,Calcined                                          ,23333.0,6431.0,2477.0,2506.0,2808.0,2532.0,15370.0,5707.0,4778.0,5262.0
Japan,exports,gypsum_and_plaster,Crude                                             ,5091.0,70.0,60.0,40.0,35.0,52.0,342.0,767.0,1394.0,895.0
Kenya,exports,gypsum_and_plaster,,,,,,,3093.0,124.0,2247.0,1559.0,270.0
Korea (Rep. of),exports,gypsum_and_plaster,Calcined                                          ,,7577.0,5351.0,144850.0,109280.0,65790.0,89745.0,19.0,,59319.0
Korea (Rep. of),exports,gypsum_and_plaster,Crude                                             ,,22530.0,20777.0,218901.0,144290.0,680.0,15.0,71897.0,109095.0,10085.0
Mauritania,exports,gypsum_and_plaster,,0.0,0.0,0.0,1995.0,8312.0,,,,,
Mexico,exports,gypsum_and_plaster,Calcined                                          ,10.0,11.0,17.0,52645.0,10528.0,16.0,,,,
Mexico,exports,gypsum_and_plaster,Crude                                             ,1056206.0,1659554.0,1464334.0,1187140.0,1227280.0,959214.0,,,,
Mexico,exports,gypsum_and_plaster,,,,,,,,1086832.0,1309490.0,1535304.0,1838278.0
Morocco,exports,gypsum_and_plaster,Calcined                                          ,754.0,751.0,1517.0,1535.0,2158.0,2460.0,3140.0,2037.0,4160.0,8010.0
Morocco,exports,gypsum_and_plaster,Crude                                             ,103904.0,105762.0,130587.0,205020.0,179082.0,195496.0,146172.0,173520.0,218073.0,228871.0
Netherlands,exports,gypsum_and_plaster,Calcined                                          ,898.0,134.0,,,,,,1475.0,1438.0,1943.0
Netherlands,exports,gypsum_and_plaster,Crude                                             ,,,,,,11081.0,,427.0,928.0,1532.0
Netherlands,exports,gypsum_and_plaster,Crude & calcined                                  ,,,3691.0,1089.0,3479.0,,,,,
Netherlands,exports,gypsum_and_plaster,,,,,,,,13538.0,,,
Nicaragua,exports,gypsum_and_plaster,Crude                                             ,6864.0,8092.0,,,,,,,,
Nicaragua,exports,gypsum_and_plaster,,,,11585.0,13352.0,13814.0,16279.0,14418.0,14966.0,17490.0,13341.0
Norway,exports,gypsum_and_plaster,Crude                                             ,10756.0,21686.0,8411.0,14026.0,13362.0,20297.0,17014.0,11454.0,0.0,0.0
Poland,exports,gypsum_and_plaster,,587154.0,572296.0,531560.0,564097.0,523133.0,342142.0,261541.0,62711.0,26470.0,200.0
Romania,exports,gypsum_and_plaster,Calcined                                          ,,,,,,,28200.0,21500.0,28200.0,28100.0
Romania,exports,gypsum_and_plaster,,148400.0,142700.0,117800.0,183500.0,,,,,,
Saudi Arabia,exports,gypsum_and_plaster,Crude & calcined                                  ,3750.0,3814.0,5752.0,5417.0,,19411.0,468.0,2708.0,2912.0,7566.0
Singapore,exports,gypsum_and_plaster,Crude & calcined                                  ,311.0,1018.0,1726.0,533.0,815.0,357.0,610.0,682.0,881.0,1405.0
South Africa,exports,gypsum_and_plaster,,34004.0,41839.0,43710.0,22039.0,10165.0,14069.0,11400.0,14229.0,3654.0,3237.0
Soviet Union,exports,gypsum_and_plaster,,,,,,,291000.0,208100.0,177500.0,112600.0,59900.0
