Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Australia,exports,iodine,,3534.0,1975.0,1000.0,,,,,,,
Austria,exports,iodine,,,,1000.0,100.0,100.0,37.0,600.0,324.0,139.0,339.0
Azerbaijan,exports,iodine,,2000.0,,,,,,,,,
Belgium,exports,iodine,,,,,,,,3272600.0,2633100.0,3560100.0,2582300.0
Belgium-Luxembourg,exports,iodine,,1570900.0,1908400.0,2351000.0,4904400.0,3646100.0,3460200.0,,,,
Brazil,exports,iodine,,43026.0,24061.0,27152.0,,,,,,,
Bulgaria,exports,iodine,,,,,50.0,,1199.0,781.0,51610.0,200.0,300.0
Canada,exports,iodine,,6726.0,114698.0,56736.0,,,,,,,
Chile,exports,iodine,,9839348.0,9393481.0,10160000.0,,,,,,,
China,exports,iodine,,8020.0,12120.0,12000.0,,,,,,,
Czech Republic,exports,iodine,,1000.0,,267.0,330.0,537.0,1000.0,800.0,1000.0,300.0,500.0
Denmark,exports,iodine,,,,0.0,199.0,6921.0,3058.0,6301.0,100.0,1.0,1500.0
France,exports,iodine,,27100.0,74900.0,107000.0,30900.0,30500.0,40900.0,51300.0,91100.0,100500.0,101909.0
Germany,exports,iodine,,855900.0,570400.0,2637000.0,583100.0,640400.0,465800.0,340600.0,183200.0,97400.0,112690.0
India,exports,iodine,,214195.0,83740.0,26248.0,,,,,,,
Indonesia,exports,iodine,,940285.0,1427501.0,76000.0,,,,,,,
"Ireland, Republic of",exports,iodine,,27742.0,2500.0,2000.0,9600.0,0.0,1462.0,0.0,1944.0,1536.0,1982.0
Italy,exports,iodine,,4694.0,2892.0,3000.0,2065.0,3080.0,14499.0,7067.0,2613.0,2119.0,86917.0
Japan,exports,iodine,,4788264.0,5440460.0,5350000.0,,,,,,,
Latvia,exports,iodine,,,,,,,,,,200.0,0.0
Lithuania,exports,iodine,,2000.0,13000.0,1832.0,827.0,7502.0,33.0,4800.0,20.0,3.0,0.0
Mexico,exports,iodine,,66470.0,54000.0,,,,,,,,
Netherlands,exports,iodine,,,,147664.0,527769.0,58633.0,59228.0,76080.0,517872.0,773705.0,386170.0
Norway,exports,iodine,,19244.0,64.0,3000.0,1509.0,0.0,0.0,17.0,7200.0,0.0,250.0
Poland,exports,iodine,,,,,,100.0,100.0,200.0,1300.0,5100.0,5100.0
Russia,exports,iodine,,101000.0,47417.0,14712.0,,,,,,,
Saudi Arabia,exports,iodine,,44000.0,,40000.0,,,,,,,
Singapore,exports,iodine,,4504.0,10137.0,18462.0,,,,,,,
Spain,exports,iodine,,74721.0,300485.0,115000.0,27811.0,31156.0,21089.0,7356.0,7689.0,46873.0,15376.0
Sweden,exports,iodine,,5000.0,1000.0,2000.0,4000.0,0.0,4000.0,40.0,48.0,122.0,300.0
Switzerland,exports,iodine,,,,360.0,1116.0,5228.0,4179.0,1342.0,1205.0,1605.0,97.0
Turkey,exports,iodine,,5540.0,2307.0,2570.0,213.0,118.0,21250.0,20213.0,11098.0,1212.0,31908.0
USA,exports,iodine,,1766884.0,1593000.0,1738609.0,,,,,,,
United Kingdom,exports,iodine,,385000.0,507363.0,207341.0,169145.0,107007.0,197086.0,314659.0,368785.0,174965.0,121370.0
