Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,exports,iron_ore,,277026.0,606577.0,191531.0,191934.0,327352.0,131842.0,270797.0,167531.0,205488.0,
Belgium,exports,iron_ore,,366331.0,455069.0,76216.0,7694.0,1918.0,5687.0,4997.0,6763.0,44526.0,
Bulgaria,exports,iron_ore,,1.0,0.0,26823.0,2776.0,156101.0,226322.0,216652.0,224219.0,189923.0,
Croatia,exports,iron_ore,,,,,,,,,,,
Czech Republic,exports,iron_ore,,8.0,984.0,1097.0,1796.0,12210.0,25387.0,10519.0,104308.0,6874.0,
Denmark,exports,iron_ore,,,,,,0.0,400.0,20.0,31458.0,250.0,
Finland,exports,iron_ore,Burnt pyrites                                     ,391549.0,80000.0,,,,,,,,
Finland,exports,iron_ore,,298912.0,700000.0,1230000.0,1713000.0,2577000.0,521000.0,270000.0,179556.0,206260.0,
France,exports,iron_ore,,19349.0,129374.0,88094.0,167799.0,90541.0,100045.0,77947.0,17790.0,64716.0,
Germany,exports,iron_ore,Burnt pyrites                                     ,7994.0,15999.0,,,,,,,,
Germany,exports,iron_ore,,22373.0,54555.0,42763.0,50451.0,113177.0,68915.0,80296.0,110386.0,74440.0,
Greece,exports,iron_ore,Burnt pyrites                                     ,,6559.0,,,,,,,,
Greece,exports,iron_ore,,,,0.0,10180.0,,,,,,
Hungary,exports,iron_ore,,52400.0,64435.0,63373.0,11382.0,2009.0,122.0,0.0,13925.0,18785.0,
Italy,exports,iron_ore,,8779.0,6742.0,14191.0,18697.0,,,,,,
Netherlands,exports,iron_ore,,121426.0,208469.0,48613.0,241379.0,172384.0,205079.0,55286.0,124627.0,103977.0,
Norway,exports,iron_ore,,1803242.0,2435415.0,3659210.0,3567408.0,4016143.0,3804484.0,1859751.0,1717076.0,1746239.0,
Poland,exports,iron_ore,,16130.0,4400.0,1573.0,29699.0,97832.0,22046.0,292.0,16530.0,18550.0,
Romania,exports,iron_ore,Burnt pyrites                                     ,1359.0,1690.0,,,,,,,,
Romania,exports,iron_ore,,1718.0,2728.0,56885.0,328328.0,21613.0,10436.0,5000.0,82000.0,30000.0,
Serbia,exports,iron_ore,Burnt pyrites                                     ,0.0,34828.0,,,,,,,,
Serbia,exports,iron_ore,,,,988059.0,1288928.0,206424.0,14412.0,11199.0,22618.0,453.0,
Slovakia,exports,iron_ore,,62568.0,22481.0,118695.0,121558.0,97908.0,23796.0,41767.0,33149.0,24141.0,
Spain,exports,iron_ore,,9079.0,165589.0,184056.0,270073.0,60022.0,26000.0,22031.0,199897.0,150179.0,
Sweden,exports,iron_ore,,20726152.0,21115203.0,22869383.0,23455915.0,23727480.0,20090402.0,22756255.0,23671877.0,23697371.0,
Turkey,exports,iron_ore,Burnt pyrites                                     ,4830.0,22752.0,,,,,,,,
Turkey,exports,iron_ore,,195770.0,273798.0,423536.0,955332.0,1074781.0,338036.0,398413.0,762816.0,761351.0,
United Kingdom,exports,iron_ore,Burnt pyrites                                     ,28.0,10.0,,,18.0,0.0,0.0,0.0,1.0,0.0
United Kingdom,exports,iron_ore,,5228.0,179699.0,108415.0,71811.0,3860.0,91853.0,3722.0,2205.0,2923.0,1623.0
