Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,exports,iron_steel_and_ferro-alloys,Ferro-chrome,31300.0,15400.0,8500.0,15000.0,34700.0,50000.0,32400.0,22700.0,26700.0,33400.0
Albania,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,,,,,,,15920.0,,,
Albania,exports,iron_steel_and_ferro-alloys,Scrap,,,,,,,3406.0,11684.0,3900.0,3800.0
Algeria,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",,,,,,,17607.0,19352.0,31055.0,82857.0
Algeria,exports,iron_steel_and_ferro-alloys,Pig iron,302690.0,273625.0,157850.0,136000.0,105474.0,,298285.0,206913.0,49473.0,93102.0
Algeria,exports,iron_steel_and_ferro-alloys,Scrap,10293.0,30889.0,17943.0,11500.0,15159.0,36200.0,60178.0,69668.0,57365.0,28811.0
Argentina,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,,,11124.0,181.0,4514.0,12451.0,5306.0,4854.0,17364.0,238.0
Argentina,exports,iron_steel_and_ferro-alloys,Ferro-silicon,12784.0,,1400.0,2835.0,5512.0,9579.0,12700.0,10154.0,2176.0,2705.0
Argentina,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",228835.0,115111.0,1166.0,15203.0,300.0,502.0,6682.0,25770.0,21724.0,97681.0
Argentina,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,19259.0,,1979.0,2024.0,4039.0,11038.0,14624.0,14463.0,14693.0,8293.0
Argentina,exports,iron_steel_and_ferro-alloys,Pig iron,,,,,,33455.0,174762.0,145344.0,185902.0,63556.0
Argentina,exports,iron_steel_and_ferro-alloys,Silicon metal,,,,4607.0,1691.0,10.0,26.0,40.0,5166.0,3454.0
Armenia,exports,iron_steel_and_ferro-alloys,Scrap,,,,,,98000.0,65000.0,234316.0,186000.0,55322.0
Australia,exports,iron_steel_and_ferro-alloys,Ferro-manganese,43000.0,20000.0,46000.0,59000.0,75769.0,72579.0,59076.0,41087.0,57316.0,27470.0
Australia,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,,,,,82511.0,99414.0,92713.0,86129.0,81313.0,70188.0
Australia,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",710000.0,747000.0,841000.0,975000.0,1412876.0,1147529.0,1245214.0,1458304.0,1826387.0,1545831.0
Australia,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,,,,,221.0,715.0,,,,
Australia,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,57000.0,61000.0,77000.0,,,,222.0,1009.0,,
Australia,exports,iron_steel_and_ferro-alloys,Pig iron,0.0,0.0,0.0,,,,,,,
Australia,exports,iron_steel_and_ferro-alloys,Scrap,1173000.0,1410000.0,955000.0,759000.0,398654.0,305982.0,678186.0,764775.0,576772.0,758865.0
Australia,exports,iron_steel_and_ferro-alloys,Silicon metal,,,,,27917.0,26186.0,26977.0,26742.0,28244.0,36954.0
Australia,exports,iron_steel_and_ferro-alloys,Sponge & powder,,,,,520.0,831.0,520.0,4440.0,591.0,253531.0
Austria,exports,iron_steel_and_ferro-alloys,Ferro-alloys,22049.0,19808.0,22211.0,20084.0,19080.0,30457.0,20802.0,5889.0,7595.0,5518.0
Austria,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",13957.0,9394.0,18644.0,51225.0,97357.0,263011.0,163078.0,236630.0,219382.0,227262.0
Austria,exports,iron_steel_and_ferro-alloys,Pig iron,6904.0,13346.0,7613.0,6952.0,181.0,52.0,1980.0,679.0,,
Austria,exports,iron_steel_and_ferro-alloys,Scrap,342438.0,503860.0,399936.0,460329.0,467015.0,489390.0,582403.0,653254.0,573400.0,558267.0
Austria,exports,iron_steel_and_ferro-alloys,Silicon metal,,,,,,,,,,252.0
Azerbaijan,exports,iron_steel_and_ferro-alloys,Scrap,,,3000.0,5000.0,11000.0,12000.0,11717.0,15100.0,6937.0,13021.0
Bahrain,exports,iron_steel_and_ferro-alloys,Scrap,57916.0,27458.0,34800.0,44910.0,44057.0,43488.0,33168.0,51482.0,45793.0,33448.0
Belarus,exports,iron_steel_and_ferro-alloys,Ferro-alloys,,,,,,,417.0,27994.0,3417.0,3246.0
Belarus,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",,,23300.0,93400.0,69800.0,,341203.0,450346.0,592800.0,708504.0
Belarus,exports,iron_steel_and_ferro-alloys,Scrap,,,,288000.0,190000.0,254000.0,177776.0,190330.0,145444.0,129426.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-chrome,2130.0,4117.0,2594.0,16903.0,6862.0,15963.0,16647.0,21109.0,42781.0,47169.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-manganese,22624.0,34671.0,8983.0,12400.0,12855.0,22606.0,17788.0,26424.0,19238.0,13324.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-nickel,,,2.0,459.0,980.0,326.0,584.0,,,
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-silico-magnesium,,,,,,,201.0,371.0,1625.0,2633.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,3609.0,7934.0,11459.0,12688.0,7657.0,15201.0,12493.0,11175.0,17715.0,33190.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-silicon,2439.0,6641.0,2493.0,7183.0,4849.0,16365.0,12166.0,9238.0,37804.0,30411.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-titanium & Fe-Si-Ti,330.0,102.0,60.0,47.0,284.0,168.0,69.0,389.0,450.0,456.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",834846.0,850993.0,487060.0,1230798.0,1199758.0,1009540.0,1167459.0,955607.0,804377.0,491486.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,431.0,833.0,1138.0,701.0,1165.0,661.0,270.0,451.0,8626.0,2002.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Pig iron,13167.0,5519.0,13244.0,62075.0,178319.0,90389.0,87912.0,91244.0,130812.0,124891.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Scrap,869401.0,1045097.0,1202135.0,1581155.0,1588046.0,1976236.0,1756507.0,1673084.0,1408715.0,1561184.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Silicon metal,,,,,,,306.0,136.0,9251.0,6668.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Sponge & powder,2200.0,2120.0,1511.0,1458.0,1334.0,1784.0,1684.0,1760.0,2262.0,2673.0
Bosnia & Herzegovina,exports,iron_steel_and_ferro-alloys,Ferro-silicon,,,,,,,1200.0,2000.0,10800.0,15200.0
Bosnia & Herzegovina,exports,iron_steel_and_ferro-alloys,Scrap,,,,,,700.0,4900.0,25100.0,60900.0,6700.0
Botswana,exports,iron_steel_and_ferro-alloys,Scrap,,,,,,,,7098.0,7383.0,
Brazil,exports,iron_steel_and_ferro-alloys,Fe-silico-spiegeleisen & Si-Mn,91975.0,128393.0,155836.0,162266.0,81977.0,38953.0,73729.0,76608.0,36600.0,
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-chrome,16477.0,27100.0,23936.0,11803.0,7133.0,24343.0,11102.0,16374.0,3790.0,228.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-manganese,65292.0,61190.0,47337.0,64778.0,79611.0,30192.0,105184.0,70068.0,33026.0,23279.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-molybdenum,,,,,,,,,,1.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-nickel,15960.0,21678.0,15363.0,17226.0,12969.0,12696.0,15205.0,18483.0,8516.0,4431.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-niobium,13539.0,13557.0,16467.0,13643.0,17606.0,19514.0,17602.0,23823.0,27542.0,26588.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,,,,,,,,,,58680.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-silicon,199899.0,157711.0,191863.0,228539.0,183907.0,181093.0,185793.0,159796.0,134664.0,160061.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-titanium & Fe-Si-Ti,,,,,,,,,,34.0
Brazil,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",3522523.0,4438689.0,4640251.0,5309251.0,4827147.0,5130334.0,5684461.0,5524644.0,5426212.0,6378978.0
Brazil,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,27283.0,19055.0,23084.0,28676.0,27640.0,32315.0,33168.0,40429.0,37142.0,29415.0
Brazil,exports,iron_steel_and_ferro-alloys,Pig iron,3490235.0,2497476.0,2454236.0,1858952.0,2631114.0,2670405.0,2538099.0,2563147.0,3214615.0,3030491.0
Brazil,exports,iron_steel_and_ferro-alloys,Scrap,,,,,,,,,,19364.0
Brazil,exports,iron_steel_and_ferro-alloys,Silicon metal,116773.0,84750.0,73071.0,84709.0,85158.0,115287.0,121011.0,127014.0,102737.0,123218.0
Brazil,exports,iron_steel_and_ferro-alloys,Sponge & powder,,,,,,,,,,1540.0
Bulgaria,exports,iron_steel_and_ferro-alloys,Ferro-alloys,13000.0,6000.0,2300.0,3100.0,3300.0,3215.0,3205.0,2902.0,8052.0,3657.0
Bulgaria,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",75000.0,63000.0,183200.0,334600.0,283000.0,250405.0,213000.0,246578.0,37271.0,106492.0
Bulgaria,exports,iron_steel_and_ferro-alloys,Pig iron,7000.0,4000.0,5700.0,9800.0,1000.0,4156.0,,,,
Bulgaria,exports,iron_steel_and_ferro-alloys,Scrap,18900.0,27300.0,118800.0,164900.0,19500.0,12271.0,43888.0,156725.0,58488.0,101919.0
