Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,exports,kaolin,,,,,,,10000.0,10060.0,10000.0,,
Argentina,exports,kaolin,,,,,,2879.0,2614.0,4513.0,8242.0,9620.0,8158.0
Australia,exports,kaolin,,126263.0,149647.0,132262.0,157000.0,146356.0,131928.0,154326.0,25141.0,24796.0,24150.0
Austria,exports,kaolin,,39967.0,34931.0,28270.0,15716.0,9353.0,10800.0,4900.0,5037.0,2965.0,2743.0
Belgium-Luxembourg,exports,kaolin,,121240.0,123909.0,139226.0,165759.0,100191.0,197923.0,250271.0,308573.0,324359.0,248829.0
Brazil,exports,kaolin,,292446.0,343006.0,335476.0,601337.0,524877.0,579810.0,602150.0,764743.0,964268.0,1156593.0
Bulgaria,exports,kaolin,,23800.0,20400.0,19000.0,29500.0,40000.0,76132.0,97024.0,100155.0,95322.0,77891.0
China,exports,kaolin,,266000.0,683400.0,376978.0,419552.0,485721.0,439439.0,882146.0,820520.0,882169.0,892785.0
Colombia,exports,kaolin,,,,,,,3374.0,3432.0,4994.0,5530.0,6255.0
Croatia,exports,kaolin,,,,,,,,,,3605.0,3143.0
Czech Republic,exports,kaolin,,,,0.0,426488.0,345423.0,383498.0,361858.0,397720.0,418948.0,428342.0
Czechoslovakia,exports,kaolin,,358000.0,366000.0,440000.0,,,,,,,
Denmark,exports,kaolin,,548.0,504.0,491.0,337.0,421.0,598.0,517.0,912.0,1436.0,1003.0
Egypt,exports,kaolin,,,,,,500.0,600.0,3250.0,64456.0,46205.0,2806.0
Estonia,exports,kaolin,,,,,,,,,,,
Finland,exports,kaolin,,,,,74.0,780.0,1892.0,1829.0,2333.0,3572.0,5466.0
France,exports,kaolin,,267938.0,247032.0,256761.0,244852.0,273975.0,281358.0,260426.0,260812.0,330616.0,307307.0
German Democratic Rep,exports,kaolin,,,,,,,,,,,
German Federal Republic,exports,kaolin,,220059.0,,,,,,,,,
Germany,exports,kaolin,,,262325.0,279886.0,267435.0,496760.0,354103.0,196066.0,178366.0,194610.0,387173.0
Greece,exports,kaolin,,39998.0,34620.0,24179.0,9402.0,21095.0,12941.0,26464.0,15733.0,8952.0,3811.0
Hong Kong,exports,kaolin,,213896.0,323580.0,400154.0,533300.0,479702.0,457193.0,261578.0,396008.0,284962.0,205996.0
Hungary,exports,kaolin,,7091.0,,2572.0,4398.0,4059.0,5529.0,4403.0,1866.0,1814.0,1539.0
India,exports,kaolin,,7790.0,25727.0,18175.0,9142.0,8658.0,6242.0,10469.0,10138.0,7810.0,9335.0
Indonesia,exports,kaolin,,129661.0,125125.0,137851.0,126146.0,157866.0,192983.0,148380.0,126462.0,90976.0,128923.0
Iran,exports,kaolin,,,,,,,,,,31126.0,12920.0
Israel,exports,kaolin,,,10818.0,14572.0,5307.0,5200.0,,7500.0,16100.0,,15500.0
Italy,exports,kaolin,,49785.0,35324.0,31178.0,61064.0,37567.0,34831.0,30811.0,42537.0,56878.0,60852.0
Japan,exports,kaolin,,7377.0,11353.0,11245.0,10252.0,12769.0,10860.0,8108.0,9139.0,12475.0,13628.0
Jordan,exports,kaolin,,,,1102.0,522.0,1078.0,793.0,744.0,1155.0,768.0,11526.0
Kazakhstan,exports,kaolin,,,,,,21000.0,15000.0,12000.0,10000.0,8020.0,2900.0
Korea (Rep. of),exports,kaolin,,37776.0,37660.0,34419.0,65476.0,123510.0,108337.0,53579.0,23623.0,24504.0,22926.0
"Korea, Dem. P.R. of",exports,kaolin,,,,,2900.0,1900.0,3800.0,2600.0,6000.0,7500.0,4800.0
Malaysia,exports,kaolin,,108316.0,131305.0,111952.0,161296.0,110784.0,98874.0,68200.0,68900.0,59371.0,91490.0
Netherlands,exports,kaolin,,153738.0,166336.0,170451.0,158258.0,227888.0,157631.0,102372.0,85534.0,138731.0,185784.0
New Zealand,exports,kaolin,,20144.0,24107.0,18692.0,18206.0,19306.0,17787.0,22408.0,22761.0,14925.0,11213.0
Poland,exports,kaolin,,,,1866.0,1834.0,10300.0,11000.0,10500.0,4800.0,,3342.0
Portugal,exports,kaolin,,171.0,49.0,30.0,,100.0,100.0,1008.0,4951.0,2741.0,9701.0
Russia,exports,kaolin,,,,5700.0,3700.0,,62.0,3003.0,574.0,302.0,1233.0
Singapore,exports,kaolin,,,,,,8800.0,1400.0,2300.0,927.0,539.0,1471.0
Slovakia,exports,kaolin,,,,,100.0,100.0,100.0,1694.0,,,
Slovenia,exports,kaolin,,,,7200.0,4400.0,1900.0,1000.0,1160.0,,,
South Africa,exports,kaolin,,,,,,,,,1503.0,4962.0,5199.0
Soviet Union,exports,kaolin,,17600.0,1200.0,,,,,,,,
Spain,exports,kaolin,,162726.0,144875.0,147504.0,94163.0,117571.0,138647.0,137994.0,144343.0,104342.0,103831.0
Sweden,exports,kaolin,,1935.0,974.0,1412.0,904.0,4088.0,10600.0,13753.0,25476.0,35697.0,13507.0
Switzerland,exports,kaolin,,237.0,245.0,257.0,10895.0,7089.0,,,,,
Taiwan,exports,kaolin,,3516.0,8779.0,6706.0,7263.0,6997.0,7486.0,12044.0,21344.0,19262.0,17129.0
Thailand,exports,kaolin,,8592.0,13117.0,16952.0,38098.0,26793.0,27281.0,20624.0,12184.0,10454.0,15237.0
Turkey,exports,kaolin,,48814.0,50761.0,63994.0,84666.0,189425.0,256907.0,190761.0,158642.0,185431.0,262211.0
USA,exports,kaolin,,2827196.0,2887608.0,3003994.0,2990206.0,3189995.0,3246515.0,3246749.0,3395222.0,3585990.0,3349793.0
Ukraine,exports,kaolin,,,,0.0,,263000.0,206402.0,236053.0,291161.0,230888.0,246565.0
United Kingdom,exports,kaolin,,2596334.0,2518303.0,2168572.0,2125129.0,2173888.0,2222316.0,1957761.0,2052914.0,2093460.0,2018969.0
