Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,exports,lead,Ores & concentrates                               ,5533.0,7479.0,6151.0,5085.0,77183.0,4695.0,4555.0,2682.0,1000.0,3720.0
Algeria,exports,lead,Scrap                                             ,,,,,,1102.0,,,,
Argentina,exports,lead,Ores & concentrates                               ,1814.0,615.0,,,,,,0.0,10056.0,6233.0
Australia,exports,lead,Ores & concentrates                               ,80255.0,54300.0,45680.0,55175.0,45599.0,61000.0,40278.0,57668.0,137160.0,63530.0
Australia,exports,lead,Scrap                                             ,441.0,865.0,288.0,596.0,786.0,1162.0,,,,
Australia,exports,lead,Unwrought                                         ,162920.0,123369.0,137469.0,139958.0,133264.0,116254.0,,,,
Australia,exports,lead,Unwrought alloys                                  ,6210.0,3189.0,3831.0,6662.0,5587.0,4950.0,6644.0,7730.0,9463.0,
Austria,exports,lead,Scrap                                             ,48.0,1010.0,0.0,125.0,499.0,638.0,,,,
Austria,exports,lead,Unwrought                                         ,1863.0,2823.0,681.0,167.0,908.0,404.0,204.0,766.0,673.0,413.0
Belgium-Luxembourg,exports,lead,Ores & concentrates                               ,34383.0,1758.0,23.0,526.0,4866.0,2.0,7.0,16.0,25.0,1197.0
Belgium-Luxembourg,exports,lead,Scrap                                             ,7763.0,5513.0,8919.0,10262.0,11253.0,6642.0,,,,
Belgium-Luxembourg,exports,lead,Unwrought                                         ,51200.0,42896.0,38191.0,58792.0,47996.0,55387.0,67383.0,69312.0,76206.0,63437.0
Belgium-Luxembourg,exports,lead,Unwrought alloys                                  ,12522.0,6359.0,8405.0,9224.0,4872.0,5102.0,5827.0,7617.0,9782.0,10743.0
Bolivia,exports,lead,Ores & concentrates                               ,25756.0,23337.0,19047.0,20152.0,19353.0,17665.0,18580.0,19878.0,16482.0,15633.0
Brazil,exports,lead,Ores & concentrates                               ,4500.0,5750.0,,,,,,,,
Bulgaria,exports,lead,Unwrought                                         ,,,,,,,,12700.0,11800.0,10200.0
Burma,exports,lead,Unwrought                                         ,2688.0,7423.0,8582.0,7500.0,4713.0,6796.0,1916.0,2625.0,5852.0,3353.0
Canada,exports,lead,Ores & concentrates                               ,186219.0,194459.0,161990.0,201765.0,194089.0,211909.0,140942.0,137820.0,142693.0,151495.0
Canada,exports,lead,Scrap                                             ,5209.0,5305.0,11213.0,21789.0,9868.0,12144.0,,,,
Canada,exports,lead,Unwrought                                         ,138637.0,124179.0,128912.0,113672.0,76027.0,110900.0,114571.0,130823.0,131950.0,117992.0
Chile,exports,lead,Ores & concentrates                               ,483.0,,,347.0,,,,,,
Colombia,exports,lead,Ores & concentrates                               ,1119.0,358.0,411.0,452.0,,,234.0,346.0,201.0,312.0
Congo,exports,lead,Ores & concentrates                               ,,,,,,11501.0,11404.0,9656.0,1546.0,4018.0
Czechoslovakia,exports,lead,Ores & concentrates                               ,,,,,,,7700.0,7600.0,7100.0,5200.0
Denmark,exports,lead,Ores & concentrates                               ,,,,,485.0,245.0,633.0,600.0,580.0,515.0
Denmark,exports,lead,Scrap                                             ,,153.0,650.0,2169.0,621.0,402.0,,,,
Denmark,exports,lead,Unwrought                                         ,1217.0,595.0,733.0,1722.0,2857.0,1362.0,4028.0,9559.0,9834.0,5887.0
Denmark,exports,lead,Unwrought alloys                                  ,2564.0,3272.0,3057.0,3500.0,5129.0,3933.0,6892.0,8796.0,8127.0,9302.0
Finland,exports,lead,Ores & concentrates                               ,,,5911.0,11627.0,3803.0,,4089.0,,2022.0,2035.0
Finland,exports,lead,Unwrought                                         ,161.0,284.0,1.0,88.0,195.0,66.0,9.0,1303.0,808.0,992.0
France,exports,lead,Ores & concentrates                               ,2166.0,1156.0,95.0,105.0,104.0,7513.0,64.0,29.0,40.0,34.0
France,exports,lead,Scrap                                             ,22335.0,9417.0,14140.0,18507.0,14035.0,5139.0,,,,
France,exports,lead,Unwrought                                         ,14758.0,21082.0,10469.0,10994.0,6878.0,7807.0,16829.0,16932.0,34959.0,40647.0
France,exports,lead,Unwrought alloys                                  ,12951.0,9077.0,8753.0,13836.0,12891.0,13357.0,16016.0,20330.0,18466.0,17880.0
German Federal Republic,exports,lead,Ores & concentrates                               ,1884.0,2806.0,1548.0,645.0,3689.0,3434.0,7094.0,6639.0,10.0,2577.0
German Federal Republic,exports,lead,Scrap                                             ,15524.0,15409.0,14920.0,15543.0,16701.0,17769.0,,,,
German Federal Republic,exports,lead,Unwrought                                         ,52628.0,72134.0,66645.0,65871.0,74734.0,63372.0,52817.0,81642.0,82124.0,74381.0
German Federal Republic,exports,lead,Unwrought alloys                                  ,,,,,13015.0,17530.0,19381.0,23761.0,24686.0,33050.0
Greece,exports,lead,Ores & concentrates                               ,13750.0,11790.0,12050.0,16000.0,28480.0,12987.0,37708.0,20832.0,47795.0,55610.0
Greenland,exports,lead,Ores & concentrates                               ,,,,,37687.0,37159.0,35581.0,41660.0,43205.0,39057.0
Guatemala,exports,lead,Ores & concentrates                               ,433.0,0.0,,,,,,,,
Honduras,exports,lead,Ores & concentrates                               ,27970.0,,,,,36604.0,28651.0,18786.0,14319.0,19804.0
Hong Kong,exports,lead,Scrap                                             ,1613.0,1609.0,5204.0,4102.0,1927.0,1258.0,,,,
Hungary,exports,lead,Scrap                                             ,,,,,,,,,,1230.0
Iran,exports,lead,Ores & concentrates                               ,89468.0,99139.0,66765.0,88764.0,45813.0,82381.0,4444.0,,15952.0,25898.0
"Ireland, Republic of",exports,lead,Ores & concentrates                               ,145767.0,116858.0,123628.0,126175.0,74195.0,58641.0,56836.0,71886.0,69175.0,115276.0
"Ireland, Republic of",exports,lead,Scrap                                             ,262.0,5000.0,2687.0,,,,,,,
"Ireland, Republic of",exports,lead,Unwrought                                         ,,,0.0,1375.0,3825.0,2029.0,2194.0,3079.0,3231.0,3196.0
Italy,exports,lead,Ores & concentrates                               ,13369.0,14813.0,23362.0,13130.0,12584.0,20017.0,26554.0,26980.0,19207.0,19359.0
Italy,exports,lead,Unwrought                                         ,344.0,730.0,446.0,1846.0,1602.0,3529.0,4145.0,5123.0,8313.0,20504.0
