Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,exports,lithium,Lithium minerals,,,,,40.0,45.0,50.0,,,
Belgium-Luxembourg,exports,lithium,Lithium minerals,,,,,6030.0,3685.0,1390.0,61.0,,
Belgium-Luxembourg,exports,lithium,Oxides,,,,,,,,,20.0,8.0
Brazil,exports,lithium,Lithium minerals,,,,,200.0,4146.0,1187.0,758.0,0.0,1075.0
France,exports,lithium,Lithium minerals,,,,,10.0,0.0,421.0,24.0,,
France,exports,lithium,Oxides,,,,,,81.0,63.0,3.0,70.0,75.0
German Federal Republic,exports,lithium,Carbonate,,,,,,,,,,681.0
German Federal Republic,exports,lithium,Lithium minerals,,,,,267.0,186.0,505.0,1307.0,,
German Federal Republic,exports,lithium,Metal,,,,,18.0,517.0,8.0,13.0,16.0,12.0
German Federal Republic,exports,lithium,Oxides,,,,,,15.0,544.0,625.0,557.0,717.0
Mozambique,exports,lithium,Lithium minerals,,,,,8000.0,1000.0,0.0,1000.0,,
Netherlands,exports,lithium,Carbonate,,,,,,,,,,458.0
Netherlands,exports,lithium,Oxides,,,,,,50.0,53.0,133.0,221.0,302.0
South Africa,exports,lithium,Lithium minerals,,,,,6000.0,7700.0,6000.0,5000.0,,3000.0
USA,exports,lithium,Carbonate,,,,,,,,,,0.0
USA,exports,lithium,"Lithium minerals, compounds & metal",,,,,900.0,800.0,1500.0,1600.0,1800.0,
USA,exports,lithium,Oxides,,,,,,,,,,2630.0
United Kingdom,exports,lithium,Carbonate,,,,,,,,,,7.0
United Kingdom,exports,lithium,Metal,,,,,1.0,1.0,0.0,1.0,1.0,0.0
United Kingdom,exports,lithium,Oxides,,,,,,,,,,3.0
Zimbabwe,exports,lithium,Lithium minerals,,,,,,,,,16427.0,13432.0
