Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,magnesite_and_magnesia,Magnesia                                          ,39589.0,79519.0,71453.0,70253.0,64204.0,58300.0,58371.0,64816.0,70444.0,
Austria,exports,magnesite_and_magnesia,Magnesite                                         ,989.0,780.0,774.0,559.0,488.0,434.0,658.0,638.0,526.0,
Belgium,exports,magnesite_and_magnesia,Magnesia                                          ,96513.0,58237.0,49561.0,17793.0,10618.0,52668.0,13589.0,13755.0,27443.0,
Belgium,exports,magnesite_and_magnesia,Magnesite                                         ,1235.0,914.0,150.0,2469.0,1318.0,1231.0,811.0,1093.0,1034.0,
Bulgaria,exports,magnesite_and_magnesia,Magnesite                                         ,0.0,537.0,,,,,,,,
Croatia,exports,magnesite_and_magnesia,Magnesite                                         ,,,,,,,,,,
Croatia,exports,magnesite_and_magnesia,,,,,,,,,,,
Czech Republic,exports,magnesite_and_magnesia,,3809.0,7096.0,5997.0,4690.0,3675.0,3203.0,3817.0,7679.0,10059.0,
Denmark,exports,magnesite_and_magnesia,Magnesia                                          ,522.0,497.0,,,,,,,,
Denmark,exports,magnesite_and_magnesia,,,,180.0,497.0,376.0,473.0,999.0,1386.0,1673.0,
Estonia,exports,magnesite_and_magnesia,Magnesite                                         ,,,,,,,,,,
Finland,exports,magnesite_and_magnesia,Magnesite                                         ,11.0,0.0,,,,,,,,
Finland,exports,magnesite_and_magnesia,,,,19.0,24.0,12295.0,22411.0,51010.0,66856.0,33896.0,
France,exports,magnesite_and_magnesia,Magnesia                                          ,52553.0,35543.0,38098.0,53989.0,61368.0,76190.0,68240.0,60116.0,51928.0,
France,exports,magnesite_and_magnesia,Magnesite                                         ,274.0,207.0,250.0,195.0,458.0,516.0,988.0,867.0,1338.0,
Germany,exports,magnesite_and_magnesia,Magnesia                                          ,94198.0,67605.0,73154.0,84986.0,96136.0,76075.0,81862.0,103597.0,100162.0,
Germany,exports,magnesite_and_magnesia,Magnesite                                         ,229.0,1303.0,381.0,474.0,1379.0,1358.0,1358.0,878.0,1064.0,
Greece,exports,magnesite_and_magnesia,Magnesia                                          ,108020.0,110276.0,87550.0,98204.0,87520.0,96319.0,105646.0,125895.0,116766.0,
Greece,exports,magnesite_and_magnesia,Magnesite                                         ,,8766.0,4012.0,1268.0,10055.0,9418.0,4166.0,1644.0,1328.0,
Hungary,exports,magnesite_and_magnesia,Magnesia                                          ,,317.0,,,,,,,,
Hungary,exports,magnesite_and_magnesia,,,,309.0,678.0,208.0,852.0,778.0,207.0,300.0,
"Ireland, Republic of",exports,magnesite_and_magnesia,Magnesia                                          ,33334.0,11761.0,3465.0,41749.0,61343.0,42375.0,41253.0,19394.0,44434.0,
"Ireland, Republic of",exports,magnesite_and_magnesia,Magnesite                                         ,3383.0,18665.0,13218.0,4114.0,16568.0,7693.0,8908.0,20714.0,19382.0,
Italy,exports,magnesite_and_magnesia,Magnesia                                          ,7393.0,6194.0,7283.0,7237.0,6997.0,6692.0,6442.0,7085.0,4212.0,
Italy,exports,magnesite_and_magnesia,Magnesite                                         ,2535.0,3236.0,2902.0,2305.0,3372.0,2655.0,1817.0,1366.0,1138.0,
Lithuania,exports,magnesite_and_magnesia,Magnesia                                          ,717.0,352.0,,,,,,,,
Lithuania,exports,magnesite_and_magnesia,Magnesite                                         ,,,,,,,,,,
