Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Angola,exports,manganese,Ores & Concentrates                               ,20591.0,11262.0,38981.0,8162.0,60000.0,,32000.0,,,
Australia,exports,manganese,Ores & Concentrates                               ,648936.0,703828.0,726000.0,1116000.0,1203000.0,1132470.0,1711008.0,810794.0,936152.0,1156785.0
Belgium-Luxembourg,exports,manganese,Metal                                             ,,,,,,,,1.0,76.0,26.0
Belgium-Luxembourg,exports,manganese,Ores & Concentrates                               ,13126.0,6225.0,3040.0,2846.0,7634.0,8886.0,9507.0,9888.0,11324.0,6107.0
Brazil,exports,manganese,Ores & Concentrates                               ,1588079.0,1797039.0,1174682.0,788435.0,1493170.0,1557703.0,1072697.0,560110.0,894459.0,1187311.0
Bulgaria,exports,manganese,Ores & Concentrates                               ,,,,,,,,873000.0,8200.0,8100.0
China,exports,manganese,Metal                                             ,,,,,,,,,150.0,100.0
China,exports,manganese,Ores & Concentrates                               ,,,44000.0,47800.0,61300.0,46300.0,39700.0,52100.0,46200.0,46700.0
Fiji,exports,manganese,Ores & Concentrates                               ,38827.0,6177.0,0.0,0.0,,,,,,
France,exports,manganese,Metal                                             ,,,,,,3832.0,3308.0,1945.0,2138.0,2325.0
France,exports,manganese,Ores & Concentrates                               ,1310.0,320.0,3827.0,9923.0,2212.0,4509.0,9225.0,8323.0,5606.0,7092.0
Gabon,exports,manganese,Ores & Concentrates                               ,724844.0,1647299.0,2161500.0,1957590.0,2077719.0,1967990.0,1754500.0,1859000.0,1694416.0,2304700.0
German Federal Republic,exports,manganese,Metal                                             ,,,,,,161.0,205.0,101.0,31.0,59.0
German Federal Republic,exports,manganese,Ores & Concentrates                               ,402.0,4625.0,20524.0,4023.0,1295.0,3474.0,4919.0,6983.0,2089.0,1946.0
Ghana,exports,manganese,Ores & Concentrates                               ,403345.0,418842.0,475250.0,290130.0,280501.0,372902.0,360235.0,321560.0,286691.0,222733.0
Greece,exports,manganese,Ores & Concentrates                               ,4004.0,4749.0,8009.0,8363.0,7623.0,2966.0,1515.0,2109.0,1.0,200.0
Hungary,exports,manganese,Ores & Concentrates                               ,,,,,,,13739.0,37961.0,49649.0,56795.0
