Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,mercury,,3300.0,1600.0,,,,,,,,
Belgium,exports,mercury,,11500.0,600.0,8700.0,7900.0,110.0,2732.0,96.0,2308.0,131.0,
Czech Republic,exports,mercury,,,,,,180.0,117.0,114.0,139.0,8654.0,
Estonia,exports,mercury,,,,,,,,,,,
Finland,exports,mercury,,9321.0,4830.0,,,,,,,,
France,exports,mercury,,1595.0,49992.0,2233.0,1092.0,1216.0,3653.0,1295.0,42.0,53.0,
Germany,exports,mercury,,110405.0,197989.0,102650.0,133626.0,57942.0,11929.0,1845.0,864.0,5452.0,
Hungary,exports,mercury,,6400.0,10700.0,6500.0,22800.0,4100.0,7993.0,1182.0,1.0,0.0,
Italy,exports,mercury,,202273.0,68623.0,12706.0,8743.0,1322.0,8335.0,386.0,10.0,170.0,
Netherlands,exports,mercury,,195272.0,72020.0,67263.0,64995.0,1806.0,20398.0,23000.0,4799.0,2168.0,
Norway,exports,mercury,,,,,,,,,110.0,4765.0,
Poland,exports,mercury,,106100.0,7300.0,,,,,,,,
Portugal,exports,mercury,,200.0,6700.0,25600.0,0.0,,,,,,
Romania,exports,mercury,,,,6400.0,0.0,,,,,,
Slovakia,exports,mercury,,,,,,0.0,369.0,0.0,1.0,25000.0,
Spain,exports,mercury,,964922.0,824421.0,950824.0,1008952.0,1123184.0,59.0,11.0,133.0,6456.0,
Switzerland,exports,mercury,,8529.0,53581.0,164517.0,132596.0,87222.0,101810.0,29077.0,26090.0,9379.0,
Turkey,exports,mercury,,2156.0,10890.0,4392.0,1245.0,6690.0,487.0,313.0,2778.0,5154.0,
United Kingdom,exports,mercury,,9321.0,5368.0,2991.0,3405.0,10421.0,95.0,36755.0,55.0,94.0,16.0
