Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,mica,,4303.0,4245.0,4024.0,3554.0,3411.0,3552.0,3352.0,3869.0,4084.0,
Belgium,exports,mica,Ground                                            ,,,,,1318.0,1045.0,1423.0,2031.0,2543.0,
Belgium,exports,mica,Unmanufactured                                    ,,,,,1792.0,1267.0,621.0,837.0,503.0,
Belgium,exports,mica,,1590.0,2363.0,3587.0,2561.0,,,,,,
Czech Republic,exports,mica,,96.0,163.0,212.0,82.0,56.0,128.0,157.0,204.0,62.0,
Finland,exports,mica,,11377.0,8636.0,9242.0,11073.0,7909.0,7226.0,7698.0,8337.0,8039.0,
France,exports,mica,,12455.0,12821.0,11771.0,13352.0,13200.0,13892.0,13781.0,14184.0,13720.0,
Germany,exports,mica,,4197.0,4479.0,4474.0,6157.0,4774.0,4270.0,4790.0,5432.0,5811.0,
Italy,exports,mica,,697.0,1014.0,1138.0,1336.0,1440.0,414.0,179.0,520.0,461.0,
Netherlands,exports,mica,,1687.0,2396.0,1986.0,1897.0,2246.0,3360.0,1900.0,3793.0,3191.0,
Norway,exports,mica,Ground                                            ,,,,,2257.0,2147.0,2311.0,2190.0,2148.0,
Norway,exports,mica,Unmanufactured                                    ,,,,,32.0,30.0,6000.0,6000.0,12200.0,
Norway,exports,mica,,2078.0,2144.0,2093.0,2447.0,,,,,,
Spain,exports,mica,Ground                                            ,2269.0,2193.0,1993.0,613.0,923.0,1589.0,2742.0,2733.0,3109.0,
Spain,exports,mica,Unmanufactured                                    ,1339.0,1846.0,1826.0,1904.0,2075.0,1962.0,1300.0,2487.0,2214.0,
Turkey,exports,mica,,601.0,1039.0,1054.0,624.0,572.0,523.0,585.0,351.0,773.0,
United Kingdom,exports,mica,Ground                                            ,4125.0,4234.0,,,4706.0,4035.0,4259.0,4590.0,4863.0,4650.0
United Kingdom,exports,mica,Unmanufactured                                    ,12.0,4.0,,,4.0,0.0,0.0,10.0,8.0,17.0
United Kingdom,exports,mica,Waste                                             ,,,,,,0.0,0.0,2.0,0.0,7.0
United Kingdom,exports,mica,,4137.0,4238.0,3639.0,4679.0,,,,,,
