Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,molybdenum,Metal                                             ,2300.0,2800.0,2500.0,2500.0,3200.0,3400.0,3300.0,3100.0,3400.0,
Belgium,exports,molybdenum,Metal                                             ,371.0,128.0,204.0,650.0,880.0,943.0,1212.0,740.0,415.0,
Belgium,exports,molybdenum,Ores & concentrates                               ,24396.0,25337.0,19444.0,18384.0,19546.0,20341.0,10552.0,14964.0,12700.0,
Belgium,exports,molybdenum,Oxides                                            ,83.0,366.0,688.0,59.0,116.0,38.0,1479.0,1368.0,2387.0,
Bulgaria,exports,molybdenum,Metal                                             ,122.0,355.0,133.0,139.0,138.0,143.0,131.0,253.0,127.0,
Bulgaria,exports,molybdenum,Ores & concentrates                               ,,,101.0,304.0,265.0,0.0,47.0,546.0,426.0,
Croatia,exports,molybdenum,Ores & concentrates                               ,,,,,,,,224.0,110.0,
Czech Republic,exports,molybdenum,Metal                                             ,,,14.0,28.0,28.0,26.0,79.0,139.0,24.0,
Czech Republic,exports,molybdenum,Ores & concentrates                               ,,,,,2.0,0.0,51.0,927.0,20.0,
Czech Republic,exports,molybdenum,Oxides                                            ,25.0,25.0,20.0,214.0,221.0,183.0,235.0,343.0,373.0,
Denmark,exports,molybdenum,Metal                                             ,,,,,,,,,,
Estonia,exports,molybdenum,Metal                                             ,,,,,13.0,1.0,0.0,55.0,629.0,
Estonia,exports,molybdenum,Ores & concentrates                               ,40.0,80.0,180.0,848.0,260.0,0.0,5.0,80.0,40.0,
France,exports,molybdenum,Metal                                             ,47.0,36.0,317.0,262.0,1025.0,1470.0,573.0,675.0,1359.0,
France,exports,molybdenum,Ores & concentrates                               ,205.0,352.0,,,157.0,30.0,41.0,79.0,618.0,
Germany,exports,molybdenum,Metal                                             ,763.0,1248.0,1395.0,1475.0,1473.0,1141.0,1417.0,1565.0,1569.0,
Germany,exports,molybdenum,Ores & concentrates                               ,5017.0,3955.0,3738.0,3127.0,2540.0,4060.0,5895.0,7496.0,5560.0,
Germany,exports,molybdenum,Oxides                                            ,,,,,459.0,787.0,649.0,499.0,372.0,
Greece,exports,molybdenum,Metal                                             ,,,,,52.0,48.0,70.0,47.0,26.0,
Italy,exports,molybdenum,Metal                                             ,911.0,443.0,409.0,76.0,728.0,286.0,83.0,64.0,62.0,
Italy,exports,molybdenum,Ores & concentrates                               ,1523.0,2299.0,3153.0,2503.0,6023.0,5717.0,7960.0,2882.0,2261.0,
Italy,exports,molybdenum,Oxides                                            ,443.0,286.0,,,,,,,,
Netherlands,exports,molybdenum,Metal                                             ,249.0,492.0,123.0,141.0,251.0,161.0,600.0,126.0,154.0,
Netherlands,exports,molybdenum,Ores & concentrates                               ,17126.0,19765.0,24034.0,29792.0,30292.0,24298.0,25707.0,24437.0,34058.0,
Netherlands,exports,molybdenum,Oxides                                            ,6429.0,6434.0,6407.0,7319.0,6956.0,7270.0,6800.0,4530.0,6530.0,
Poland,exports,molybdenum,Metal                                             ,,,,,40.0,13.0,133.0,554.0,267.0,
Poland,exports,molybdenum,Ores & concentrates                               ,,,,,24.0,53.0,153.0,926.0,33.0,
Romania,exports,molybdenum,Ores & concentrates                               ,,,652.0,525.0,0.0,0.0,0.0,394.0,0.0,
Slovakia,exports,molybdenum,Metal                                             ,,,,,1.0,1.0,0.0,149.0,0.0,
Slovakia,exports,molybdenum,Ores & concentrates                               ,,,,,,,1.0,895.0,0.0,
Spain,exports,molybdenum,Metal                                             ,243.0,14.0,69.0,79.0,,,,,,
Switzerland,exports,molybdenum,Oxides                                            ,,,,,,,,,,
Turkey,exports,molybdenum,Metal                                             ,42.0,64.0,,,,,,,,
Turkey,exports,molybdenum,Ores & concentrates                               ,160.0,266.0,0.0,1498.0,1522.0,1289.0,1005.0,3399.0,770.0,
Turkey,exports,molybdenum,Oxides                                            ,,,,,,,,,,
United Kingdom,exports,molybdenum,Metal                                             ,572.0,403.0,375.0,472.0,797.0,375.0,688.0,1277.0,1963.0,1765.0
United Kingdom,exports,molybdenum,Ores & concentrates                               ,305.0,3.0,,,,,,,,120.0
United Kingdom,exports,molybdenum,Oxides                                            ,,,,,,120.0,0.0,0.0,0.0,2.0
United Kingdom,exports,molybdenum,Scrap,490.0,299.0,,,514.0,313.0,599.0,1186.0,1744.0,1399.0
