Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,natural_gas,,2645056.0,2945349.0,1995157.0,992867.0,942452.0,,,,,
Belgium,exports,natural_gas,,12091105.0,24078554.0,14990395.0,21292092.0,11318364.0,,,,,
Bulgaria,exports,natural_gas,,13.0,5.0,539.0,864.0,1416.0,,,,,
Croatia,exports,natural_gas,,347567.0,180323.0,174291.0,260560.0,247564.0,,,,,
Czech Republic,exports,natural_gas,,1318872.0,1115748.0,1034568.0,965421.0,1578834.0,,,,,
Denmark,exports,natural_gas,,1044000.0,836000.0,729000.0,1527000.0,905000.0,,,,,
Finland,exports,natural_gas,,9052.0,4729.0,34.0,34.0,0.0,,,,,
France,exports,natural_gas,,2908272.0,8017462.0,5800000.0,4729143.0,4697219.0,,,,,
Germany,exports,natural_gas,,11720448.0,19128385.0,24489252.0,28752629.0,32479383.0,,,,,
Greece,exports,natural_gas,,,2871.0,6027.0,2807.0,0.0,,,,,
Hungary,exports,natural_gas,,0.0,0.0,417151.0,829105.0,756154.0,,,,,
Italy,exports,natural_gas,,1427161.0,159619.0,143244.0,190849.0,155899.0,,,,,
Norway,exports,natural_gas,,75626277.0,74356856.0,84557156.0,81107905.0,82413956.0,,,,,
Portugal,exports,natural_gas,,389309.0,875.0,58753.0,243548.0,49632.0,,,,,
Slovakia,exports,natural_gas,,1153269.0,1439467.0,1366942.0,1052157.0,1518006.0,,,,,
Slovenia,exports,natural_gas,,0.0,0.0,0.0,71993.0,258652.0,,,,,
Spain,exports,natural_gas,,200027.0,555012.0,1325072.0,2483109.0,3779768.0,,,,,
Sweden,exports,natural_gas,,21.0,6159.0,475.0,13416.0,25221.0,,,,,
Switzerland,exports,natural_gas,,,,,,,,,,,
Turkey,exports,natural_gas,,590182.0,653000.0,589000.0,498000.0,450000.0,,,,,
United Kingdom,exports,natural_gas,,14461473.0,15239637.0,11325170.0,8562558.0,9968929.0,13444013.0,9843177.0,10699176.0,7127236.0,7772528.0
