Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,exports,nickel,Ores & concentrates,,,,30817.0,39601.0,803.0,0.0,10405.0,8915.0,
Albania,exports,nickel,Scrap,,,,,,,,,,0.0
Australia,exports,nickel,"Mattes, sinters etc",64200.0,61200.0,61800.0,,,,,,,
Australia,exports,nickel,Ores & concentrates,229172.0,240584.0,259069.0,,,,,,,
Australia,exports,nickel,Scrap,700.0,1400.0,1600.0,,,,,,,
Australia,exports,nickel,Unwrought,86441.0,89064.0,89065.0,,,,,,,
Australia,exports,nickel,Unwrought alloys,2002.0,2280.0,4000.0,,,,,,,
Austria,exports,nickel,"Mattes, sinters etc",99.0,153.0,288.0,,,,,,,
Austria,exports,nickel,Scrap,307.0,495.0,377.0,440.0,1520.0,1927.0,2337.0,2208.0,1910.0,1775.0
Austria,exports,nickel,Unwrought,908.0,532.0,570.0,206.0,297.0,226.0,197.0,333.0,225.0,265.0
Belgium,exports,nickel,"Mattes, sinters etc",,,,,,,559.0,68.0,115.0,921.0
Belgium,exports,nickel,Ores & concentrates,,,,,,,877.0,1423.0,2750.0,1212.0
Belgium,exports,nickel,Oxides,,,,,,,685.0,476.0,1196.0,834.0
Belgium,exports,nickel,Scrap,,,,,,,3656.0,4954.0,2872.0,6883.0
Belgium,exports,nickel,Unwrought,,,,,,,14324.0,15642.0,13298.0,11883.0
Belgium,exports,nickel,Unwrought alloys,,,,,,,1994.0,2401.0,2152.0,2479.0
Belgium-Luxembourg,exports,nickel,"Mattes, sinters etc",,,697.0,1139.0,768.0,209.0,,,,
Belgium-Luxembourg,exports,nickel,Ores & concentrates,,,82.0,438.0,,853.0,,,,
Belgium-Luxembourg,exports,nickel,Oxides,28.0,380.0,712.0,268.0,772.0,702.0,,,,
Belgium-Luxembourg,exports,nickel,Scrap,1021.0,2595.0,6118.0,1114.0,1694.0,1008.0,,,,
Belgium-Luxembourg,exports,nickel,Unwrought,12143.0,12265.0,12351.0,9848.0,16290.0,13376.0,,,,
Belgium-Luxembourg,exports,nickel,Unwrought alloys,1978.0,2531.0,1752.0,1947.0,2843.0,2510.0,,,,
Botswana,exports,nickel,"Mattes, sinters etc",19041.0,12683.0,,,,,,,,
Brazil,exports,nickel,"Mattes, sinters etc",16330.0,20038.0,13832.0,,,,,,,
Brazil,exports,nickel,Oxides,60.0,42.0,36.0,,,,,,,
Brazil,exports,nickel,Scrap,2.0,17.0,198.0,,,,,,,
Brazil,exports,nickel,Unwrought,11927.0,9614.0,11227.0,,,,,,,
Bulgaria,exports,nickel,Scrap,,,,,,12.0,4.0,20.0,48.0,364.0
Canada,exports,nickel,"Mattes, sinters etc",73208.0,92504.0,100416.0,,,,,,,
Canada,exports,nickel,Oxides,,1197.0,800.0,,,,,,,
Canada,exports,nickel,Scrap,5682.0,2927.0,2114.0,,,,,,,
Canada,exports,nickel,Unwrought,99395.0,105232.0,95704.0,,,,,,,
Canada,exports,nickel,Unwrought alloys,,6747.0,6277.0,,,,,,,
