Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,exports,petroleum_crude,,46528964.0,34558354.0,24457899.0,25172102.0,23420053.0,11027997.0,25101495.0,25555165.0,27265805.0,30001664.0
Angola,exports,petroleum_crude,,6204000.0,5203274.0,5356071.0,7482947.0,8753070.0,9934516.0,11412000.0,16967000.0,20592000.0,20516000.0
Argentina,exports,petroleum_crude,,,,,,,406661.0,131730.0,83200.0,200984.0,315928.0
Australia,exports,petroleum_crude,,84425.0,55663.0,88831.0,137991.0,3095421.0,6229600.0,4015600.0,5670400.0,5596000.0,4067600.0
Bahamas,exports,petroleum_crude,,,21637210.0,12628042.0,9105083.0,7954446.0,8859264.0,9052524.0,8607368.0,6836821.0,9110554.0
Belgium-Luxembourg,exports,petroleum_crude,,2.0,58553.0,181564.0,80139.0,78082.0,11468.0,0.0,,,
Benin,exports,petroleum_crude,,,,,,,325000.0,356000.0,264000.0,275000.0,285000.0
Brazil,exports,petroleum_crude,,58812.0,606665.0,1087486.0,,,,,,,
Brunei,exports,petroleum_crude,,11218160.0,8028719.0,8287805.0,8504468.0,8249257.0,7889806.0,6965954.0,6815332.0,6153000.0,6261000.0
Cameroon,exports,petroleum_crude,,1612180.0,1434000.0,1871770.0,1996129.0,1213061.0,1120632.0,194020.0,769858.0,1117000.0,2157658.0
Canada,exports,petroleum_crude,,11349029.0,8670665.0,11096318.0,15305074.0,19041544.0,25438501.0,30665913.0,32635978.0,37376510.0,34170001.0
China,exports,petroleum_crude,,11300000.0,13870000.0,14680000.0,14830000.0,22010000.0,30030000.0,28500000.0,27225373.0,26045339.0,24388350.0
Colombia,exports,petroleum_crude,,,,,0.0,0.0,0.0,4523000.0,7809177.0,7785588.0,8809001.0
Congo,exports,petroleum_crude,,3408606.0,2829853.0,4572827.0,2080456.0,5480152.0,5124850.0,5512859.0,3388758.0,4520920.0,6665717.0
Cuba,exports,petroleum_crude,,,,,,,1891000.0,1450000.0,1320000.0,1150000.0,1140000.0
Czechoslovakia,exports,petroleum_crude,,328000.0,209000.0,481000.0,428000.0,0.0,0.0,0.0,,,
Denmark,exports,petroleum_crude,,0.0,0.0,6.0,1117767.0,803941.0,1042763.0,841022.0,1741057.0,1801566.0,2385236.0
Ecuador,exports,petroleum_crude,,5613596.0,4745501.0,5951535.0,7699616.0,8475503.0,8613658.0,8817027.0,5400000.0,7400000.0,7300000.0
Egypt,exports,petroleum_crude,,8005645.0,7187997.0,7863837.0,7800450.0,7446667.0,10508550.0,7248746.0,10023000.0,7086378.0,5359525.0
France,exports,petroleum_crude,,76.0,89.0,584076.0,436279.0,68181.0,681.0,102.0,20644.0,132669.0,18945.0
Gabon,exports,petroleum_crude,,7687100.0,6225000.0,6553000.0,6728000.0,8118000.0,8350000.0,7452000.0,6872000.0,7229000.0,8665000.0
German Federal Republic,exports,petroleum_crude,,1257056.0,1071236.0,1141828.0,1114665.0,1097809.0,1206185.0,1155040.0,1101194.0,1175249.0,1155060.0
Greece,exports,petroleum_crude,,,0.0,0.0,0.0,346181.0,373695.0,739868.0,1105000.0,450000.0,419310.0
Guatemala,exports,petroleum_crude,,53984.0,93209.0,157639.0,257386.0,135278.0,64945.0,252468.0,154569.0,134516.0,155167.0
Hungary,exports,petroleum_crude,,885000.0,534000.0,1796000.0,1275000.0,2134000.0,818000.0,863000.0,2076000.0,2483000.0,2700000.0
India,exports,petroleum_crude,,,,4551593.0,5522334.0,6478383.0,528086.0,,,,
Indonesia,exports,petroleum_crude,,50886849.0,50130321.0,56069961.0,54894367.0,50055502.0,39126096.0,44454043.0,39133463.0,36653795.0,39147075.0
Iran,exports,petroleum_crude,,39367000.0,31900000.0,67965000.0,108502000.0,73316000.0,65998000.0,58214000.0,73315000.0,60153000.0,80494000.0
Iraq,exports,petroleum_crude,,120909000.0,34154000.0,39787000.0,35525000.0,42036000.0,53812000.0,67191000.0,86597000.0,94993000.0,107258000.0
Italy,exports,petroleum_crude,,,0.0,34947.0,240922.0,188093.0,278818.0,187764.0,619306.0,626155.0,741036.0
Ivory Coast,exports,petroleum_crude,,,200000.0,234969.0,181320.0,425670.0,169512.0,230688.0,,,
Kuwait,exports,petroleum_crude,,63509634.0,43642374.0,18619556.0,27561932.0,33402731.0,27909000.0,33591000.0,30684000.0,31630000.0,40949000.0
Libya,exports,petroleum_crude,,89864479.0,57024881.0,48170000.0,45184000.0,44841000.0,44417000.0,52977000.0,39091000.0,42951000.0,42083000.0
