Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,exports,phosphate_rock,,879000.0,745000.0,825000.0,,,,,,,
Australia,exports,phosphate_rock,,7790.0,1313.0,1730.0,,,,,,,
Austria,exports,phosphate_rock,,1397.0,1320.0,906.0,1280.0,802.0,1.0,942.0,,,
Belgium,exports,phosphate_rock,,,,,,,,82232.0,115628.0,84619.0,15792.0
Belgium-Luxembourg,exports,phosphate_rock,,39501.0,43858.0,54563.0,75856.0,101115.0,108238.0,,,,
Brazil,exports,phosphate_rock,,,455.0,629.0,,,,,,,
Bulgaria,exports,phosphate_rock,,,,,1100.0,458.0,,,,,
China,exports,phosphate_rock,,3448985.0,4912606.0,3527667.0,,,,,,,
Christmas Island,exports,phosphate_rock,,612000.0,568000.0,517000.0,,,,,,,
Croatia,exports,phosphate_rock,,,,,,,,,,,
Cyprus,exports,phosphate_rock,,,,,,,,,,2960.0,
Czech Republic,exports,phosphate_rock,,,,,683.0,33.0,545.0,726.0,732.0,1091.0,
Egypt,exports,phosphate_rock,,315800.0,264800.0,613900.0,,,,,,,
Finland,exports,phosphate_rock,,0.0,,40.0,1626.0,16375.0,996.0,1141.0,6942.0,3248.0,3796.0
France,exports,phosphate_rock,,1523.0,2536.0,1488.0,1018.0,6362.0,4463.0,10147.0,20000.0,22000.0,22000.0
Germany,exports,phosphate_rock,,678.0,674.0,302.0,66.0,43.0,5048.0,700.0,168.0,314.0,137.0
India,exports,phosphate_rock,,7399.0,50077.0,602.0,,,,,,,
Indonesia,exports,phosphate_rock,,9062.0,17264.0,4908.0,,,,,,,
Israel,exports,phosphate_rock,,1165022.0,1002700.0,1022000.0,,,,,,,
Italy,exports,phosphate_rock,,820.0,794.0,513.0,475.0,4417.0,4883.0,6789.0,7800.0,7661.0,6416.0
Jordan,exports,phosphate_rock,,3196398.0,3536526.0,4006139.0,,,,,,,
Kazakhstan,exports,phosphate_rock,,499544.0,373600.0,414681.0,,,,,,,
Lithuania,exports,phosphate_rock,,,,,,,150.0,1406.0,2011.0,140.0,0.0
Malaysia,exports,phosphate_rock,,2973.0,165.0,,,,,,,,
Morocco,exports,phosphate_rock,,10487498.0,10853155.0,11140400.0,,,,,,,
Nauru,exports,phosphate_rock,,650791.0,449190.0,161950.0,,,,,,,
Netherlands,exports,phosphate_rock,,120824.0,65689.0,181928.0,94541.0,94150.0,91592.0,98687.0,106235.0,120214.0,11807.0
North Macedonia,exports,phosphate_rock,,863.0,792.0,1675.0,3086.0,3104.0,3388.0,1944.0,2050.0,1685.0,1233.0
Norway,exports,phosphate_rock,,,,,,,,,,,25.0
Peru,exports,phosphate_rock,,1800.0,5110.0,22837.0,,,,,,,
Poland,exports,phosphate_rock,,14989.0,2700.0,2511.0,,507.0,,,,,4.0
Russia,exports,phosphate_rock,,3799360.0,3069640.0,3244019.0,,,,,,,
Senegal,exports,phosphate_rock,,379201.0,268810.0,314907.0,,,,,,,
Slovakia,exports,phosphate_rock,,,,,26.0,48.0,438.0,2603.0,,,
Slovenia,exports,phosphate_rock,,,,,,,189207.0,140281.0,109350.0,164848.0,56973.0
South Africa,exports,phosphate_rock,,779019.0,555200.0,349658.0,,,,,,,
Spain,exports,phosphate_rock,,,,,12.0,7.0,42.0,7259.0,7840.0,4754.0,1565.0
Sweden,exports,phosphate_rock,,,,94.0,51.0,5.0,392.0,969.0,1623.0,4897.0,1228.0
Syria,exports,phosphate_rock,,1225438.0,1180520.0,1662408.0,,,,,,,
Togo,exports,phosphate_rock,,1219900.0,1302300.0,1248720.0,,,,,,,
Tunisia,exports,phosphate_rock,,1106745.0,1167858.0,1150300.0,,,,,,,
Turkey,exports,phosphate_rock,,,,,,,,,,,159.0
USA,exports,phosphate_rock,,299000.0,9000.0,39000.0,,,,,,,
United Kingdom,exports,phosphate_rock,,1295.0,317.0,386.0,111.0,34.0,1548.0,335.0,504.0,759.0,514.0
