Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Australia,exports,platinum_group_metals,Platinum & platinum metals                        ,1794.0,446.0,558.0,,,,,,,
Australia,exports,platinum_group_metals,Waste & scrap                                     ,721.0,31.0,122168.0,,,,,,,
Austria,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,14817000.0,30801000.0,,38485000.0
Austria,exports,platinum_group_metals,Waste & scrap                                     ,,,,309000.0,,,,621000.0,,295000.0
Azerbaijan,exports,platinum_group_metals,Waste & scrap                                     ,,89200.0,,,,,,,,
Belarus,exports,platinum_group_metals,Waste & scrap                                     ,16077.0,2900.0,,,,,,,,
Belgium,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,5600.0,5800.0,8400.0,10700.0
Belgium,exports,platinum_group_metals,Waste & scrap                                     ,,,,,,,934000.0,592300.0,649800.0,315200.0
Belgium-Luxembourg,exports,platinum_group_metals,Platinum                                          ,2800.0,3000.0,3200.0,2000.0,1000.0,700.0,,,,
Belgium-Luxembourg,exports,platinum_group_metals,Platinum metals                                   ,10000.0,8300.0,7300.0,2100.0,4400.0,2100.0,,,,
Belgium-Luxembourg,exports,platinum_group_metals,Waste & scrap                                     ,517100.0,762100.0,319342.0,239700.0,245596.0,305700.0,,,,
Brazil,exports,platinum_group_metals,Platinum & platinum metals                        ,11548.0,7246.0,22536.0,,,,,,,
Brazil,exports,platinum_group_metals,Waste & scrap                                     ,,,28852.0,,,,,,,
Bulgaria,exports,platinum_group_metals,Waste & scrap                                     ,34500.0,28500.0,35800.0,30500.0,24000.0,31400.0,73200.0,94700.0,1400.0,44000.0
Canada,exports,platinum_group_metals,Ores & concentrates                               ,12081.0,10831.0,7618.0,,,,,,,
Canada,exports,platinum_group_metals,Platinum metals                                   ,5757.0,4540.0,2942.0,,,,,,,
Canada,exports,platinum_group_metals,Waste & scrap                                     ,,,315480.0,,,,,,,
China,exports,platinum_group_metals,Platinum & platinum metals                        ,6473.0,6591.0,4035.0,,,,,,,
China,exports,platinum_group_metals,Waste & scrap                                     ,2.0,,5006.0,,,,,,,
Croatia,exports,platinum_group_metals,Waste & scrap                                     ,,,,,49784.0,76039.0,27719.0,18314.0,27018.0,27959.0
Czech Republic,exports,platinum_group_metals,Platinum & platinum metals                        ,,,79408.0,22000.0,4600.0,3300.0,500.0,800.0,3400.0,5200.0
Czech Republic,exports,platinum_group_metals,Waste & scrap                                     ,34000.0,86900.0,2818.0,5316.0,4158.0,4500.0,4700.0,1900.0,700.0,0.0
Denmark,exports,platinum_group_metals,Platinum & platinum metals                        ,295.0,751.0,115.0,203.0,642.0,1435.0,32.0,48.0,1.0,7000.0
Estonia,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,,,,7.0
Estonia,exports,platinum_group_metals,Waste & scrap                                     ,176740.0,216839.0,41383.0,3706.0,3983.0,,,,,800.0
Finland,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,527.0,6.0,5.0,23.0,19.0,30.0,34126.0
Finland,exports,platinum_group_metals,Waste & scrap                                     ,,,,68.0,7.0,75669.0,713.0,463.0,218.0,267.0
France,exports,platinum_group_metals,Platinum                                          ,5800.0,6900.0,5300.0,3800.0,3032.0,3324.0,5283.0,4758.0,2033.0,1140.0
France,exports,platinum_group_metals,Platinum metals                                   ,14400.0,7000.0,4600.0,3400.0,4611.0,4075.0,3565.0,2800.0,2120.0,1396.0
France,exports,platinum_group_metals,Waste & scrap                                     ,76100.0,91300.0,107500.0,35400.0,44182.0,184400.0,383300.0,190100.0,282400.0,609699.0
Georgia,exports,platinum_group_metals,Waste & scrap                                     ,54975.0,3200.0,1000.0,,,,,,,
Germany,exports,platinum_group_metals,Other platinum metals                             ,4300.0,3400.0,4000.0,2900.0,4600.0,11100.0,16000.0,22300.0,24700.0,65029.0
Germany,exports,platinum_group_metals,Palladium                                         ,19900.0,19600.0,40200.0,22000.0,15900.0,20800.0,24400.0,27800.0,28600.0,43329.0
Germany,exports,platinum_group_metals,Platinum                                          ,23500.0,28500.0,21400.0,26300.0,31900.0,43300.0,40600.0,28100.0,27700.0,36204.0
Germany,exports,platinum_group_metals,Waste & scrap                                     ,575900.0,1040875.0,1067200.0,803500.0,815821.0,1648800.0,2797600.0,3399700.0,3238800.0,3352271.0
Greece,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,,,200.0,589.0
Greece,exports,platinum_group_metals,Waste & scrap                                     ,,,,,,,,,3400.0,
Hong Kong,exports,platinum_group_metals,Platinum & platinum metals                        ,2740.0,1940.0,2047.0,,,,,,,
Hong Kong,exports,platinum_group_metals,Waste & scrap                                     ,1484.0,1595.0,1943.0,,,,,,,
Hungary,exports,platinum_group_metals,Waste & scrap                                     ,,,,,,,,89200.0,,
India,exports,platinum_group_metals,Platinum & platinum metals                        ,18557.0,1794.0,2340.0,,,,,,,
Indonesia,exports,platinum_group_metals,Platinum & platinum metals                        ,11279.0,10922.0,1055.0,,,,,,,
"Ireland, Republic of",exports,platinum_group_metals,Platinum & platinum metals                        ,239.0,,,,,,,,,221.0
"Ireland, Republic of",exports,platinum_group_metals,Waste & scrap                                     ,3559.0,12292.0,22983.0,5544.0,13100.0,7900.0,6523.0,7179.0,16854.0,8544.0
Israel,exports,platinum_group_metals,Waste & scrap                                     ,45200.0,174300.0,,,,,,,,
Italy,exports,platinum_group_metals,Platinum                                          ,3443.0,31775.0,3546.0,10430.0,6277.0,6555.0,9542.0,11783.0,13350.0,10043.0
Italy,exports,platinum_group_metals,Platinum metals                                   ,6159.0,6133.0,13337.0,8310.0,3892.0,6039.0,6951.0,5828.0,8295.0,8898.0
Italy,exports,platinum_group_metals,Waste & scrap                                     ,2167.0,23155.0,61441.0,96968.0,105220.0,206.0,1065.0,94988.0,257.0,311.0
Japan,exports,platinum_group_metals,Platinum                                          ,8905.0,10201.0,8388.0,,,,,,,
Japan,exports,platinum_group_metals,Platinum metals                                   ,20909.0,39249.0,24183.0,,,,,,,
Japan,exports,platinum_group_metals,Waste & scrap                                     ,77168.0,2841.0,67682.0,,,,,,,
Kazakhstan,exports,platinum_group_metals,Waste & scrap                                     ,40100.0,1100.0,,,,,,,,
Korea (Rep. of),exports,platinum_group_metals,Platinum & platinum metals                        ,1734.0,2901.0,1554.0,,,,,,,
Korea (Rep. of),exports,platinum_group_metals,Waste & scrap                                     ,139669.0,394405.0,160376.0,,,,,,,
Latvia,exports,platinum_group_metals,Waste & scrap                                     ,550.0,2.0,407.0,567.0,716.0,1002.0,468.0,219.0,,
Lithuania,exports,platinum_group_metals,Waste & scrap                                     ,6750.0,9867.0,2982.0,7980.0,5958.0,,16.0,404.0,62710.0,101900.0
Luxembourg,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,909.0,4700.0,5800.0,149.0
Luxembourg,exports,platinum_group_metals,Waste & scrap                                     ,,,,,,,8.0,,,24700.0
Netherlands,exports,platinum_group_metals,Platinum metals                                   ,2069000.0,,634000.0,,,,,,,
Netherlands,exports,platinum_group_metals,Waste & scrap                                     ,46500.0,23800.0,10900.0,9200.0,201129.0,876.0,16569.0,25850.0,352175.0,163160.0
New Zealand,exports,platinum_group_metals,Platinum & platinum metals                        ,4935.0,,,,,,,,,
Norway,exports,platinum_group_metals,Platinum & platinum metals                        ,5668.0,6659.0,10986.0,11150.0,13360.0,11871.0,11885.0,14611.0,15393.0,12341.0
Norway,exports,platinum_group_metals,Waste & scrap                                     ,851.0,2639.0,76801.0,616.0,384.0,342.0,29817.0,66193.0,5119.0,35829.0
Philippines,exports,platinum_group_metals,Platinum                                          ,,,,,,,,,,
Poland,exports,platinum_group_metals,Platinum & platinum metals                        ,795.0,43.0,872.0,308.0,470.0,903.0,350.0,156.0,7275.0,47400.0
Poland,exports,platinum_group_metals,Waste & scrap                                     ,7958.0,27622.0,6543.0,52366.0,33019.0,60.0,4312.0,139.0,7399.0,1600.0
Portugal,exports,platinum_group_metals,Waste & scrap                                     ,,,,,695.0,,,33500.0,,0.0
Russia,exports,platinum_group_metals,Platinum & platinum metals                        ,178100.0,123400.0,474000.0,,,,,,,
Russia,exports,platinum_group_metals,Waste & scrap                                     ,25900.0,70200.0,3400.0,,,,,,,
Singapore,exports,platinum_group_metals,Platinum & platinum metals                        ,344.0,465.0,806.0,,,,,,,
Singapore,exports,platinum_group_metals,Waste & scrap                                     ,1666.0,106.0,2531.0,,,,,,,
Slovakia,exports,platinum_group_metals,Platinum & platinum metals                        ,,,257.0,,,,,15.0,45800.0,1700.0
Slovakia,exports,platinum_group_metals,Waste & scrap                                     ,,,,,,,,,,423.0
Slovenia,exports,platinum_group_metals,Platinum & platinum metals                        ,201.0,322.0,919.0,25.0,839.0,47.0,248.0,84.0,110.0,430.0
South Africa,exports,platinum_group_metals,Other platinum metals                             ,37251.0,25833.0,32508.0,,,,,,,
South Africa,exports,platinum_group_metals,Palladium                                         ,47832.0,50970.0,54979.0,,,,,,,
South Africa,exports,platinum_group_metals,Platinum                                          ,113861.0,116551.0,120150.0,,,,,,,
Spain,exports,platinum_group_metals,Platinum & platinum metals                        ,4617.0,256.0,285.0,104.0,1054.0,152.0,363.0,434.0,3104.0,1672.0
Spain,exports,platinum_group_metals,Waste & scrap                                     ,216.0,616.0,253.0,7479.0,1893.0,2892.0,290.0,44.0,88069.0,225411.0
Sweden,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,,,,177000.0
Sweden,exports,platinum_group_metals,Waste & scrap                                     ,2521.0,46465.0,27536.0,27000.0,29000.0,25000.0,280000.0,242500.0,575300.0,40400.0
Switzerland,exports,platinum_group_metals,Other platinum metals                             ,257.0,324.0,829.0,203.0,1703.0,2047.0,292.0,636.0,717.0,192.0
Switzerland,exports,platinum_group_metals,Palladium                                         ,100220.0,44317.0,73072.0,47110.0,61960.0,75105.0,46578.0,52880.0,86503.0,57571.0
Switzerland,exports,platinum_group_metals,Platinum                                          ,61609.0,63640.0,73384.0,67305.0,57268.0,42102.0,62243.0,57569.0,69404.0,61433.0
Switzerland,exports,platinum_group_metals,Waste & scrap                                     ,57207.0,49289.0,122380.0,85301.0,118241.0,235630.0,200470.0,393326.0,616867.0,362419.0
Taiwan,exports,platinum_group_metals,Platinum & platinum metals                        ,9521.0,1017.0,1054.0,,,,,,,
Taiwan,exports,platinum_group_metals,Waste & scrap                                     ,0.0,51246.0,33139.0,,,,,,,
Turkey,exports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,,,18.0,3142.0
Turkey,exports,platinum_group_metals,Waste & scrap                                     ,,,,,,,,,330.0,9967.0
USA,exports,platinum_group_metals,Ores & concentrates                               ,476.0,860.0,1416.0,,,,,,,
USA,exports,platinum_group_metals,Other platinum metals                             ,5439.0,5404.0,5262.0,,,,,,,
USA,exports,platinum_group_metals,Palladium                                         ,76345.0,61031.0,76647.0,,,,,,,
USA,exports,platinum_group_metals,Platinum                                          ,30847.0,40601.0,41434.0,,,,,,,
USA,exports,platinum_group_metals,Waste & scrap                                     ,21503.0,27425.0,67187.0,,,,,,,
Ukraine,exports,platinum_group_metals,Waste & scrap                                     ,117400.0,22800.0,,,,,,,,
United Kingdom,exports,platinum_group_metals,Other platinum metals                             ,7537.0,5604.0,6002.0,9631.0,12610.0,17852.0,23353.0,23731.0,22548.0,20044.0
United Kingdom,exports,platinum_group_metals,Palladium                                         ,17018.0,22845.0,19176.0,27669.0,61198.0,51807.0,48688.0,56994.0,47142.0,53091.0
United Kingdom,exports,platinum_group_metals,Platinum                                          ,31660.0,31859.0,69955.0,37874.0,44598.0,41500.0,42843.0,52789.0,40630.0,43177.0
United Kingdom,exports,platinum_group_metals,Waste & scrap                                     ,1156462.0,1124414.0,914126.0,1862845.0,2681379.0,2881226.0,3507381.0,3793637.0,4278682.0,4273222.0
Uzbekistan,exports,platinum_group_metals,Waste & scrap                                     ,600.0,900.0,,,,,,,,
