Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,exports,potash,Other potassic fertilisers                        ,,,,,,,,,,126.0
Belgium-Luxembourg,exports,potash,Chloride                                          ,6060.0,5849.0,15367.0,,,15328.0,29572.0,107714.0,55921.0,192384.0
Belgium-Luxembourg,exports,potash,Fertiliser salts                                  ,729.0,713.0,112.0,,765.0,382.0,2127.0,1024.0,530.0,945.0
Belgium-Luxembourg,exports,potash,Other potassic fertilisers                        ,,,714.0,,4233.0,4361.0,5519.0,5130.0,3942.0,6941.0
Belgium-Luxembourg,exports,potash,Potassic chemicals                                ,1700.0,2113.0,3279.0,2051.0,3131.0,2845.0,2181.0,1994.0,2737.0,1083.0
Belgium-Luxembourg,exports,potash,Sulphate                                          ,325076.0,291287.0,178500.0,223500.0,248000.0,325000.0,315900.0,365300.0,278200.0,213200.0
Canada,exports,potash,Chloride                                          ,10565401.0,10068019.0,7221497.0,9411941.0,11493880.0,9981058.0,9894211.0,10983658.0,12674202.0,10914791.0
Canada,exports,potash,Other potassic fertilisers                        ,,,,,,,,,45074.0,60892.0
Canada,exports,potash,Potassic chemicals                                ,,,,,,1680.0,2868.0,7127.0,15611.0,18931.0
Chile,exports,potash,Fertiliser salts                                  ,,,102758.0,140352.0,100509.0,113508.0,108215.0,94478.0,131190.0,121148.0
Chile,exports,potash,Potassic chemicals                                ,,,,,,,,,,60555.0
China,exports,potash,Potassic chemicals                                ,,2900.0,2500.0,1500.0,1200.0,1000.0,4300.0,6100.0,6900.0,19400.0
Czechoslovakia,exports,potash,Potassic chemicals                                ,28500.0,29100.0,28600.0,25000.0,17100.0,9600.0,3700.0,1600.0,900.0,400.0
France,exports,potash,Chloride                                          ,311855.0,345239.0,447959.0,433980.0,425826.0,411129.0,288716.0,419134.0,513901.0,340128.0
France,exports,potash,Fertiliser salts                                  ,13293.0,8807.0,11892.0,11088.0,3378.0,7889.0,6710.0,,,
France,exports,potash,Other potassic fertilisers                        ,23553.0,21825.0,17604.0,22527.0,32049.0,22594.0,20563.0,19445.0,16863.0,13454.0
France,exports,potash,Potassic chemicals                                ,18981.0,21655.0,22152.0,2497.0,1749.0,3166.0,7306.0,5476.0,8745.0,996.0
France,exports,potash,Sulphate                                          ,,,,,,,,334.0,833.0,2651.0
German Democratic Rep,exports,potash,Fertiliser salts                                  ,2817000.0,2860000.0,2834000.0,2905000.0,2776000.0,2791000.0,2814000.0,2894000.0,2832000.0,2556000.0
German Federal Republic,exports,potash,Fertiliser salts                                  ,35585.0,39882.0,38562.0,38254.0,42459.0,47006.0,43401.0,47958.0,43017.0,43546.0
German Federal Republic,exports,potash,Potassic chemicals                                ,32413.0,38012.0,37656.0,37212.0,42548.0,43278.0,40649.0,39174.0,43393.0,46344.0
German Federal Republic,exports,potash,Potassic fertilisers                              ,2503623.0,2348198.0,1996789.0,2193135.0,2595451.0,2322673.0,2177290.0,2297189.0,2317394.0,
Germany,exports,potash,Fertiliser salts                                  ,,,,,,,,,,
Germany,exports,potash,Potassic chemicals                                ,,,,,,,,,,
Greece,exports,potash,Potassic fertilisers                              ,499.0,18800.0,4500.0,0.0,22739.0,33110.0,58175.0,8082.0,33.0,
Hong Kong,exports,potash,Potassic chemicals                                ,1012.0,846.0,891.0,426.0,555.0,234.0,811.0,1721.0,16505.0,3467.0
India,exports,potash,Potassic chemicals                                ,794.0,641.0,363.0,,,,,,,
Israel,exports,potash,Chloride                                          ,,,1013300.0,1052900.0,1196400.0,1219900.0,1275000.0,1405700.0,1408500.0,1388000.0
Israel,exports,potash,Other potassic fertilisers                        ,,,150400.0,174400.0,224300.0,227000.0,187300.0,177200.0,179200.0,140300.0
Israel,exports,potash,Potassic chemicals                                ,74700.0,76500.0,157900.0,86800.0,101700.0,107700.0,111400.0,124700.0,218462.0,249027.0
Italy,exports,potash,Other potassic fertilisers                        ,,323.0,109.0,1682.0,3085.0,390.0,285.0,1904.0,2060.0,3372.0
Italy,exports,potash,Potassic chemicals                                ,214.0,20656.0,25941.0,5183.0,5364.0,2025.0,1951.0,2969.0,3182.0,2755.0
Italy,exports,potash,Sulphate                                          ,72040.0,40426.0,39789.0,86143.0,126802.0,111027.0,66291.0,56733.0,74397.0,131932.0
Japan,exports,potash,Chloride                                          ,3.0,3918.0,55.0,,,,,,,
Japan,exports,potash,Potassic chemicals                                ,7096.0,5433.0,6421.0,8001.0,4751.0,7780.0,8985.0,10485.0,19790.0,21830.0
Japan,exports,potash,Potassic fertilisers                              ,,,,58.0,580.0,82.0,310.0,384.0,1187.0,1350.0
Japan,exports,potash,Sulphate                                          ,3.0,4300.0,1020.0,,,,,,,
Jordan,exports,potash,Fertiliser salts                                  ,,0.0,0.0,2555.0,458232.0,844773.0,1205056.0,1243928.0,1300411.0,1257895.0
Korea (Rep. of),exports,potash,Chloride                                          ,,,2000.0,,,,,21679.0,10500.0,2260.0
Korea (Rep. of),exports,potash,Other potassic fertilisers                        ,,2500.0,,1970.0,4310.0,4917.0,9258.0,,,
Korea (Rep. of),exports,potash,Potassic chemicals                                ,3.0,10.0,2664.0,4300.0,6573.0,4871.0,7399.0,9292.0,13802.0,8862.0
Korea (Rep. of),exports,potash,Potassic fertilisers                              ,0.0,,,,,,,,,
Korea (Rep. of),exports,potash,Sulphate                                          ,,0.0,0.0,8419.0,24156.0,22544.0,27419.0,19493.0,44800.0,46020.0
