Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,rare_earths,Cerium compounds                                  ,1936.0,1167.0,888.0,1102.0,946.0,1726.0,2276.0,1239.0,0.0,
Austria,exports,rare_earths,Metals                                            ,258.0,452.0,500.0,532.0,475.0,393.0,469.0,449.0,30.0,
Austria,exports,rare_earths,Other rare earth compounds                        ,8658.0,4902.0,5696.0,6166.0,7552.0,7273.0,4955.0,4735.0,100.0,
Belgium,exports,rare_earths,Cerium compounds                                  ,,,,,189.0,83.0,136.0,178.0,230.0,
Belgium,exports,rare_earths,Metals                                            ,476.0,110.0,134.0,171.0,202.0,50.0,70.0,44.0,20.0,
Belgium,exports,rare_earths,Other rare earth compounds                        ,,,,,90.0,243.0,239.0,105.0,4.0,
Belgium,exports,rare_earths,Rare earth compounds                              ,332.0,265.0,141.0,180.0,,,,,,
Czech Republic,exports,rare_earths,Rare earth compounds                              ,6.0,2.0,0.0,2.0,2.0,2.0,7.0,10.0,12.0,
Estonia,exports,rare_earths,Cerium compounds                                  ,,,,,1718.0,1854.0,2337.0,1854.0,1985.0,
Estonia,exports,rare_earths,Metals                                            ,1.0,0.0,42.0,77.0,,,,,,
Estonia,exports,rare_earths,Other rare earth compounds                        ,,,,,1084.0,1116.0,1048.0,1168.0,1140.0,
Estonia,exports,rare_earths,Rare earth compounds                              ,1686.0,1124.0,3210.0,3482.0,,,,,,
Finland,exports,rare_earths,Rare earth compounds                              ,44.0,67.0,0.0,84.0,86.0,10.0,58.0,82.0,378.0,
France,exports,rare_earths,Metals                                            ,8.0,11.0,12.0,14.0,10.0,21.0,17.0,18.0,12.0,
France,exports,rare_earths,Rare earth compounds                              ,3411.0,2789.0,2097.0,1878.0,843.0,908.0,982.0,882.0,373.0,
Germany,exports,rare_earths,Cerium compounds                                  ,,,,,414.0,625.0,515.0,477.0,479.0,
Germany,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,,5.0,,,,,,,,
Germany,exports,rare_earths,Metals                                            ,25.0,29.0,10.0,9.0,12.0,20.0,6.0,10.0,30.0,
Germany,exports,rare_earths,Other rare earth compounds                        ,,,,,137.0,144.0,179.0,271.0,223.0,
Germany,exports,rare_earths,Rare earth compounds                              ,601.0,660.0,699.0,319.0,,,,,,
Hungary,exports,rare_earths,Cerium compounds                                  ,,,,,,5.0,1.0,1.0,0.0,
Italy,exports,rare_earths,Cerium compounds                                  ,,,,,47.0,44.0,47.0,81.0,90.0,
Italy,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,,3.0,,,,,,,,
Italy,exports,rare_earths,Metals                                            ,101.0,145.0,111.0,100.0,160.0,17.0,1.0,0.0,0.0,
Italy,exports,rare_earths,Other rare earth compounds                        ,,,,,203.0,180.0,185.0,229.0,127.0,
Italy,exports,rare_earths,Rare earth compounds                              ,236.0,322.0,353.0,319.0,,,,,,
Lithuania,exports,rare_earths,Cerium compounds                                  ,12.0,10.0,7.0,9.0,5.0,4.0,7.0,5.0,6.0,
Netherlands,exports,rare_earths,Cerium compounds                                  ,,,,,180.0,62.0,60.0,194.0,238.0,
Netherlands,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,49.0,18.0,,,,,,,,
Netherlands,exports,rare_earths,Metals                                            ,86.0,70.0,163.0,2688.0,142.0,308.0,361.0,347.0,423.0,
Netherlands,exports,rare_earths,Other rare earth compounds                        ,,,,,43.0,89.0,166.0,45.0,68.0,
Netherlands,exports,rare_earths,Rare earth compounds                              ,177.0,327.0,341.0,256.0,,,,,,
North Macedonia,exports,rare_earths,Rare earth compounds                              ,,,,,,0.0,8.0,2.0,5.0,
Norway,exports,rare_earths,Metals                                            ,0.0,19.0,5.0,54.0,,,,,,
Norway,exports,rare_earths,Rare earth compounds                              ,30.0,23.0,13.0,35.0,15.0,21.0,26.0,20.0,17.0,
Poland,exports,rare_earths,Cerium compounds                                  ,7.0,86.0,1.0,9.0,20.0,14.0,4.0,20.0,21.0,
Poland,exports,rare_earths,Other rare earth compounds                        ,4.0,66.0,3.0,4.0,5.0,3.0,4.0,80.0,1.0,
Portugal,exports,rare_earths,Other rare earth compounds                        ,9.0,2.0,,,,,,,,
Slovenia,exports,rare_earths,Cerium compounds                                  ,,,3.0,0.0,2.0,7.0,2.0,3.0,1.0,
Slovenia,exports,rare_earths,Metals                                            ,,7.0,2.0,1.0,3.0,4.0,6.0,1.0,1.0,
